1 comunidade comunidade 3 NOUN nsubj
2 internacional internacional 1 ADJ amod
3 condena condenar 0 VERB root
4 coreia coreia 3 NOUN obj
5 de de 7 ADP case
6 o o 7 DET det
7 norte norte 4 NOUN nmod
8 por por 9 ADP case
9 teste teste 3 NOUN nmod
10 com com 11 ADP case
11 bomba bomba 9 NOUN nmod
12 de de 13 ADP case
13 hidrogenio hidrogenio 11 NOUN nmod
14 em em 16 ADP case
15 o o 16 DET det
16 twitter twitter 3 PROPN nmod
17 donald donald 16 ADJ appos
18 trump trump 16 NOUN appos
19 disse dizer 3 VERB parataxis
20 que que 29 CCONJ mark
21 as o 22 DET det
22 palavras palavra 29 NOUN nsubj
23 e e 24 CCONJ cc
24 acoes acoe 22 NOUN conj
25 de de 27 ADP case
26 o o 27 DET det
27 pais pais 22 NOUN nmod
28 continuam continuar 29 AUX aux
29 sendo ser 19 VERB ccomp
30 muito muito 31 ADV advmod
31 hostis hostil 29 ADJ xcomp
32 e e 33 CCONJ cc
33 perigosas perigoso 31 ADJ conj
34 para para 36 ADP case
35 os o 36 DET det
36 estados estado 29 NOUN nmod
37 unidos unido 36 ADJ amod
38 diversos diversos 39 DET det
39 paises paise 42 NOUN nsubj
40 e e 41 CCONJ cc
41 organizacoes organizacoe 39 NOUN conj
42 condenaram condenar 19 VERB ccomp
43 o o 44 DET det
44 teste teste 42 NOUN obj
45 nuclear nuclear 44 ADJ amod
46 com com 48 ADP case
47 uma um 48 DET det
48 bomba bomba 44 NOUN nmod
49 de de 50 ADP case
50 hidrogenio hidrogenio 48 NOUN nmod
51 realizado realizar 44 VERB acl
52 por por 54 ADP case
53 a o 54 DET det
54 coreia coreia 51 NOUN nmod
55 de de 57 ADP case
56 o o 57 DET det
57 norte norte 54 NOUN nmod
58 em em 60 ADP case
59 a o 60 DET det
60 madrugada madrugada 51 NOUN nmod
61 deste deste 62 ADP case
62 domingo domingo 60 PROPN nmod
63 3 3 62 NUM nmod
64 eles eles 65 PRON nsubj
65 repudiaram repudiar 19 VERB ccomp
66 a o 68 DET det
67 nova novo 68 ADJ amod
68 violacao violacao 65 NOUN obj
69 de de 72 ADP case
70 as o 72 DET det
71 multiplas multiplo 72 ADJ amod
72 resolucoes resolucoe 68 NOUN nmod
73 de de 75 ADP case
74 a o 75 DET det
75 onu onu 72 NOUN nmod
76 e e 77 CCONJ cc
77 exigiram exigir 65 VERB conj
78 o o 79 DET det
79 fim fim 77 NOUN obj
80 de de 82 ADP case
81 os o 82 DET det
82 programas programa 79 NOUN nmod
83 nuclear nuclear 82 ADJ amod
84 e e 85 CCONJ cc
85 balistico balistico 83 ADJ conj
86 de de 88 ADP case
87 o o 88 DET det
88 pais pais 82 NOUN nmod
