1 pf pf 2 NOUN nsubj
2 faz fazer 0 VERB root
3 operacao operacao 2 NOUN obj
4 para para 5 ADP mark
5 cumprir cumprir 2 VERB advcl
6 mandado mandado 5 NOUN obj
7 de de 8 ADP case
8 prisao prisao 6 NOUN nmod
9 contra contra 10 ADP case
10 jacob jacob 5 NOUN nmod
11 barata barata 10 NOUN flat
12 e e 15 CCONJ cc
13 contra contra 15 ADP case
14 o o 15 DET det
15 filho filho 10 NOUN conj
16 de de 18 ADP case
17 o o 18 DET det
18 presidente presidente 15 NOUN nmod
19 de de 21 ADP case
20 a o 21 DET det
21 alerj alerj 18 NOUN nmod
22 agentes agente 23 NOUN nsubj
23 estao estao 2 VERB parataxis
24 desde desde 26 ADP case
25 o o 26 DET det
26 comeco comeco 23 NOUN nmod
27 de de 29 ADP case
28 a o 29 DET det
29 manha manha 26 NOUN nmod
30 em em 32 ADP case
31 a o 32 DET det
32 casa casa 23 NOUN nmod
33 de de 36 ADP case
34 o o 36 DET det
35 maior maior 36 ADJ amod
36 empresario empresario 32 NOUN nmod
37 de de 39 ADP case
38 o o 39 DET det
39 setor setor 36 NOUN nmod
40 de de 41 ADP case
41 onibus onibus 39 NOUN nmod
42 de de 43 ADP case
43 felipe felipe 36 NOUN nmod
44 picciani picciani 43 ADJ amod
45 filho filho 43 NOUN appos
46 de de 47 ADP case
47 jorge jorge 45 NOUN nmod
48 picciani picciani 47 NOUN flat
49 e e 51 CCONJ cc
50 de de 51 ADP case
51 lelis lelis 47 NOUN conj
52 teixeira teixeiro 51 NOUN flat
53 expresidente expresidente 51 NOUN appos
54 de de 56 ADP case
55 a o 56 DET det
56 fetranspor fetranspor 53 NOUN nmod
57 a o 58 DET det
58 policia policia 60 NOUN nsubj
59 federal federal 58 ADJ amod
60 esta esta 2 VERB parataxis
61 em em 63 ADP case
62 as o 63 DET det
63 ruas rua 60 NOUN nmod
64 em em 66 ADP case
65 a o 66 DET det
66 manha manha 60 NOUN nmod
67 desta desta 68 ADP case
68 tercafeira tercafeira 66 NOUN nmod
69 14 14 68 NUM nmod
70 para para 71 ADP mark
71 cumprir cumprir 60 VERB advcl
72 mandados mandado 71 NOUN obj
73 de de 74 ADP case
74 prisao prisao 72 NOUN nmod
75 contra contra 77 ADP case
76 o o 77 DET det
77 empresario empresario 72 NOUN nmod
78 jacob jacob 77 PROPN appos
79 barata barata 78 ADJ flat
80 filho filho 78 NOUN flat
81 contra contra 82 ADP case
82 felipe felipe 71 NOUN nmod
83 picciani picciani 82 ADJ amod
84 filho filho 82 NOUN flat
85 de de 87 ADP case
86 o o 87 DET det
87 presidente presidente 82 NOUN nmod
88 de de 90 ADP case
89 a o 90 DET det
90 assembleia assembleia 87 NOUN nmod
91 legislativa legislativo 90 ADJ amod
92 de de 94 ADP case
93 o o 94 DET det
94 rio rio 90 NOUN nmod
95 alerj alerj 94 NOUN appos
96 jorge jorge 82 NOUN appos
97 picciani picciani 96 NOUN flat
98 e e 100 CCONJ cc
99 contra contra 100 ADP case
100 lelis lelis 96 NOUN conj
101 teixeira teixeiro 100 ADJ flat
102 expresidente expresidente 100 NOUN appos
103 de de 105 ADP case
104 a o 105 DET det
105 federacao federacao 102 NOUN nmod
106 de de 108 ADP case
107 as o 108 DET det
108 empresas empresa 105 NOUN nmod
109 de de 110 ADP case
110 transportes transporte 108 NOUN nmod
111 de de 112 ADP case
112 passageiros passageiro 110 NOUN nmod
113 de de 115 ADP case
114 o o 115 DET det
115 estado estado 105 NOUN nmod
116 de de 118 ADP case
117 o o 118 DET det
118 rio rio 115 NOUN nmod
