1 como como 20 CCONJ mark
2 e e 1 CCONJ cc
3 o o 4 DET det
4 protocolo protocolo 20 NOUN advcl
5 que que 8 PRON obj
6 os o 7 DET det
7 eua eua 8 NOUN nsubj
8 precisam precisar 4 VERB acl:relcl
9 seguir seguir 8 VERB xcomp
10 para para 11 ADP mark
11 realizar realizar 9 VERB advcl
12 um um 13 DET det
13 ataque ataque 11 NOUN obj
14 nuclear nuclear 13 ADJ amod
15 temor temor 20 NOUN nsubj
16 de de 18 ADP case
17 uma um 18 DET det
18 guerra guerra 15 NOUN nmod
19 nuclear nuclear 18 ADJ amod
20 ressurgiu ressurgir 0 VERB root
21 em em 24 ADP case
22 os o 24 DET det
23 ultimos ultimo 24 ADJ amod
24 meses mês 20 NOUN nmod
25 com com 28 ADP case
26 a o 28 DET det
27 crescente crescente 28 ADJ amod
28 tensao tensao 20 NOUN nmod
29 entre entre 31 ADP case
30 os o 31 DET det
31 estados estado 28 NOUN nmod
32 unidos unido 31 ADJ amod
33 e e 35 CCONJ cc
34 a o 35 DET det
35 coreia coreia 31 NOUN conj
36 de de 38 ADP case
37 o o 38 DET det
38 norte norte 35 NOUN nmod
39 mas mas 89 CCONJ cc
40 em em 42 ADP case
41 a o 42 DET det
42 eventualidade eventualidade 59 NOUN nmod
43 de de 45 ADP mark
44 trump trump 45 NOUN nsubj
45 decidir decidir 42 VERB nmod
46 atacar atacar 45 VERB xcomp
47 qual qual 46 PRON ccomp
48 seria seria 47 AUX cop
49 o o 50 DET det
50 protocolo protocolo 47 NOUN nsubj
51 a a 52 ADP mark
52 seguir seguir 50 VERB nmod
53 o o 54 DET det
54 temor temor 89 NOUN nsubj
55 de de 57 ADP case
56 uma um 57 DET det
57 guerra guerra 54 NOUN nmod
58 nuclear nuclear 57 ADJ amod
59 ressurgiu ressurgir 20 VERB parataxis
60 em em 63 ADP case
61 os o 63 DET det
62 ultimos ultimo 63 ADJ amod
63 meses mês 59 NOUN nmod
64 com com 67 ADP case
65 a o 67 DET det
66 crescente crescente 67 ADJ amod
67 tensao tensao 59 NOUN nmod
68 entre entre 70 ADP case
69 os o 70 DET det
70 estados estado 67 NOUN nmod
71 unidos unido 70 ADJ amod
72 e e 74 CCONJ cc
73 a o 74 DET det
74 coreia coreia 70 NOUN conj
75 de de 77 ADP case
76 o o 77 DET det
77 norte norte 74 NOUN nmod
78 os o 79 DET det
79 testes teste 89 NOUN nsubj
80 nucleares nuclear 79 ADJ amod
81 de de 82 ADP case
82 pyongyang pyongyang 79 NOUN nmod
83 e e 86 CCONJ cc
84 seus seus 86 DET det:poss
85 frequentes frequente 86 ADJ amod
86 lancamentos lancamento 79 NOUN conj
87 de de 88 ADP case
88 misseis missil 86 NOUN nmod
89 fazem fazer 20 VERB conj
90 vir vir 89 VERB xcomp
91 a a 92 ADP case
92 tona tona 90 NOUN nmod
93 o o 94 DET det
94 receio receio 90 NOUN obj
95 de de 96 ADP case
96 ataques ataque 94 NOUN nmod
97 com com 98 ADP case
98 bomba bomba 96 NOUN nmod
99 atomica atomico 98 ADJ amod
100 mas mas 103 CCONJ cc
101 esses esses 102 DET det
102 medos medo 103 NOUN nsubj
103 tem ter 20 VERB conj
104 fundamento fundamento 103 NOUN obj
105 em em 107 ADP case
106 a o 107 DET det
107 eventualidade eventualidade 104 NOUN nmod
108 de de 114 ADP mark
109 o o 110 DET det
110 presidente presidente 114 NOUN nsubj
111 americano americano 110 ADJ amod
112 donald donald 110 ADJ appos
113 trump trump 110 PROPN flat
114 decidir decidir 107 VERB nmod
115 iniciar iniciar 114 VERB xcomp
116 um um 117 DET det
117 ataque ataque 115 NOUN obj
118 qual qual 117 PRON acl:relcl
119 seria seria 118 AUX cop
120 o o 121 DET det
121 protocolo protocolo 118 NOUN nsubj
122 a a 123 ADP mark
123 seguir seguir 121 VERB nmod
124 e e 128 CCONJ cc
125 alguem alguem 128 PRON nsubj
126 poderia poder 128 AUX aux
127 se se 128 PRON obj
128 opor opor 118 VERB conj
129 a a 131 ADP case
130 uma um 131 DET det
131 ordem ordem 128 NOUN nmod
132 de de 134 ADP case
133 o o 134 DET det
134 presidente presidente 131 NOUN nmod
135 de de 137 ADP case
136 os o 137 DET det
137 estados estado 134 NOUN nmod
138 unidos unido 137 ADJ amod
139 que que 143 PRON nsubj
140 tambem tambem 143 ADV advmod
141 e e 143 AUX cop
142 o o 143 DET det
143 comandantechefe comandantechefe 134 NOUN acl:relcl
144 de de 146 ADP case
145 as o 146 DET det
146 forcas forca 143 NOUN nmod
147 armadas armado 146 ADJ amod
148 segundo segundo 149 ADP case
149 especialistas especialista 143 NOUN nmod
150 em em 151 ADP case
151 seguranca seguranca 149 NOUN nmod
152 publica publico 151 ADJ amod
153 e e 154 CCONJ cc
154 militares militar 152 ADJ conj
155 embora embora 156 CCONJ fixed
156 em em 149 ADP case
