1 jugmann jugmann 2 NOUN nsubj
2 pede pedir 0 VERB root
3 a a 6 ADP case
4 o o 6 DET det
5 supremo supremo 6 ADJ amod
6 retomada retomada 2 NOUN obj
7 de de 9 ADP case
8 a o 9 DET det
9 discussao discussao 6 NOUN nmod
10 para para 11 ADP mark
11 estabelecer estabelecer 22 VERB advcl
12 diferenca diferenca 11 NOUN obj
13 entre entre 14 ADP case
14 usuario usuario 12 NOUN nmod
15 e e 16 CCONJ cc
16 traficante traficante 14 NOUN conj
17 ministro ministro 22 NOUN nsubj
18 de de 20 ADP case
19 a o 20 DET det
20 seguranca seguranca 17 NOUN nmod
21 se se 22 PRON obj
22 reuniu reunir 2 VERB ccomp
23 com com 24 ADP case
24 deputados deputado 22 NOUN nmod
25 federais federal 24 ADJ amod
26 de de 28 ADP case
27 o o 28 DET det
28 rio rio 24 PROPN nmod
29 de de 30 ADP case
30 janeiro janeiro 28 PROPN nmod
31 para para 32 ADP mark
32 fazer fazer 22 VERB advcl
33 relato relato 32 NOUN obj
34 sobre sobre 36 ADP case
35 as o 36 DET det
36 acoes acoe 33 NOUN nmod
37 de de 38 ADP case
38 intervencao intervencao 36 NOUN nmod
39 e e 41 CCONJ cc
40 de de 41 ADP case
41 garantia garantia 38 NOUN conj
42 de de 44 ADP case
43 a o 44 DET det
44 lei lei 41 NOUN nmod
45 e e 48 CCONJ cc
46 de de 48 ADP case
47 a o 48 DET det
48 ordem ordem 44 NOUN conj
49 em em 51 ADP case
50 o o 51 DET det
51 rj rj 22 NOUN nmod
52 o o 53 DET det
53 ministro ministro 61 NOUN nsubj
54 de de 56 ADP case
55 a o 56 DET det
56 seguranca seguranca 53 NOUN nmod
57 publica publico 56 ADJ amod
58 raul raul 53 NOUN appos
59 jungmann jungmann 58 NOUN flat
60 se se 61 PRON obj
61 reuniu reunir 2 VERB parataxis
62 em em 64 ADP case
63 o o 64 DET det
64 inicio inicio 61 NOUN nmod
65 de de 67 ADP case
66 a o 67 DET det
67 tarde tarde 64 NOUN nmod
68 desta desta 69 ADP case
69 sextafeira sextafeira 67 NOUN nmod
70 9 9 69 NUM nmod
71 com com 73 ADP case
72 os o 73 DET det
73 deputados deputado 61 NOUN nmod
74 federais federal 73 ADJ amod
75 de de 77 ADP case
76 o o 77 DET det
77 rio rio 73 NOUN nmod
78 de de 79 ADP case
79 janeiro janeiro 77 PROPN nmod
80 em em 82 ADP case
81 a o 82 DET det
82 escola escola 61 NOUN nmod
83 superior superior 82 ADJ amod
84 de de 85 ADP case
85 guerra guerra 82 NOUN nmod
86 em em 88 ADP case
87 a o 88 DET det
88 urca urca 82 NOUN nmod
89 zona zona 82 NOUN appos
90 sul sul 89 ADJ amod
91 de de 93 ADP case
92 o o 93 DET det
93 rio rio 89 NOUN nmod
94 o o 95 DET det
95 encontro encontro 61 NOUN nsubj
96 discutiu discutir 2 VERB parataxis
97 as o 98 DET det
98 acoes acoe 96 NOUN obj
99 de de 100 ADP case
100 intervencao intervencao 98 NOUN nmod
101 e e 103 CCONJ cc
102 de de 103 ADP case
103 garantia garantia 100 NOUN conj
104 de de 106 ADP case
105 a o 106 DET det
106 lei lei 103 NOUN nmod
107 e e 110 CCONJ cc
108 de de 110 ADP case
109 a o 110 DET det
110 ordem ordem 106 NOUN conj
111 em em 112 ADP case
112 territorio territorio 103 NOUN nmod
113 fluminense fluminense 112 ADJ amod
114 em em 116 ADP case
115 a o 116 DET det
116 reuniao reuniao 119 NOUN nmod
117 tambem tambem 119 ADV advmod
118 foram foram 119 AUX aux:pass
119 tratados tratar 61 VERB parataxis
120 temas tema 119 NOUN nsubj:pass
121 como como 123 ADP case
122 o o 123 DET det
123 tratamento tratamento 120 NOUN nmod
124 a a 126 ADP case
125 os o 126 DET det
126 usuarios usuario 123 NOUN nmod
127 de de 128 ADP case
128 drogas droga 126 NOUN nmod
129 por por 131 ADP case
130 as o 131 DET det
131 forcas forca 123 NOUN nmod
132 de de 133 ADP case
133 seguranca seguranca 131 NOUN nmod
134 jungmann jungmann 135 PROPN nsubj
135 explicou explicar 96 VERB parataxis
136 apos apos 138 ADP case
137 o o 138 DET det
138 encontro encontro 135 NOUN nmod
139 que que 140 CCONJ mark
140 pediu pedir 135 VERB ccomp
141 a a 144 ADP case
142 o o 144 DET det
143 supremo supremo 144 ADJ amod
144 tribunal tribunal 140 NOUN iobj
145 federal federal 144 ADJ amod
146 a o 147 DET det
147 retomada retomada 140 NOUN obj
148 de de 150 ADP case
149 a o 150 DET det
150 discussao discussao 147 NOUN nmod
151 sobre sobre 153 ADP case
152 o o 153 DET det
153 estabelecimento estabelecimento 150 NOUN nmod
154 entre entre 156 ADP case
155 uma um 156 DET det
156 diferenca diferenca 153 NOUN nmod
157 entre entre 159 ADP case
158 o o 159 DET det
159 usuario usuario 156 NOUN nmod
160 e e 162 CCONJ cc
161 o o 162 DET det
162 traficante traficante 159 NOUN conj
163 essa essa 164 DET det
164 discriminacao discriminacao 140 NOUN obj
165 se se 135 PRON expl:pv
