1 segundafeira segundafeira 10 NOUN parataxis
2 22 22 1 NUM nmod
3 de de 4 ADP case
4 maio maio 2 PROPN nmod
5 de de 6 ADP case
6 2017 2017 4 NUM nmod
7 boa bom 8 ADJ amod
8 noite noite 1 NOUN appos
9 aqui aqui 10 ADV advmod
10 estao estao 0 VERB root
11 as o 13 DET det
12 principais principal 13 ADJ amod
13 noticias noticia 10 NOUN nsubj
14 para para 16 ADP mark
15 voce voce 16 PRON nsubj
16 terminar terminar 13 VERB nmod
17 o o 18 DET det
18 dia dia 16 NOUN obj
19 beminformado beminformado 18 ADJ amod
20 a o 21 DET det
21 pericia pericia 28 NOUN nsubj
22 contratada contratar 21 VERB acl
23 por por 25 ADP case
24 a o 25 DET det
25 defesa defesa 22 NOUN nmod
26 de de 27 ADP case
27 temer temer 25 NOUN nmod
28 desqualificou desqualificar 10 VERB parataxis
29 o o 30 DET det
30 audio audio 28 NOUN obj
31 de de 33 ADP case
32 a o 33 DET det
33 conversa conversa 30 NOUN nmod
34 entre entre 36 ADP case
35 o o 36 DET det
36 presidente presidente 33 NOUN nmod
37 e e 38 CCONJ cc
38 joesley joesley 36 NOUN conj
39 batista batista 38 ADJ amod
40 dono dono 30 NOUN appos
41 de de 43 ADP case
42 a o 43 DET det
43 jbs jbs 40 NOUN nmod
44 a o 45 DET det
45 ordem ordem 28 NOUN nsubj
46 de de 48 ADP case
47 os o 48 DET det
48 advogados advogado 45 NOUN nmod
49 de de 51 ADP case
50 o o 51 DET det
51 brasil brasil 48 NOUN nmod
52 disse dizer 10 VERB parataxis
53 que que 61 CCONJ mark
54 independente independente 281 ADV advmod
55 de de 57 ADP case
56 a o 57 DET det
57 analise analise 54 NOUN nmod
58 sobre sobre 60 ADP case
59 essa essa 60 DET det
60 gravacao gravacao 57 NOUN nmod
61 protocolara protocolar 52 VERB ccomp
62 um um 63 DET det
63 pedido pedido 61 NOUN obj
64 de de 65 ADP case
65 impeachment impeachment 63 NOUN nmod
66 de de 67 ADP case
67 temer temer 63 NOUN nmod
68 ainda ainda 70 ADV advmod
69 nesta nesta 70 ADP case
70 semana semana 281 NOUN nmod
71 e e 82 CCONJ cc
72 a o 82 DET det
73 atencao atencao 406 NOUN nsubj
74 sobre sobre 76 ADP case
75 o o 76 DET det
76 noticiario noticiario 73 NOUN nmod
77 politico politico 76 ADJ amod
78 de de 80 ADP case
79 o o 80 DET det
80 pais pais 76 NOUN nmod
81 foi foi 82 AUX aux:pass
82 interrompida interromper 10 VERB conj
83 por por 85 ADP case
84 a o 85 DET det
85 informacao informacao 82 NOUN nmod
86 urgente urgente 85 ADJ amod
87 de de 88 ADP case
88 mortos morto 85 NOUN nmod
89 e e 90 CCONJ cc
90 feridos ferido 88 NOUN conj
91 a a 93 ADP case
92 o o 93 DET det
93 fim fim 208 NOUN nmod
94 de de 96 ADP case
95 um um 96 DET det
96 show show 93 NOUN nmod
97 de de 99 ADP case
98 a o 99 DET det
99 cantora cantor 96 NOUN nmod
100 ariana ariano 99 ADJ amod
101 grande grande 99 ADJ amod
102 em em 103 ADP case
103 manchester manchester 154 NOUN nmod
104 inglaterra inglaterro 103 ADJ amod
105 relatos relato 406 NOUN nsubj
106 de de 107 ADP case
107 explosao explosao 105 NOUN nmod
108 a a 110 ADP case
109 o o 110 DET det
110 termino termino 107 NOUN nmod
111 de de 113 ADP case
112 uma um 113 DET det
113 apresentacao apresentacao 110 NOUN nmod
114 de de 116 ADP case
115 a o 116 DET det
116 cantora cantor 113 NOUN nmod
117 ariana ariano 116 ADJ amod
118 grande grande 116 ADJ amod
119 foram foram 120 AUX aux:pass
120 seguidos seguir 10 VERB parataxis
121 de de 123 ADP case
122 a o 123 DET det
123 informacao informacao 120 NOUN nmod
124 confirmada confirmar 123 VERB acl
125 de de 127 ADP case
126 a o 127 DET det
127 policia policia 208 NOUN nmod
