1 reveja rever 0 VERB root
2 todos todos 4 DET det
3 os o 4 DET det
4 videos video 1 NOUN obj
5 de de 7 ADP case
6 o o 7 DET det
7 quadro quadro 4 NOUN nmod
8 partiurs partiurs 7 NOUN flat
9 de de 11 ADP case
10 o o 11 DET det
11 jornal jornal 7 NOUN nmod
12 de de 14 ADP case
13 o o 14 DET det
14 almoco almoco 11 NOUN nmod
15 telejornal telejornal 14 ADJ amod
16 mostra mostrar 1 VERB parataxis
17 a a 20 ADP case
18 os o 20 DET det
19 sabados sabado 20 ADJ amod
20 destinos destino 16 NOUN nmod
21 e e 22 CCONJ cc
22 curiosidades curiosidade 20 NOUN conj
23 de de 25 ADP case
24 o o 25 DET det
25 rio rio 20 NOUN nmod
26 grande grande 25 ADJ amod
27 de de 29 ADP case
28 o o 29 DET det
29 sul sul 25 NOUN nmod
30 confira conferir 1 VERB conj
31 tambem tambem 30 ADV advmod
32 dicas dica 30 NOUN obj
33 de de 34 ADP case
34 gastronomia gastronomia 32 NOUN nmod
35 e e 36 CCONJ cc
36 hospedagem hospedagem 34 NOUN conj
37 em em 39 ADP case
38 as o 39 DET det
39 cidades cidade 30 NOUN nmod
40 gauchas gaucha 39 ADJ amod
41 o o 42 DET det
42 rio rio 30 NOUN nsubj
43 grande grande 42 ADJ amod
44 de de 46 ADP case
45 o o 46 DET det
46 sul sul 42 NOUN nmod
47 e e 48 CCONJ cc
48 conhecido conhecer 30 VERB conj
49 por por 51 ADP case
50 suas suas 51 DET det:poss
51 belezas beleza 48 NOUN nmod
52 naturais natural 51 ADJ amod
53 que que 54 PRON nsubj
54 vao ir 51 VERB acl:relcl
55 de de 57 ADP case
56 a o 57 DET det
57 serra serra 54 NOUN nmod
58 a a 60 ADP case
59 o o 60 DET det
60 litoral litoral 57 NOUN nmod
61 alem alem 202 ADV advmod
62 de de 64 ADP case
63 sua sua 64 DET det:poss
64 diversidade diversidade 61 NOUN nmod
65 cultural cultural 64 ADJ amod
66 trazida trazer 51 VERB acl
67 por por 69 ADP case
68 os o 69 DET det
69 imigrantes imigrante 66 NOUN nmod
70 que que 71 PRON nsubj
71 vao ir 69 VERB acl:relcl
72 de de 74 ADP case
73 a o 74 DET det
74 arquitetura arquitetura 54 NOUN nmod
75 a a 76 ADP case
76 gastronomia gastronomia 74 NOUN nmod
77 desde desde 80 ADP case
78 o o 80 DET det
79 primeiro primeiro 80 ADJ amod
80 sabado sabado 54 PROPN nmod
81 de de 82 ADP case
82 junho junho 80 PROPN nmod
83 de de 84 ADP case
84 2016 2016 82 NUM nmod
85 o o 86 DET det
86 jornal jornal 202 NOUN nsubj
87 de de 89 ADP case
88 o o 89 DET det
89 almoco almoco 86 NOUN nmod
90 exibido exibir 86 VERB acl
91 por por 93 ADP case
92 a o 93 DET det
93 rbs rbs 90 NOUN nmod
94 tv tv 93 PROPN flat
95 apresenta apresentar 51 VERB acl:relcl
96 o o 97 DET det
97 quadro quadro 95 NOUN obj
98 partiurs partiurs 97 NOUN amod
99 que que 100 PRON nsubj
100 apresenta apresentar 97 VERB acl:relcl
101 destinos destino 100 NOUN obj
102 curiosidades curiosidade 101 NOUN appos
103 e e 104 CCONJ cc
104 sabores sabor 102 NOUN conj
105 de de 108 ADP case
106 as o 108 DET det
107 diferentes diferentes 108 DET det
108 regioes regioe 102 NOUN nmod
109 de de 111 ADP case
110 o o 111 DET det
111 estado estado 108 NOUN nmod
112 voce voce 114 PRON nsubj
113 pode pode 114 AUX aux
114 participar participar 51 VERB acl:relcl
115 de de 117 ADP case
116 o o 117 DET det
117 quadro quadro 114 NOUN nmod
118 com com 120 ADP case
119 um um 120 DET det
120 registro registro 243 NOUN nmod
121 em em 122 ADP case
122 foto foto 120 NOUN nmod
123 ou ou 124 CCONJ cc
124 video video 122 NOUN conj
125 apresentando apresentar 120 VERB acl
126 belezas beleza 125 NOUN obj
127 curiosidades curiosidade 125 NOUN obj
128 e e 129 CCONJ cc
129 destinos destino 127 NOUN conj
130 de de 132 ADP case
131 a o 132 DET det
132 cidade cidade 127 NOUN nmod
133 escolhida escolher 267 VERB acl
134 em em 135 ADP case
135 seguida seguida 133 NOUN nmod
