1 grupo grupo 2 NOUN nsubj
2 faz fazer 0 VERB root
3 manifestacao manifestacao 2 NOUN obj
4 em em 5 ADP case
5 uberlandia uberlandia 2 NOUN nmod
6 por por 8 ADP case
7 a o 8 DET det
8 absolvicao absolvicao 2 NOUN nmod
9 de de 11 ADP case
10 o o 11 DET det
11 expresidente expresidente 8 NOUN nmod
12 lula lula 11 ADJ amod
13 ato ato 14 NOUN nsubj
14 ocorre ocorrer 2 VERB parataxis
15 simultaneamente simultaneamente 14 ADV advmod
16 a a 18 ADP case
17 o o 18 DET det
18 julgamento julgamento 15 NOUN nmod
19 de de 21 ADP case
20 o o 21 DET det
21 recurso recurso 18 NOUN nmod
22 de de 24 ADP case
23 o o 24 DET det
24 petista petista 21 NOUN nmod
25 em em 27 ADP case
26 o o 27 DET det
27 trf4 trf4 29 NOUN nmod
28 movimento movimento 29 NOUN nsubj
29 comecou comecar 2 VERB parataxis
30 em em 31 ADP case
31 frente frente 29 NOUN nmod
32 a a 34 ADP case
33 o o 34 DET det
34 predio predio 31 NOUN nmod
35 de de 37 ADP case
36 a o 37 DET det
37 justica justica 34 NOUN nmod
38 federal federal 37 ADJ amod
39 integrantes integrantes 43 NOUN nsubj
40 de de 41 ADP case
41 movimentos movimento 39 NOUN nmod
42 sociais social 41 ADJ amod
43 manifestaram manifestar 2 VERB parataxis
44 em em 45 ADP case
45 uberlandia uberlandia 43 NOUN nmod
46 nesta nesta 47 ADP case
47 quartafeira quartafeira 43 NOUN nmod
48 24 24 47 NUM nmod
49 por por 51 ADP case
50 a o 51 DET det
51 absolvicao absolvicao 43 NOUN nmod
52 de de 54 ADP case
53 o o 54 DET det
54 petista petista 51 NOUN nmod
55 luiz luiz 54 NOUN appos
56 inacio inacio 55 NOUN flat
57 lula lula 55 PROPN flat
58 de de 60 ADP case
59 a o 60 DET det
60 silva silva 55 NOUN nmod
61 pt pt 64 NOUN obj
62 a o 63 DET det
63 acao acao 64 NOUN nsubj
64 comecou comecar 43 VERB conj
65 em em 66 ADP case
66 frente frente 64 NOUN nmod
67 a a 69 ADP case
68 o o 69 DET det
69 predio predio 66 NOUN nmod
70 de de 72 ADP case
71 a o 72 DET det
72 justica justica 69 NOUN nmod
73 federal federal 72 ADJ amod
74 em em 76 ADP case
75 o o 76 DET det
76 inicio inicio 64 NOUN nmod
77 de de 79 ADP case
78 a o 79 DET det
79 manha manha 76 NOUN nmod
80 simultaneamente simultaneamente 64 ADV advmod
81 a a 83 ADP case
82 o o 83 DET det
83 julgamento julgamento 80 NOUN nmod
84 de de 86 ADP case
85 o o 86 DET det
86 recurso recurso 83 NOUN nmod
87 de de 89 ADP case
88 o o 89 DET det
89 expresidente expresidente 86 NOUN nmod
90 luiz luiz 89 ADJ appos
91 inacio inacio 90 NOUN flat
92 lula lula 90 PROPN flat
93 de de 95 ADP case
94 a o 95 DET det
95 silva silva 90 NOUN nmod
96 pt pt 95 PROPN appos
97 em em 99 ADP case
98 o o 99 DET det
99 tribunal tribunal 86 NOUN nmod
100 regional regional 99 ADJ amod
101 federal federal 99 ADJ amod
102 de de 105 ADP case
103 a o 105 DET det
104 4 4 105 NUM nummod
105 regiao regiao 99 NOUN nmod
106 trf4 trf4 105 PROPN appos
107 a o 108 DET det
108 policia policia 110 NOUN nsubj
109 militar militar 108 ADJ amod
110 acompanhou acompanhar 2 VERB parataxis
111 o o 112 DET det
112 protesto protesto 110 NOUN obj
113 e e 114 CCONJ cc
114 contabilizou contabilizar 110 VERB conj
115 por por 117 ADP case
116 o o 117 DET det
117 menos menos 118 ADV advmod
118 70 70 119 NUM nummod
119 pessoas pessoa 114 NOUN obj
120 ja ja 122 ADV advmod
121 a o 122 DET det
122 organizacao organizacao 114 NOUN obj
123 de de 117 ADP case
124 o o 117 DET det
