1 tres tres 2 NUM nummod
2 ministros ministro 5 NOUN nsubj
3 de de 4 ADP case
4 temer temer 2 NOUN nmod
5 abalaramse abalarar 0 VERB root
6 de de 7 ADP case
7 brasilia brasilia 5 NOUN nmod
8 para para 10 ADP case
9 o o 10 DET det
10 rio rio 5 NOUN nmod
11 para para 12 ADP mark
12 contar contar 5 VERB advcl
13 a a 15 ADP case
14 o o 15 DET det
15 presidente presidente 12 NOUN iobj
16 de de 18 ADP case
17 o o 18 DET det
18 tjrj tjrj 15 NOUN nmod
19 desembargador desembargador 15 NOUN appos
20 milton milton 19 NOUN appos
21 fernandes fernande 20 NOUN flat
22 de de 23 ADP case
23 souza souza 20 NOUN nmod
24 que que 38 CCONJ mark
25 as o 26 DET det
26 operacoes operacoe 38 NOUN nsubj
27 policiais policial 26 ADJ amod
28 em em 30 ADP case
29 a o 30 DET det
30 intervencao intervencao 26 NOUN nmod
31 federal federal 30 ADJ amod
32 em em 34 ADP case
33 a o 34 DET det
34 seguranca seguranca 30 NOUN nmod
35 de de 37 ADP case
36 o o 37 DET det
37 rio rio 34 NOUN nmod
38 respeitarao respeitar 12 VERB ccomp
39 a o 40 DET det
40 constituicao constituicao 38 NOUN obj
41 e e 43 CCONJ cc
42 os o 43 DET det
43 direitos direito 40 NOUN conj
44 fundamentais fundamental 43 ADJ amod
45 bidu biar 5 VERB conj
46 o o 47 DET det
47 fato fato 45 NOUN obj
48 de de 50 ADP mark
49 ser ser 50 AUX cop
50 caso caso 47 NOUN nmod
51 a a 52 ADP case
52 caso caso 50 NOUN nmod
53 e e 54 CCONJ cc
54 obvio obvio 50 ADJ conj
55 por por 58 ADP mark
56 ser ser 58 AUX cop
57 um um 58 DET det
58 principio principio 54 NOUN nmod
59 juridico juridico 58 ADJ amod
60 assim assim 63 ADV case
61 como como 60 ADP fixed
62 a o 63 DET det
63 bola bola 58 NOUN nmod
64 e e 65 CCONJ cc
65 redonda redondo 63 ADJ conj
66 o o 67 DET det
67 dado dado 82 NOUN obj
68 e e 69 CCONJ cc
69 quadrado quadrado 67 ADJ conj
70 e e 77 CCONJ cc
71 mae mae 77 NOUN nsubj
72 e e 76 CCONJ cc
73 mae mae 71 NOUN conj
74 vaca vaca 77 NOUN nsubj
75 e e 76 CCONJ cc
76 vaca vaca 74 NOUN conj
77 seja ser 45 VERB conj
78 como como 82 CCONJ mark
79 for for 82 VERB advcl
80 tais tais 81 DET det
81 medidas medida 82 NOUN nsubj
82 violam violar 77 VERB advcl
83 o o 84 DET det
84 estado estado 82 NOUN obj
85 de de 86 ADP case
86 direito direito 84 NOUN nmod
87 de de 88 ADP case
88 fato fato 82 NOUN nmod
89 isso isso 92 PRON nsubj:pass
90 ja ja 92 ADV advmod
91 foi foi 92 AUX aux:pass
92 feito feito 77 VERB conj
93 mas mas 95 CCONJ cc
94 so so 95 ADV advmod
95 serve servir 77 VERB conj
96 para para 97 ADP mark
97 lembrar lembrar 95 VERB nmod
98 que que 117 CCONJ mark
99 alem alem 121 ADV advmod
100 de de 101 ADP case
101 burra burra 99 NOUN nmod
102 a o 103 DET det
103 expresidente expresidente 121 NOUN nsubj
104 dilma dilmo 103 ADJ amod
105 rousseff rousseff 103 ADJ amod
106 sob sob 108 ADP case
107 cuja cuja 108 DET det
108 egide egide 109 NOUN nmod
109 ocorreu ocorrer 103 VERB acl:relcl
110 o o 111 DET det
111 fato fato 109 NOUN nsubj
112 lembrado lembrar 111 VERB acl
113 tambem tambem 112 ADV advmod
114 e e 117 CCONJ cc
115 de de 117 ADP case
116 um um 117 DET det
117 cinismo cinismo 97 NOUN conj
118 atroz atroz 117 ADJ amod
119 pois pois 121 CCONJ mark
120 ela ela 121 PRON nsubj
121 teve ter 95 VERB advcl
122 o o 123 DET det
123 desplante desplante 121 NOUN obj
124 de de 125 ADP mark
125 reclamar reclamar 123 VERB nmod
126 desse desse 127 ADP case
127 arreganho arreganho 125 NOUN nmod
128 de de 129 ADP case
129 arbitrio arbitrio 127 NOUN nmod
130 em em 131 ADP case
131 rede rede 125 NOUN nmod
132 social social 131 ADJ amod
133 e e 134 CCONJ cc
134 perdeu perder 121 VERB conj
135 a o 137 DET det
136 oportunosa oportunoso 137 ADJ amod
137 ensancha ensancha 134 NOUN obj
138 de de 139 ADP mark
139 calar calar 137 VERB nmod
140 comentario comentario 139 NOUN obj
141 em em 143 ADP case
142 o o 143 DET det
143 jornal jornal 139 NOUN nmod
144 eldorado eldorado 143 ADJ amod
