1 entenda entender 0 VERB root
2 por por 15 ADP mark
3 que que 15 CCONJ mark
4 luiz luiz 15 NOUN nsubj
5 inacio inacio 4 NOUN flat
6 lula lula 4 NOUN flat
7 de de 9 ADP case
8 a o 9 DET det
9 silva silva 5 NOUN nmod
10 fundador fundador 4 ADJ amod
11 de de 13 ADP case
12 o o 13 DET det
13 pt pt 10 NOUN nmod
14 e e 15 CCONJ cc
15 alvo alvo 1 NOUN ccomp
16 de de 17 ADP case
17 acoes acoe 15 NOUN nmod
18 penais penal 17 ADJ amod
19 e e 20 CCONJ cc
20 inqueritos inquerito 18 ADJ conj
21 em em 23 ADP case
22 a o 23 DET det
23 justica justica 17 NOUN nmod
24 federal federal 23 ADJ amod
25 em em 27 ADP case
26 o o 27 DET det
27 parana parana 23 NOUN nmod
28 e e 30 CCONJ cc
29 em em 30 ADP case
30 brasilia brasilia 27 NOUN conj
31 e e 36 CCONJ cc
32 ate ate 36 ADV advmod
33 em em 36 ADP case
34 o o 36 DET det
35 supremo supremo 36 ADJ amod
36 tribunal tribunal 27 NOUN conj
37 federal federal 36 ADJ amod
38 depois depois 40 ADV mark
39 de de 38 ADP fixed
40 ficar ficar 15 VERB advcl
41 entre entre 43 ADP case
42 os o 43 DET det
43 presidentes presidente 40 NOUN nmod
44 mais mais 45 ADV advmod
45 populares popular 43 ADJ amod
46 de de 48 ADP case
47 o o 48 DET det
48 pais pais 43 NOUN nmod
49 em em 52 ADP case
50 seus seus 52 DET det:poss
51 dois dois 52 NUM nummod
52 mandatos mandato 40 NOUN nmod
53 20032010 20032010 52 NUM nmod
54 o o 55 DET det
55 expresidente expresidente 64 NOUN nsubj
56 luiz luiz 55 NOUN appos
57 inacio inacio 56 NOUN flat
58 lula lula 56 NOUN flat
59 de de 61 ADP case
60 a o 61 DET det
61 silva silva 56 NOUN nmod
62 agora agora 64 ADV advmod
63 e e 64 AUX cop
64 alvo alvo 1 NOUN ccomp
65 de de 66 ADP case
66 investigacoes investigacoe 64 NOUN nmod
67 de de 69 ADP case
68 a o 69 DET det
69 policia policia 66 NOUN nmod
70 federal federal 69 ADJ amod
71 e e 74 CCONJ cc
72 de de 74 ADP case
73 o o 74 DET det
74 ministerio ministerio 69 NOUN conj
75 publico publico 74 ADJ amod
76 federal federal 74 ADJ amod
77 e e 79 CCONJ cc
78 ja ja 79 ADV advmod
79 responde responder 64 VERB conj
80 a a 82 ADP case
81 tres tres 82 NUM nummod
82 acoes acoe 79 NOUN nmod
83 penais penal 82 ADJ amod
84 sendo ser 82 VERB acl
85 uma uma 84 PRON nsubj
86 em em 88 ADP case
87 a o 88 DET det
88 justica justica 85 NOUN nmod
89 federal federal 88 ADJ amod
90 de de 92 ADP case
91 o o 92 DET det
92 distrito distrito 88 NOUN nmod
93 federal federal 92 ADJ amod
94 e e 95 CCONJ cc
95 outra outra 85 PRON conj
96 em em 100 ADP case
97 a o 100 DET det
98 de de 100 ADP case
99 o o 100 DET det
100 parana parana 95 NOUN nmod
101 confira conferir 79 VERB conj
102 abaixo abaixo 101 ADV advmod
103 as o 104 DET det
104 acusacoes acusacoe 101 NOUN obj
105 contra contra 106 ADP case
106 lula lula 104 NOUN nmod
107 e e 111 CCONJ cc
108 em em 110 ADP case
109 qual qual 110 DET det
110 estagio estagio 111 NOUN nmod
111 estao estao 101 VERB conj
112 acoes acoe 111 NOUN nsubj
113 penais penal 112 ADJ amod
114 e e 115 CCONJ cc
115 denuncias denuncias 112 NOUN conj
116 obstrucao obstrucao 112 NOUN appos
117 de de 118 ADP case
118 justica justica 116 NOUN nmod
119 em em 121 ADP case
120 a o 121 DET det
121 lava lava 116 NOUN nmod
122 jato jato 121 NOUN flat
123 em em 121 ADP case
