1 rendimento rendimento 2 NOUN nsubj
2 ajuda ajudar 0 VERB root
3 a o 4 DET det
4 recuperacao recuperacao 2 NOUN obj
5 de de 7 ADP case
6 as o 7 DET det
7 cadernetas caderneta 4 NOUN nmod
8 com com 10 ADP case
9 a o 10 DET det
10 reducao reducao 2 NOUN nmod
11 de de 13 ADP case
12 o o 13 DET det
13 custo custo 10 NOUN nmod
14 de de 15 ADP case
15 captacao captacao 13 NOUN nmod
16 de de 18 ADP case
17 as o 18 DET det
18 cadernetas caderneta 13 NOUN nmod
19 e e 23 CCONJ cc
20 tambem tambem 23 ADV advmod
21 de de 23 ADP case
22 o o 23 DET det
23 juro juro 10 NOUN conj
24 basico basico 23 ADJ amod
25 a o 26 DET det
26 tendencia tendencia 23 NOUN appos
27 e e 212 CCONJ cc
28 de de 31 ADP mark
29 que que 31 CCONJ mark
30 se se 31 PRON expl:pv
31 acentue acentuar 212 VERB advcl
32 a o 33 DET det
33 queda queda 31 NOUN nsubj
34 de de 36 ADP case
35 as o 36 DET det
36 taxas taxa 33 NOUN nmod
37 cobradas cobrar 36 VERB acl
38 de de 40 ADP case
39 os o 40 DET det
40 mutuarios mutuario 37 NOUN nmod
41 tornando tornar 31 VERB acl
42 o o 43 DET det
43 credito credito 41 NOUN obj
44 acessivel acessivel 43 ADJ amod
45 a a 47 ADP case
46 um um 47 DET det
47 numero numero 44 NOUN nmod
48 maior maior 47 ADJ amod
49 de de 50 ADP case
50 trabalhadores trabalhador 47 NOUN nmod
51 as o 52 DET det
52 aplicacoes aplicacoe 156 NOUN nsubj
53 em em 54 ADP case
54 caderneta caderneta 52 NOUN nmod
55 de de 56 ADP case
56 poupanca poupanca 54 NOUN nmod
57 se se 58 PRON expl:pv
58 recuperaram recuperar 2 VERB parataxis
59 em em 60 ADP case
60 2017 2017 58 NUM nmod
61 com com 62 ADP case
62 captacao captacao 156 NOUN nmod
63 liquida liquido 62 ADJ amod
64 anual anual 62 ADJ amod
65 de de 66 ADP case
66 r r 62 NOUN nmod
67 148 148 68 NUM nummod
68 bilhoes bilhoes 66 NOUN appos
69 em em 71 ADP case
70 o o 71 DET det
71 sistema sistema 162 NOUN nmod
72 brasileiro brasileiro 71 ADJ amod
73 de de 74 ADP case
74 poupanca poupanca 71 NOUN nmod
75 e e 76 CCONJ cc
76 emprestimo emprestimo 74 NOUN conj
77 sbpe sbpe 410 NOUN appos
78 passou passar 2 VERB conj
79 assim assim 78 ADV advmod
80 o o 81 DET det
81 periodo periodo 78 NOUN obj
82 mais mais 83 ADV advmod
83 dificil dificil 81 ADJ amod
84 para para 86 ADP case
85 as o 86 DET det
86 cadernetas caderneta 81 NOUN nmod
87 que que 88 PRON nsubj
88 sofreram sofrer 86 VERB acl:relcl
89 saques saque 88 NOUN obj
90 liquidos liquido 89 ADJ amod
91 de de 92 ADP case
92 r r 89 NOUN nmod
93 501 501 94 NUM nummod
94 bilhoes bilhoes 92 NOUN nummod
95 em em 96 ADP case
96 2015 2015 92 NUM nmod
97 e e 99 CCONJ cc
98 de de 99 ADP case
99 r r 92 NOUN conj
100 312 312 101 NUM nummod
101 bilhoes bilhoes 99 NOUN nummod
102 em em 103 ADP case
103 2016 2016 99 NUM nmod
104 a o 105 DET det
105 evolucao evolucao 106 NOUN nsubj
106 foi foi 156 VERB conj
107 possivel possivel 106 ADJ xcomp
108 gracas gracas 110 ADV case
109 a a 108 ADP fixed
110 captacao captacao 78 NOUN nmod
111 de de 112 ADP case
112 recursos recurso 110 NOUN nmod
113 observada observar 112 VERB acl
114 em em 116 ADP case
115 o o 116 DET det
116 fim fim 113 NOUN nmod
117 de de 119 ADP case
118 o o 119 DET det
119 ano ano 116 NOUN nmod
120 aliada aliado 110 ADJ amod
121 a a 123 ADP case
122 o o 123 DET det
123 aumento aumento 120 NOUN nmod
124 de de 126 ADP case
125 a o 126 DET det
126 competitividade competitividade 123 NOUN nmod
127 de de 129 ADP case
128 as o 129 DET det
129 cadernetas caderneta 126 NOUN nmod
130 cuja cuja 131 DET det
131 remuneracao remuneracao 132 NOUN nsubj
132 esta esta 129 VERB acl:relcl
133 menos menos 134 ADV advmod
134 distante distante 132 ADJ xcomp
135 de de 139 ADP case
136 a o 139 DET det
137 que que 135 CCONJ fixed
138 e e 139 AUX aux:pass
139 proporcionada proporcionar 215 VERB advcl
140 por por 142 ADP case
141 a o 142 DET det
142 maioria maioria 139 NOUN nmod
143 de de 145 ADP case
144 os o 145 DET det
145 fundos fundos 142 NOUN nmod
146 de de 147 ADP case
147 investimento investimento 145 NOUN nmod
148 os o 149 DET det
149 saldos saldo 156 NOUN nsubj
150 de de 152 ADP case
151 as o 152 DET det
152 cadernetas caderneta 149 NOUN nmod
153 de de 155 ADP case
154 o o 155 DET det
155 sbpe sbpe 152 NOUN nmod
156 atingiram atingir 378 VERB parataxis
157 r r 156 NOUN obj
158 5637 5637 159 NUM nummod
159 bilhoes bilhoes 156 NOUN obj
160 em em 161 ADP case
161 2017 2017 156 NUM nmod
162 superando superar 156 VERB acl
163 em em 164 ADP case
164 r r 162 NOUN nmod
165 478 478 166 NUM nummod
166 bilhoes bilhoes 164 NOUN nummod
167 os os 162 PRON obj
168 de de 169 ADP case
169 2016 2016 167 NUM nmod
170 o o 171 DET det
171 crescimento crescimento 176 NOUN nsubj
172 de de 174 ADP case
173 as o 174 DET det
174 aplicacoes aplicacoe 171 NOUN nmod
175 liquidas liquido 174 ADJ amod
176 foi foi 156 VERB parataxis
177 de de 179 ADP case
178 quase quase 83 ADV advmod
179 r r 176 NOUN nmod
180 15 15 181 NUM nummod
181 bilhoes bilhoes 179 NOUN nummod
182 em em 183 ADP case
183 dezembro dezembro 176 PROPN nmod
184 mes mes 176 CCONJ nsubj
185 sazonalmente sazonalmente 187 ADV advmod
186 mais mais 187 ADV advmod
187 favoravel favoravel 106 ADJ xcomp
188 para para 190 ADP case
189 a o 190 DET det
190 aplicacao aplicacao 187 NOUN nmod
191 devido dever 194 VERB case
192 a a 191 ADP case
193 o o 191 DET det
194 pagamento pagamento 293 NOUN nmod
195 de de 198 ADP case
196 o o 198 DET det
197 13 13 198 NUM nummod
198 salario salario 194 NOUN nmod
199 a a 200 ADP case
200 trabalhadores trabalhador 194 NOUN nmod
201 e e 202 CCONJ cc
202 aposentados aposentado 200 NOUN conj
203 em em 204 ADP case
204 2017 2017 457 NUM nmod
205 a o 206 DET det
206 remuneracao remuneracao 457 NOUN nsubj
207 de de 209 ADP case
208 os o 209 DET det
209 depositos deposito 206 NOUN nmod
210 de de 211 ADP case
211 poupanca poupanca 209 NOUN nmod
212 foi foi 2 VERB parataxis
213 de de 214 ADP case
214 661 661 212 NUM nmod
215 superando superar 212 VERB acl
216 largamente largamente 215 ADV advmod
217 a o 218 DET det
218 inflacao inflacao 215 NOUN obj
219 estimada estimar 218 VERB acl
220 em em 223 ADP case
221 menos menos 354 ADV advmod
222 de de 221 ADP case
223 3 3 219 NUM nmod
224 em em 225 ADP case
225 2016 2016 139 NUM nmod
226 as o 227 DET det
227 cadernetas caderneta 230 NOUN nsubj
228 ja ja 230 ADV advmod
229 haviam haver 230 AUX aux
230 proporcionado proporcionar 156 VERB parataxis
231 renda renda 230 NOUN obj
232 real real 231 ADJ amod
233 a a 235 ADP case
234 os o 235 DET det
235 poupadores poupador 230 NOUN iobj
236 mas mas 230 CCONJ cc
237 em em 238 ADP case
238 niveis niveis 230 NOUN nmod
239 menores menor 238 ADJ amod
240 18 18 238 NUM appos
241 e e 243 CCONJ cc
242 mais mais 243 ADV advmod
243 dificil dificil 230 ADJ conj
244 prever prever 230 VERB xcomp
245 a o 246 DET det
246 renda renda 244 NOUN obj
247 real real 246 ADJ amod
248 de de 250 ADP case
249 as o 250 DET det
250 cadernetas caderneta 246 NOUN nmod
251 em em 252 ADP case
252 2018 2018 246 NUM nmod
253 pois pois 258 CCONJ mark
254 as o 255 DET det
255 estimativas estimativas 258 NOUN nsubj
256 de de 257 ADP case
257 inflacao inflacao 255 NOUN nmod
258 oscilam oscilar 156 VERB advcl
259 a a 261 ADP case
260 o o 261 DET det
261 redor redor 258 NOUN nmod
262 de de 264 ADP case
263 os o 264 DET det
264 4 4 261 NUM nmod
265 e e 268 CCONJ cc
266 a o 268 DET det
267 remuneracao remuneracao 268 NOUN nsubj
268 correspondera corresponder 418 VERB conj
269 a a 270 ADP case
270 70 70 268 NUM nmod
271 de de 273 ADP case
