1 oito oito 2 NUM nummod
2 oportunidades oportunidade 12 NOUN nsubj:pass
3 para para 4 ADP mark
4 empreender empreender 2 VERB nmod
5 em em 7 ADP case
6 o o 7 DET det
7 segmento segmento 4 NOUN nmod
8 de de 9 ADP case
9 eficiencia eficiencia 7 NOUN nmod
10 energetica energetico 9 ADJ amod
11 foram foram 12 AUX aux:pass
12 identificadas identificar 0 VERB root
13 em em 14 ADP case
14 estudo estudo 12 NOUN nmod
15 feito feito 14 VERB acl
16 em em 17 ADP case
17 conjunto conjunto 15 NOUN nmod
18 por por 20 ADP case
19 a o 20 DET det
20 aes aes 15 NOUN nmod
21 tiete tiete 20 NOUN flat
22 eletropaulo eletropaulo 20 NOUN flat
23 e e 25 CCONJ cc
24 a o 25 DET det
25 aceleradora acelerador 20 NOUN conj
26 de de 27 ADP case
27 negocios negocio 25 NOUN nmod
28 de de 29 ADP case
29 impacto impacto 25 NOUN nmod
30 social social 29 ADJ amod
31 artemisia artemisiar 12 VERB parataxis
32 acesso acesso 31 NOUN obj
33 a a 34 ADP case
34 energia energia 32 NOUN nmod
35 geracao geracao 34 NOUN amod
36 e e 37 CCONJ cc
37 distribuicao distribuicao 35 NOUN conj
38 descentralizada descentralizado 37 ADJ amod
39 de de 40 ADP case
40 energia energia 37 NOUN nmod
41 inteligencia inteligencia 31 NOUN nsubj
42 de de 43 ADP case
43 dados dado 41 NOUN nmod
44 para para 45 ADP case
45 eficiencia eficiencia 41 NOUN nmod
46 energetica energetico 45 ADJ amod
47 eficiencia eficiencia 41 NOUN appos
48 energetica energetico 47 ADJ amod
49 por por 50 ADP case
50 meio meio 41 NOUN nmod
51 de de 53 ADP case
52 a o 53 DET det
53 adequacao adequacao 50 NOUN nmod
54 de de 55 ADP case
55 imoveis imovel 53 NOUN nmod
56 e e 57 CCONJ cc
57 equipamentos equipamento 55 NOUN conj
58 eficiencia eficiencia 41 NOUN appos
59 energetica energetico 58 ADJ amod
60 em em 62 ADP case
61 a o 62 DET det
62 gestao gestao 58 NOUN nmod
63 e e 65 CCONJ cc
64 em em 65 ADP case
65 equipamentos equipamento 62 NOUN conj
66 publicos publico 65 ADJ amod
67 energia energia 92 NOUN nsubj
68 para para 69 ADP case
69 producao producao 67 NOUN nmod
70 em em 72 ADP case
71 o o 72 DET det
72 campo campo 69 NOUN nmod
73 meios meios 92 NOUN nsubj
74 de de 75 ADP case
75 financiamento financiamento 73 NOUN nmod
76 para para 77 ADP case
77 acesso acesso 73 NOUN nmod
78 a a 79 ADP case
79 servicos servico 77 NOUN nmod
80 de de 81 ADP case
81 energia energia 79 NOUN nmod
82 nao nao 83 ADV advmod
83 convencional convencional 79 ADJ amod
84 e e 85 CCONJ cc
85 capacitacao capacitacao 79 NOUN conj
86 e e 87 CCONJ cc
87 oportunidades oportunidade 85 NOUN conj
88 para para 89 ADP case
89 profissionais profissional 87 NOUN nmod
90 sao sao 92 AUX cop
91 as o 92 DET det
92 oportunidades oportunidade 102 NOUN ccomp
93 detectadas detectar 92 VERB acl
94 gerente gerente 93 NOUN nsubj
95 de de 96 ADP case
96 projetos projeto 94 NOUN nmod
97 de de 99 ADP case
98 a o 99 DET det
99 artemisia artemisia 94 NOUN nmod
100 paula paula 99 NOUN appos
101 sato sato 100 PROPN flat
102 afirma afirmar 12 VERB parataxis
103 que que 109 CCONJ mark
104 os o 105 DET det
105 parceiros parceiro 109 NOUN nsubj
106 de de 108 ADP case
107 o o 108 DET det
108 estudo estudo 105 NOUN nmod
109 esperam esperar 102 VERB ccomp
110 que que 114 CCONJ mark
111 o o 112 DET det
112 resultado resultado 114 NOUN nsubj
113 obtido obter 112 VERB acl
114 sirva servir 109 VERB ccomp
115 de de 116 ADP case
116 base base 114 NOUN nmod
117 para para 126 ADP mark
118 que que 126 CCONJ mark
119 quem quem 120 PRON nsubj
120 quer querer 114 VERB advcl
121 investir investir 120 VERB xcomp
122 em em 124 ADP case
123 o o 124 DET det
124 segmento segmento 121 NOUN nmod
125 o o 126 PRON obj
126 faca faca 114 VERB advcl
