1 atualizada atualizar 9 VERB acl
2 as o 3 DET det
3 12h07 12h07 1 NUM nmod
4 o o 5 DET det
5 senador senador 9 NOUN nsubj
6 delcidio delcidio 5 ADJ appos
7 amaral amaral 5 ADJ amod
8 ptms ptms 5 NOUN appos
9 fez fazer 0 VERB root
10 acordo acordo 9 NOUN obj
11 de de 12 ADP case
12 delacao delacao 10 NOUN nmod
13 premiada premiar 12 VERB acl
14 perante perante 16 ADP case
15 o o 16 DET det
16 grupo grupo 9 NOUN nmod
17 de de 18 ADP case
18 trabalho trabalho 16 NOUN nmod
19 de de 21 ADP case
20 a o 21 DET det
21 procuradoriageral procuradoriageral 16 NOUN nmod
22 de de 24 ADP case
23 a o 24 DET det
24 republica republica 21 NOUN nmod
25 em em 27 ADP case
26 a o 27 DET det
27 operacao operacao 9 NOUN nmod
28 lava lava 27 ADJ appos
29 jato jato 27 NOUN amod
30 ele ele 31 PRON nsubj
31 citou citar 9 VERB parataxis
32 varios varios 33 DET det
33 nomes nome 31 NOUN obj
34 entre entre 35 ADP case
35 eles eles 36 PRON nmod
36 o o 33 PRON appos
37 de de 39 ADP case
38 o o 39 DET det
39 expresidente expresidente 36 NOUN nmod
40 luiz luiz 39 ADJ appos
41 inacio inacio 39 NOUN appos
42 lula lula 39 NOUN appos
43 de de 45 ADP case
44 a o 45 DET det
45 silva silva 382 NOUN nmod
46 e e 47 CCONJ cc
47 detalhou detalhar 425 VERB conj
48 os o 49 DET det
49 bastidores bastidor 47 NOUN obj
50 de de 52 ADP case
51 a o 52 DET det
52 compra compra 49 NOUN nmod
53 de de 55 ADP case
54 a o 55 DET det
55 refinaria refinaria 52 NOUN nmod
56 de de 57 ADP case
57 pasadena pasadena 55 NOUN nmod
58 por por 60 ADP case
59 a o 60 DET det
60 petrobras petrobra 391 NOUN nmod
61 entre entre 63 ADP case
62 outros outros 63 DET det
63 assuntos assunto 47 NOUN nmod
64 as o 66 DET det
65 primeiras primeiro 66 ADJ amod
66 revelacoes revelacoe 425 NOUN nsubj
67 de de 69 ADP case
68 o o 69 DET det
69 exlider exlider 66 NOUN nmod
70 de de 72 ADP case
71 o o 72 DET det
72 governo governo 69 NOUN nmod
73 fazem fazer 9 VERB parataxis
74 parte parte 425 NOUN obj
75 de de 77 ADP case
76 um um 77 DET det
77 documento documento 74 NOUN nmod
78 preliminar preliminar 77 ADJ amod
79 de de 81 ADP case
80 a o 81 DET det
81 colaboracao colaboracao 77 NOUN nmod
82 apos apos 83 ADP mark
83 vir vir 425 VERB advcl
84 a a 85 ADP case
85 tona tona 83 NOUN nmod
86 a o 87 DET det
87 revelacao revelacao 402 NOUN nsubj
88 de de 90 ADP case
89 a o 90 DET det
90 delacao delacao 87 NOUN nmod
91 a o 92 DET det
