1 defesa defesa 4 NOUN nsubj
2 de de 3 ADP case
3 dilma dilma 1 NOUN nmod
4 diz dizer 0 VERB root
5 que que 9 CCONJ mark
6 processo processo 9 NOUN nsubj
7 de de 8 ADP case
8 impeachment impeachment 6 NOUN nmod
9 foi foi 4 VERB ccomp
10 nulo nulo 9 ADJ xcomp
11 e e 12 CCONJ cc
12 motivado motivar 9 VERB conj
13 por por 14 ADP case
14 decisoes decisoe 12 NOUN nmod
15 imorais imoral 14 ADJ amod
16 advogado advogado 9 NOUN nsubj
17 de de 19 ADP case
18 a o 19 DET det
19 presidente presidente 16 NOUN nmod
20 e e 21 CCONJ cc
21 exministro exministro 19 NOUN conj
22 de de 24 ADP case
23 a o 24 DET det
24 justica justica 21 NOUN nmod
25 jose jose 16 NOUN appos
26 eduardo eduardo 25 NOUN flat
27 cardozo cardozo 25 NOUN flat
28 divulgou divulgar 4 VERB conj
29 nota nota 28 NOUN obj
30 nesta nesta 31 ADP case
31 segundafeira segundafeira 28 NOUN nmod
32 16 16 31 NUM nmod
33 o o 34 DET det
34 advogado advogado 28 NOUN nsubj
35 de de 37 ADP case
36 a o 37 DET det
37 expresidente expresidente 34 NOUN nmod
38 dilma dilma 37 NOUN appos
39 rousseff rousseff 38 NOUN flat
40 o o 41 DET det
41 exministro exministro 48 NOUN nsubj
42 de de 44 ADP case
43 a o 44 DET det
44 justica justica 41 NOUN nmod
45 jose jose 41 NOUN appos
46 eduardo eduardo 45 NOUN flat
47 cardozo cardozo 45 NOUN flat
48 disse dizer 4 VERB parataxis
49 em em 50 ADP case
50 nota nota 48 NOUN nmod
51 nesta nesta 52 ADP case
52 segundafeira segundafeira 48 NOUN nmod
53 16 16 52 NUM nmod
54 que que 59 CCONJ mark
55 o o 56 DET det
56 processo processo 59 NOUN nsubj
57 de de 58 ADP case
58 impeachment impeachment 56 NOUN nmod
59 foi foi 48 VERB ccomp
60 nulo nulo 59 ADJ xcomp
61 e e 72 CCONJ cc
62 que que 72 CCONJ mark
63 a o 64 DET det
64 saida saida 72 NOUN nsubj:pass
65 de de 67 ADP case
66 a o 67 DET det
67 expresidente expresidente 64 NOUN nmod
68 de de 70 ADP case
69 o o 70 DET det
70 mandato mandato 64 NOUN nmod
71 foi foi 72 AUX aux:pass
72 motivada motivar 59 VERB conj
73 por por 74 ADP case
74 decisoes decisoe 72 NOUN nmod
75 imorais imoral 74 ADJ amod
76 e e 77 CCONJ cc
77 ilegais ilegal 75 ADJ conj
78 de de 80 ADP case
79 o o 80 DET det
80 expresidente expresidente 74 NOUN nmod
81 de de 83 ADP case
82 a o 83 DET det
83 camara camara 80 NOUN nmod
84 eduardo eduardo 64 NOUN appos
85 cunha cunha 84 NOUN flat
86 veja ver 100 VERB conj
87 a o 88 DET det
88 integra integra 86 NOUN obj
89 de de 91 ADP case
90 a o 91 DET det
91 nota nota 88 NOUN nmod
92 em em 94 ADP case
93 o o 94 DET det
94 final final 100 NOUN nmod
95 desta desta 96 ADP case
96 reportagem reportagem 94 NOUN nmod
97 o o 98 DET det
98 impeachment impeachment 100 NOUN nsubj:pass
99 foi foi 100 AUX aux:pass
100 aprovado aprovar 123 VERB ccomp
101 em em 103 ADP case
102 o o 103 DET det
103 senado senado 100 NOUN nmod
104 em em 105 ADP case
105 agosto agosto 100 PROPN nmod
106 de de 107 ADP case
107 2016 2016 105 NUM nmod
108 depois depois 110 ADV mark
109 de de 108 ADP fixed
110 passar passar 100 VERB advcl
111 tambem tambem 110 ADV advmod
112 por por 114 ADP case
113 a o 114 DET det
114 camara camara 110 NOUN nmod
115 em em 117 ADP case
116 a o 117 DET det
117 epoca epoca 110 NOUN nmod
118 presidida presidir 117 VERB acl
119 por por 120 ADP case
120 cunha cunha 118 NOUN nmod
121 os o 122 DET det
122 parlamentares parlamentar 123 NOUN nsubj
123 entenderam entender 4 VERB parataxis
124 que que 126 CCONJ mark
125 dilma dilma 126 NOUN nsubj
126 cometeu cometer 123 VERB ccomp
127 crime crime 126 NOUN obj
128 de de 129 ADP case
129 responsabilidade responsabilidade 127 NOUN nmod
130 a a 132 ADP case
131 o o 132 DET det
132 editar editar 126 VERB advcl
133 tres tres 132 NOUN obj
