1 nove nove 2 NUM nummod
2 algoritmos algoritmo 19 NOUN nsubj
3 que que 7 PRON nsubj
4 ja ja 7 ADV advmod
5 podem podem 7 AUX aux
6 estar estar 7 AUX aux
7 tomando tomar 2 VERB acl:relcl
8 decisoes decisoe 7 NOUN obj
9 por por 10 ADP case
10 voce voce 7 NOUN nmod
11 sem sem 12 ADP case
12 voce voce 13 PRON nmod
13 saber saber 7 VERB advcl
14 sistemas sistema 13 NOUN obj
15 de de 16 ADP case
16 inteligencia inteligencia 14 NOUN nmod
17 artificial artificial 16 ADJ amod
18 ja ja 19 ADV advmod
19 determinam determinar 0 VERB root
20 quem quem 22 PRON nsubj:pass
21 sera sera 22 AUX aux:pass
22 escolhido escolher 19 VERB ccomp
23 para para 24 ADP case
24 entrevistas entrevista 22 NOUN nmod
25 de de 26 ADP case
26 emprego emprego 24 NOUN nmod
27 ou ou 28 CCONJ cc
28 conseguira conseguir 22 VERB conj
29 emprestimos emprestimo 28 NOUN obj
30 com com 31 ADP case
31 quem quem 34 PRON nmod
32 em em 34 ADP case
33 os os 34 PRON obj
34 relacionamos relacionar 29 VERB nmod
35 e e 39 CCONJ cc
36 ate ate 37 ADV advmod
37 mesmo mesmo 39 ADV advmod
38 a o 39 DET det
39 chance chance 22 NOUN conj
40 de de 43 ADP mark
41 uma um 42 DET det
42 pessoa pessoa 43 NOUN nsubj
43 cometer cometer 39 VERB nmod
44 um um 46 DET det
45 novo novo 46 ADJ amod
46 crime crime 43 NOUN obj
47 uma um 48 DET det
48 tecnologia tecnologia 43 NOUN obj
49 que que 50 PRON nsubj
50 levanta levantar 48 VERB acl:relcl
51 questoes questoe 50 NOUN obj
52 eticas etico 51 ADJ amod
53 importantes importante 51 ADJ amod
54 um um 55 DET det
55 video video 145 NOUN nsubj:pass
56 que que 57 PRON nsubj
57 mostra mostrar 55 VERB acl:relcl
58 o o 59 DET det
59 medico medico 57 NOUN obj
60 david david 59 NOUN appos
61 dao dao 60 X flat
