1 lolla lolla 10 NOUN nsubj
2 x x 1 PUNCT punct
3 donald donald 4 NOUN amod
4 trump trump 1 NOUN appos
5 artistas artista 10 NOUN nsubj
6 de de 8 ADP case
7 o o 8 DET det
8 festival festival 5 NOUN nmod
9 sao sao 10 AUX cop
10 inimigos inimigo 0 NOUN root
11 de de 13 ADP case
12 o o 13 DET det
13 presidente presidente 10 NOUN nmod
14 de de 16 ADP case
15 os o 16 DET det
16 eua eua 13 NOUN nmod
17 veja ver 10 VERB parataxis
18 declaracoes declaracoe 17 NOUN obj
19 metallica metallico 18 ADJ amod
20 strokes stroke 18 NOUN appos
21 the the 22 DET det
22 weeknd weeknd 20 NOUN appos
23 cage cage 22 NOUN appos
24 the the 25 DET det
25 elephant elephant 22 NOUN appos
26 two two 27 NUM nummod
27 door door 25 NOUN conj
28 cinema cinema 25 NOUN appos
29 club club 28 NOUN flat
30 1975 1975 31 NUM nummod
31 glass glass 22 NOUN appos
32 animals animal 31 NOUN amod
33 tove tove 31 NOUN appos
34 lo lo 35 PRON conj
35 tegan tegan 44 NOUN nsubj
36 e e 37 CCONJ cc
37 sara sara 35 NOUN conj
38 melanie melanie 44 NOUN nsubj
39 martinez martinez 38 NOUN flat
40 e e 41 CCONJ cc
41 geazy geazy 35 NOUN conj
42 ja ja 44 ADV advmod
43 se se 44 PRON obj
44 pronunciaram pronunciar 18 VERB acl:relcl
45 nem nem 46 ADV advmod
46 so so 44 PRON advmod
47 de de 48 ADP case
48 musica musica 44 NOUN nmod
49 devera devera 50 AUX aux
50 viver viver 44 VERB parataxis
51 o o 52 DET det
52 lollapalooza lollapalooza 50 NOUN obj
53 2017 2017 52 NUM nmod
54 o o 55 DET det
55 festival festival 44 NOUN nsubj
56 tem ter 10 VERB parataxis
57 grande grande 58 ADJ amod
58 chance chance 56 NOUN obj
59 de de 60 ADP mark
60 servir servir 58 VERB nmod
61 de de 62 ADP case
62 palco palco 60 NOUN nmod
63 a a 64 ADP case
64 discursos discurso 60 NOUN nmod
65 antidonald antidonald 64 ADJ amod
66 trump trump 64 NOUN appos
67 a a 69 ADP case
68 o o 69 DET det
69 menos menos 65 ADV nmod
70 e e 259 CCONJ cc
71 o o 73 DET det
72 que que 73 PRON nsubj
73 sugere sugerir 56 VERB conj
74 o o 75 DET det
75 historico historico 73 NOUN obj
76 recente recente 75 ADJ amod
77 de de 78 ADP case
78 varios varios 75 PRON nmod
79 de de 82 ADP case
80 os o 82 DET det
81 principais principal 82 ADJ amod
82 artistas artista 78 NOUN nmod
83 escalados escalar 82 VERB acl
84 para para 86 ADP case
85 o o 86 DET det
86 evento evento 83 NOUN nmod
87 que que 88 PRON nsubj
88 acontece acontecer 328 VERB acl:relcl
89 em em 91 ADP case
90 os o 91 DET det
91 dias dia 330 NOUN nmod
92 25 25 91 NUM nmod
93 e e 94 CCONJ cc
94 26 26 92 NUM conj
95 de de 96 ADP case
96 marco marco 92 PROPN nmod
97 em em 99 ADP case
98 o o 99 DET det
99 autodromo autodromo 330 NOUN nmod
100 de de 101 ADP case
101 interlagos interlago 99 NOUN nmod
102 em em 345 ADP case
103 sao sao 345 NOUN nmod
104 paulo paulo 345 NOUN nmod
105 leia ler 56 VERB advcl
106 mais mais 107 DET det
107 programacao programacao 105 NOUN obj
108 completa completo 107 ADJ amod
109 de de 111 ADP case
110 o o 111 DET det
111 lollapalooza lollapalooza 107 NOUN nmod
112 2017 2017 111 NUM appos
113 integrantes integrantes 105 NOUN nsubj
114 de de 116 ADP case
115 o o 116 DET det
116 metallica metallica 113 NOUN nmod
117 de de 119 ADP case
118 o o 119 DET det
119 strokes stroke 116 NOUN nmod
120 de de 122 ADP case
121 o o 122 DET det
122 glass glass 119 NOUN nmod
123 animals animal 122 ADJ amod
124 alem alem 136 ADV advmod
125 de de 127 ADP case
126 the the 127 DET det
127 weeknd weeknd 124 NOUN nmod
128 e e 129 CCONJ cc
129 tove tove 127 VERB conj
130 lo lo 129 PRON obj
131 para para 132 ADP mark
132 citar citar 356 VERB nmod
133 so so 132 ADV advmod
134 alguns alguns 132 PRON nsubj
135 ja ja 136 ADV advmod
136 criticaram criticar 132 VERB ccomp
137 severamente severamente 136 ADV advmod
138 o o 139 DET det
139 presidente presidente 136 NOUN obj
140 de de 142 ADP case
141 os o 142 DET det
142 estados estado 139 NOUN nmod
143 unidos unido 142 ADJ amod
144 ou ou 145 CCONJ cc
145 fizeram fazer 136 VERB conj
146 piada piada 145 NOUN obj
147 de de 148 ADP case
148 fato fato 149 NOUN nmod
149 tratase tratar 145 VERB ccomp
150 de de 153 ADP case
151 uma um 153 DET det
152 quase quase 153 ADV advmod
153 unanimidade unanimidade 370 NOUN nmod
154 em em 156 ADP case
155 a o 156 DET det
156 classe classe 370 NOUN nmod
157 artistica artistico 156 ADJ amod
158 sao sao 56 VERB conj
159 rarissimos rarissimo 158 ADJ xcomp
160 os os 136 PRON nsubj
161 que que 162 PRON nsubj
162 defendem defender 160 VERB acl:relcl
163 o o 164 DET det
164 homem homem 162 NOUN obj
165 kirk kirk 44 PROPN nsubj
166 hammett hammett 165 PROPN flat
167 guitarrista guitarrista 165 NOUN flat
168 de de 170 ADP case
169 o o 170 DET det
170 metallica metallica 165 NOUN nmod
171 por por 172 ADP case
172 exemplo exemplo 44 NOUN nmod
173 ficou ficar 56 VERB parataxis
174 bem bem 175 ADV advmod
175 pessimista pessimista 173 ADJ xcomp
176 depois depois 178 ADV mark
177 de de 176 ADP fixed
178 ouvir ouvir 234 VERB advcl
179 o o 181 DET det
180 primeiro primeiro 181 ADJ amod
181 pronunciamento pronunciamento 178 NOUN obj
182 oficial oficial 181 ADJ amod
183 de de 185 ADP case
184 o o 185 DET det
