1 mpf mpf 2 NOUN nsubj
2 confirma confirmar 0 VERB root
3 que que 4 CCONJ mark
4 negocia negociar 2 VERB ccomp
5 acordo acordo 4 NOUN obj
6 de de 7 ADP case
7 delacao delacao 5 NOUN nmod
8 premiada premiar 5 VERB acl
9 com com 10 ADP case
10 executivos executivo 8 NOUN nmod
11 de de 13 ADP case
12 a o 13 DET det
13 oas oas 10 NOUN nmod
14 entre entre 15 ADP case
15 eles eles 8 PRON nmod
16 esta esta 15 PRON appos
17 o o 18 DET det
18 exdiretor exdiretor 16 NOUN nsubj
19 de de 21 ADP case
20 a o 21 DET det
21 empresa empresa 18 NOUN nmod
22 agenor agenor 21 NOUN appos
23 franklin franklin 22 NOUN flat
24 medeiros medeiro 22 NOUN flat
25 reu reu 18 NOUN appos
26 em em 27 ADP case
27 processo processo 25 NOUN nmod
28 que que 29 PRON nsubj
29 envolve envolver 27 VERB acl:relcl
30 o o 31 DET det
31 expresidente expresidente 29 NOUN obj
32 lula lula 31 ADJ amod
33 o o 34 DET det
34 ministerio ministerio 37 NOUN nsubj
35 publico publico 34 ADJ amod
36 federal federal 34 ADJ amod
37 confirmou confirmar 2 VERB ccomp
38 em em 40 ADP case
39 a o 40 DET det
40 audiencia audiencia 37 NOUN nmod
41 desta desta 42 ADP case
42 quintafeira quintafeira 40 NOUN nmod
43 4 4 42 NUM appos
44 que que 45 CCONJ mark
45 esta esta 37 VERB ccomp
46 em em 47 ADP case
47 negociacao negociacao 45 NOUN nmod
48 de de 49 ADP case
49 acordo acordo 47 NOUN nmod
50 de de 51 ADP case
51 colaboracao colaboracao 49 NOUN nmod
52 premiada premiar 51 VERB acl
53 com com 54 ADP case
54 exexecutivos exexecutivo 52 NOUN nmod
55 de de 57 ADP case
56 a o 57 DET det
57 construtora construtor 54 NOUN nmod
58 oas oas 57 CCONJ flat
59 a o 60 DET det
60 declaracao declaracao 62 NOUN nsubj:pass
61 foi foi 62 AUX aux:pass
62 feita feita 2 VERB ccomp
63 em em 65 ADP case
64 o o 65 DET det
65 inicio inicio 62 NOUN nmod
66 de de 68 ADP case
67 o o 68 DET det
68 depoimento depoimento 65 NOUN nmod
69 de de 71 ADP case
70 o o 71 DET det
71 exdiretor exdiretor 68 NOUN nmod
72 de de 74 ADP case
73 a o 74 DET det
74 empresa empresa 71 NOUN nmod
75 agenor agenor 71 NOUN appos
76 franklin franklin 75 NOUN flat
77 medeiros medeiro 75 NOUN flat
78 apos apos 293 ADP mark
79 o o 80 DET det
80 advogado advogado 293 NOUN nsubj
81 cristiano cristiano 80 ADJ amod
82 zanin zanin 80 NOUN appos
83 martins martins 82 ADJ flat
84 que que 85 PRON nsubj
85 representa representar 80 VERB acl:relcl
86 o o 87 DET det
87 expresidente expresidente 85 NOUN obj
88 luiz luiz 87 ADJ appos
89 inacio inacio 88 NOUN flat
90 lula lula 88 PROPN flat
91 de de 93 ADP case
92 a o 93 DET det
93 silva silva 88 NOUN nmod
94 perguntar perguntar 293 VERB advcl
95 a a 97 ADP case
96 o o 97 DET det
97 juiz juiz 94 NOUN iobj
98 sergio sergio 97 NOUN appos
99 moro moro 98 NOUN flat
100 sob sob 104 ADP mark
101 qual qual 102 DET det
102 condicao condicao 104 NOUN nmod
103 seria seria 104 AUX aux:pass
104 tomada tomar 94 VERB advcl
105 a o 106 DET det
106 oitiva oitiva 104 NOUN nsubj:pass
107 martins martins 106 PROPN appos
108 perguntou perguntar 2 VERB parataxis
109 com com 110 ADP case
110 base base 108 NOUN nmod
111 em em 113 ADP case
112 uma um 113 DET det
113 reportagem reportagem 110 NOUN nmod
114 que que 115 PRON nsubj
115 leu ler 113 VERB acl:relcl
116 antes antes 119 ADV case
