1 eleicao eleicao 5 NOUN nsubj
2 em em 4 ADP case
3 a o 4 DET det
4 camara camara 1 NOUN nmod
5 abre abrir 0 VERB root
6 disputa disputa 5 NOUN obj
7 por por 8 ADP case
8 cargos cargo 6 NOUN nmod
9 de de 11 ADP case
10 a o 11 DET det
11 mesa mesa 8 NOUN nmod
12 diretora diretor 11 ADJ amod
13 alem alem 5 ADV advmod
14 de de 16 ADP case
15 a o 16 DET det
16 movimentacao movimentacao 13 NOUN nmod
17 de de 19 ADP case
18 os o 19 DET det
19 candidatos candidato 16 NOUN nmod
20 a a 21 ADP case
21 presidencia presidencia 19 NOUN nmod
22 de de 24 ADP case
23 a o 24 DET det
24 casa casa 21 NOUN nmod
25 partidos partido 27 NOUN nsubj
26 ja ja 27 ADV advmod
27 articulam articular 5 VERB parataxis
28 ocupacao ocupacao 27 NOUN obj
29 de de 31 ADP case
30 outros outros 31 DET det
31 cargos cargo 28 NOUN nmod
32 estrategicos estrategico 31 ADJ amod
33 bancadas bancada 31 NOUN appos
34 iniciaram iniciar 5 VERB parataxis
35 2017 2017 34 NUM nmod
36 em em 37 ADP case
37 rota rota 34 NOUN nmod
38 de de 39 ADP case
39 colisao colisao 37 NOUN nmod
40 por por 44 ADP case
41 conta conta 40 NOUN fixed
42 de de 40 ADP case
43 a o 40 DET det
44 disputa disputa 34 NOUN nmod
45 enquanto enquanto 54 CCONJ mark
46 os o 47 DET det
47 precandidatos precandidato 54 NOUN nsubj
48 a a 49 ADP case
49 presidencia presidencia 47 NOUN nmod
50 de de 52 ADP case
51 a o 52 DET det
52 camara camara 49 NOUN nmod
53 se se 54 PRON obj
54 movimentam movimentar 34 VERB advcl
55 durante durante 57 ADP case
56 o o 57 DET det
57 recesso recesso 54 NOUN nmod
58 em em 59 ADP case
59 busca busca 54 NOUN nmod
60 de de 62 ADP case
61 os o 62 DET det
62 votos voto 59 NOUN nmod
63 de de 65 ADP case
64 os o 65 DET det
65 colegas colega 62 NOUN nmod
66 os o 67 DET det
67 partidos partido 54 NOUN nsubj
68 que que 69 PRON nsubj
69 ocupam ocupar 67 VERB acl:relcl
70 cadeiras cadeira 69 NOUN obj
71 em em 73 ADP case
72 a o 73 DET det
73 casa casa 69 NOUN nmod
74 abriram abrir 5 VERB parataxis
75 uma um 76 DET det
76 disputa disputa 74 NOUN obj
77 que que 78 PRON nsubj
78 envolve envolver 76 VERB acl:relcl
79 outros outros 80 DET det
80 cargos cargo 78 NOUN obj
81 de de 83 ADP case
82 a o 83 DET det
83 mesa mesa 80 NOUN nmod
84 diretora diretor 83 ADJ amod
85 considerados considerar 80 VERB acl
86 estrategicos estrategico 85 ADJ xcomp
87 para para 89 ADP case
88 as o 89 DET det
89 atividades atividade 86 NOUN nmod
90 e e 93 CCONJ cc
91 para para 93 ADP case
92 o o 93 DET det
93 jogo jogo 89 NOUN conj
94 de de 95 ADP case
95 poder poder 93 NOUN nmod
96 legislativo legislativo 95 ADJ amod
97 em em 99 ADP case
98 o o 99 DET det
99 dia dia 106 NOUN nmod
100 2 2 99 NUM nmod
101 de de 102 ADP case
102 fevereiro fevereiro 100 PROPN nmod
103 os o 104 DET det
104 deputados deputado 106 NOUN nsubj
105 se se 106 PRON obj
106 reunirao reunir 74 VERB conj
107 em em 109 ADP case
108 o o 109 DET det
109 plenario plenario 106 NOUN nmod
110 para para 111 ADP mark
111 definir definir 106 VERB advcl
112 a o 114 DET det
113 nova novo 114 ADJ amod
114 composicao composicao 111 NOUN obj
115 de de 117 ADP case
116 a o 117 DET det
117 mesa mesa 114 NOUN nmod
118 diretora diretor 117 ADJ amod
119 alem alem 126 ADV advmod
120 de de 122 ADP case
121 a o 122 DET det
122 presidencia presidencia 119 NOUN nmod
123 de de 125 ADP case
124 a o 125 DET det
125 camara camara 122 NOUN nmod
126 estao estao 106 VERB parataxis
127 em em 128 ADP case
128 jogo jogo 126 NOUN nmod
129 os o 130 DET det
130 cargos cargo 126 NOUN nsubj
131 de de 135 ADP case
132 primeiro primeiro 135 ADJ amod
133 e e 134 CCONJ cc
134 segundo segundo 132 ADJ conj
135 vicepresidentes vicepresidente 130 NOUN nmod
136 alem alem 126 ADV advmod
137 de de 139 ADP case
138 o o 139 DET det
139 comando comando 136 NOUN nmod
140 de de 142 ADP case
141 quatro quatro 142 NUM nummod
142 secretarias secretaria 139 NOUN nmod
143 e e 145 CCONJ cc
144 quatro quatro 145 NUM nummod
145 vagas vaga 142 NOUN conj
146 de de 147 ADP case
147 suplentes suplente 145 NOUN nmod
148 de de 149 ADP case
149 secretarios secretario 147 NOUN nmod
150 as o 152 DET det
151 primeiras primeiro 152 ADJ amod
152 movimentacoes movimentacoes 126 NOUN nsubj
153 de de 155 ADP case
154 as o 155 DET det
155 bancadas bancada 152 NOUN nmod
156 de de 158 ADP case
157 a o 158 DET det
158 camara camara 155 NOUN nmod
159 em em 160 ADP case
160 torno torno 152 NOUN nmod
161 desses desses 162 ADP case
162 postos posto 160 NOUN nmod
163 de de 149 ADP case
164 direcao direcao 162 NOUN nmod
165 indicam indicar 126 VERB parataxis
166 que que 177 CCONJ mark
167 a o 168 DET det
168 definicao definicao 165 NOUN nsubj
169 de de 172 ADP case
170 os o 172 DET det
171 novos novo 172 ADJ amod
172 integrantes integrantes 168 NOUN nmod
173 de de 175 ADP case
174 a o 175 DET det
175 mesa mesa 172 NOUN nmod
176 diretora diretor 175 ADJ amod
177 nao nao 165 ADV advmod
