1 efesa efesa 4 NOUN nsubj
2 de de 3 ADP case
3 lula lula 1 NOUN nmod
4 reitera reiterar 0 VERB root
5 pedido pedido 4 NOUN obj
6 para para 10 ADP mark
7 que que 10 CCONJ mark
8 expresidente expresidente 10 NOUN nsubj:pass
9 seja ser 10 AUX aux:pass
10 ouvido ouvir 5 VERB nmod
11 em em 13 ADP case
12 o o 13 DET det
13 julgamento julgamento 10 NOUN nmod
14 de de 15 ADP case
15 apelacao apelacao 13 NOUN nmod
16 em em 18 ADP case
17 o o 18 DET det
18 trf4 trf4 10 NOUN nmod
19 solicitacao solicitacao 18 NOUN appos
20 e e 21 CCONJ cc
21 referente referente 19 ADJ conj
22 a a 24 ADP case
23 o o 24 DET det
24 caso caso 21 NOUN nmod
25 de de 27 ADP case
26 o o 27 DET det
27 triplex triplex 24 NOUN nmod
28 em em 30 ADP case
29 o o 30 DET det
30 qual qual 33 PRON nmod
31 lula lula 33 NOUN nsubj:pass
32 foi foi 33 AUX aux:pass
33 condenado condenar 24 VERB acl:relcl
34 em em 36 ADP case
35 primeira primeiro 36 ADJ amod
36 instancia instancia 33 NOUN nmod
37 julgamento julgamento 41 NOUN nsubj
38 de de 40 ADP case
39 a o 40 DET det
40 apelacao apelacao 37 NOUN nmod
41 acontecera acontecer 4 VERB parataxis
42 em em 44 ADP case
43 o o 44 DET det
44 dia dia 41 NOUN nmod
45 24 24 44 NUM nmod
46 de de 47 ADP case
47 janeiro janeiro 45 PROPN nmod
48 em em 49 ADP case
49 porto porto 41 PROPN nmod
50 alegre alegre 49 ADJ amod
51 a o 52 DET det
52 defesa defesa 41 NOUN nsubj
53 de de 54 ADP case
54 luiz luiz 52 NOUN nmod
55 inacio inacio 54 ADJ flat
56 lula lula 54 PROPN flat
57 de de 59 ADP case
58 a o 59 DET det
59 silva silva 54 NOUN nmod
60 protocolou protocolar 4 VERB parataxis
61 uma um 62 DET det
62 peticao peticao 60 NOUN obj
63 reiterando reiterar 60 VERB acl
64 o o 65 DET det
65 pedido pedido 63 NOUN obj
66 de de 71 ADP mark
67 que que 71 CCONJ mark
68 o o 69 DET det
69 expresidente expresidente 71 NOUN nsubj:pass
70 seja ser 71 AUX aux:pass
71 ouvido ouvir 65 VERB nmod
72 por por 74 ADP case
73 o o 74 DET det
74 tribunal tribunal 71 NOUN nmod
75 regional regional 74 ADJ amod
76 federal federal 74 ADJ amod
77 de de 80 ADP case
78 a o 80 DET det
79 4 4 80 NUM nummod
80 regiao regiao 74 NOUN nmod
81 trf4 trf4 71 NOUN nsubj:pass
82 antes antes 85 ADV case
83 de de 82 ADP case
84 o o 82 DET det
85 dia dia 71 NOUN nmod
86 24 24 85 NUM nmod
87 de de 88 ADP case
88 janeiro janeiro 86 PROPN nmod
89 dia dia 85 NOUN nmod
90 em em 91 ADP case
91 que que 111 PRON nmod
92 o o 93 DET det
93 recurso recurso 111 NOUN nsubj:pass
94 em em 96 ADP case
95 segunda segundo 96 ADJ amod
96 instancia instancia 93 NOUN nmod
97 de de 98 ADP case
98 lula lula 93 NOUN nmod
99 sera sera 100 AUX aux:pass
100 julgado julgar 89 VERB acl:relcl
101 em em 103 ADP case
102 a o 103 DET det
103 corte corte 100 NOUN nmod
104 em em 107 ADP case
105 a o 107 DET det
106 primeira primeiro 107 ADJ amod
107 instancia instancia 111 NOUN nmod
108 o o 109 DET det
109 expresidente expresidente 111 NOUN nsubj:pass
110 foi foi 111 AUX aux:pass
111 condenado condenar 89 VERB acl:relcl
