1 rivalidade rivalidade 6 NOUN nsubj
2 entre entre 3 ADP case
3 china china 1 NOUN nmod
4 e e 5 CCONJ cc
5 eua eua 3 NOUN conj
6 define definir 0 VERB root
7 futuro futuro 6 NOUN obj
8 de de 10 ADP case
9 a o 10 DET det
10 asia asia 7 NOUN nmod
11 a a 16 ADP mark
12 medida medida 11 NOUN fixed
13 que que 261 CCONJ fixed
14 os o 15 DET det
15 chineses chinês 16 NOUN nsubj
16 crescem crescer 6 VERB advcl
17 e e 19 CCONJ cc
18 se se 19 PART expl:pv
19 tornam tornar 16 VERB conj
20 mais mais 21 ADV advmod
21 poderosos poderoso 19 ADJ xcomp
22 diminui diminuir 6 VERB conj
23 a o 24 DET det
24 hegemonia hegemonia 22 NOUN obj
25 de de 27 ADP case
26 os o 27 DET det
27 americanos americano 24 NOUN nmod
28 em em 29 ADP case
29 partes partes 24 PROPN nmod
30 de de 32 ADP case
31 o o 32 DET det
32 continente continente 29 NOUN nmod
33 em em 35 ADP case
34 a o 35 DET det
35 semana semana 42 NOUN nmod
36 passada passado 35 ADJ amod
37 um um 38 DET det
38 grupo grupo 42 NOUN nsubj
39 de de 41 ADP case
40 11 11 41 NUM nummod
41 paises paise 38 NOUN nmod
42 assinou assinar 6 VERB parataxis
43 o o 44 DET det
44 tpp tpp 42 NOUN obj
45 11 11 44 NUM appos
46 uma um 47 DET det
47 versao versao 42 NOUN obj
48 de de 50 ADP case
49 a o 50 DET det
50 parceria parceria 47 NOUN nmod
51 transpacifico transpacifico 50 ADJ amod
52 sem sem 54 ADP case
53 os o 54 DET det
54 eua eua 50 NOUN nmod
55 quando quando 56 CCONJ mark
56 assumiu assumir 42 VERB advcl
57 em em 58 ADP case
58 2016 2016 56 NUM nmod
59 o o 60 DET det
60 presidente presidente 256 NOUN nsubj
61 donald donald 60 ADJ appos
62 trump trump 61 PROPN flat
63 retirou retirar 186 VERB conj
64 os o 65 DET det
65 americanos americano 256 NOUN obj
66 de de 68 ADP case
67 o o 68 DET det
68 tratado tratado 256 NOUN nmod
69 que que 72 PRON nsubj:pass
70 havia haver 72 AUX aux
71 sido ser 72 AUX aux:pass
72 concebido conceber 68 VERB acl:relcl
73 para para 74 ADP mark
74 conter conter 72 VERB advcl
75 o o 76 DET det
76 avanco avanco 74 NOUN obj
77 de de 79 ADP case
78 a o 79 DET det
79 china china 76 NOUN nmod
80 a o 81 DET det
81 reviravolta reviravolta 286 NOUN nsubj
82 foi foi 86 AUX cop
83 a o 86 DET det
84 mais mais 85 ADV advmod
85 recente recente 86 ADJ amod
86 mudanca mudanca 293 NOUN ccomp
87 em em 89 ADP case
88 a o 89 DET det
89 transicao transicao 86 NOUN nmod
90 gradual gradual 89 ADJ amod
91 de de 93 ADP case
92 a o 93 DET det
93 asia asia 89 NOUN nmod
94 de de 96 ADP case
95 um um 96 DET det
96 dominio dominio 89 NOUN nmod
97 americano americano 96 ADJ amod
98 para para 99 ADP case
99 algo algo 190 PRON nmod
100 muito muito 101 ADV advmod
101 mais mais 102 ADV advmod
102 fluido fluido 99 ADJ amod
103 the the 104 DET det
104 economist economist 293 NOUN nsubj
105 como como 108 CCONJ mark
106 o o 107 DET det
107 ocidente ocidente 108 NOUN nsubj
108 compreende compreender 293 VERB advcl
109 mal mal 108 ADV advmod
110 a o 111 DET det
111 china china 108 NOUN nsubj
112 ha ha 108 VERB ccomp
113 muita muita 114 DET det
114 coisa coisa 112 NOUN obj
115 em em 116 ADP case
116 jogo jogo 114 NOUN nmod
117 china china 112 NOUN nsubj
118 e e 119 CCONJ cc
119 eua eua 117 NOUN conj
120 buscam buscar 293 VERB ccomp
121 remodelar remodelar 120 VERB xcomp
122 a o 124 DET det
123 propria proprio 124 ADJ amod
124 imagem imagem 121 NOUN obj
125 a o 126 DET det
126 economia economia 121 NOUN obj
127 e e 129 CCONJ cc
128 os o 129 DET det
129 sistemas sistema 126 NOUN conj
130 politicos politico 129 ADJ amod
131 de de 133 ADP case
132 a o 133 DET det
133 regiao regiao 126 NOUN nmod
134 mais mais 135 ADV advmod
135 populosa populoso 133 ADJ amod
136 de de 138 ADP case
137 o o 138 DET det
138 mundo mundo 133 NOUN nmod
139 o o 140 DET det
140 poder poder 326 NOUN nsubj
141 belico belico 140 ADJ amod
142 de de 144 ADP case
143 os o 144 DET det
144 eua eua 140 NOUN nmod
145 ainda ainda 306 ADV advmod
146 e e 306 VERB ccomp
147 dominante dominante 146 ADJ xcomp
148 mas mas 153 CCONJ cc
149 a o 150 DET det
150 china china 153 NOUN nsubj
151 comeca comecar 153 AUX aux
152 a a 153 ADP mark
153 exercer exercer 6 VERB conj
154 uma um 156 DET det
155 crescente crescente 156 ADJ amod
156 pressao pressao 153 NOUN obj
157 militar militar 156 ADJ amod
158 e e 160 CCONJ cc
159 a o 160 DET mark
160 usar usar 311 VERB conj
161 a o 162 DET det
162 forca forca 160 NOUN obj
163 de de 165 ADP case
164 sua sua 165 DET det:poss
165 economia economia 162 NOUN nmod
166 para para 167 ADP mark
167 reordenar reordenar 160 VERB advcl
168 a o 169 DET det
169 regiao regiao 167 NOUN obj
170 seduzindo seduzir 160 VERB acl
171 velhos velho 172 ADJ amod
172 aliados aliado 170 NOUN obj
173 americanos americano 172 ADJ amod
174 como como 175 ADP case
175 filipinas filipina 172 NOUN nmod
176 e e 177 CCONJ cc
177 indonesia indonesia 175 NOUN conj
178 a o 179 DET det
179 mudanca mudanca 42 NOUN nsubj
180 deve dever 182 AUX aux
181 se se 182 PART expl:pv
