1 relembre relembre 62 NOUN parataxis
2 polemicas polemico 1 NOUN amod
3 envolvendo envolver 1 VERB acl
4 as o 5 DET det
5 passagens passagem 3 NOUN obj
6 de de 7 ADP case
7 geddel geddel 5 NOUN nmod
8 por por 10 ADP case
9 o o 10 DET det
10 governo governo 5 NOUN nmod
11 alvo alvo 19 NOUN nsubj
12 de de 13 ADP case
13 investigacao investigacao 11 NOUN nmod
14 de de 16 ADP case
15 a o 16 DET det
16 policia policia 13 NOUN nmod
17 federal federal 16 ADJ amod
18 peemedebista peemedebista 19 NOUN nsubj
19 ocupou ocupar 62 VERB parataxis
20 cargos cargo 19 NOUN obj
21 em em 23 ADP case
22 os o 23 DET det
23 governos governo 19 NOUN nmod
24 de de 26 ADP case
25 michel michel 26 DET det
26 temer temer 23 NOUN nmod
27 dilma dilma 26 NOUN appos
28 rousseff rousseff 27 NOUN flat
29 e e 30 CCONJ cc
30 luiz luiz 27 NOUN conj
31 inacio inacio 30 NOUN flat
32 lula lula 30 NOUN flat
33 de de 35 ADP case
34 a o 35 DET det
35 silva silva 30 NOUN nmod
36 alvo alvo 19 NOUN obj
37 de de 39 ADP case
38 a o 39 DET det
39 operacao operacao 36 NOUN nmod
40 de de 42 ADP case
41 a o 42 DET det
42 policia policia 39 NOUN nmod
43 federal federal 42 ADJ amod
44 que que 45 PRON nsubj
45 investigou investigar 39 VERB acl:relcl
46 fraudes fraude 45 NOUN obj
47 em em 49 ADP case
48 a o 49 DET det
49 caixa caixa 45 NOUN nmod
50 economica economico 49 ADJ amod
51 federal federal 49 ADJ amod
52 o o 53 DET det
53 expresidente expresidente 115 NOUN nsubj
54 de de 56 ADP case
55 o o 56 DET det
56 pmdbba pmdbba 53 NOUN nmod
57 geddel geddel 53 NOUN appos
58 vieira vieira 53 NOUN appos
59 lima lima 58 ADJ flat
60 tambem tambem 62 ADV advmod
61 se se 62 PRON expl:pv
62 envolveu envolver 0 VERB root
63 em em 64 ADP case
64 episodios episodio 62 NOUN nmod
65 polemicos polemico 64 ADJ amod
66 enquanto enquanto 67 CCONJ mark
67 ocupava ocupar 62 VERB advcl
68 cargos cargo 67 NOUN obj
69 em em 71 ADP case
70 os o 71 DET det
71 governos governo 67 NOUN nmod
72 de de 74 ADP case
73 michel michel 74 DET det
74 temer temer 71 NOUN nmod
75 dilma dilma 74 NOUN appos
76 rousseff rousseff 75 NOUN flat
77 e e 78 CCONJ cc
78 luiz luiz 75 NOUN conj
79 inacio inacio 78 NOUN flat
80 lula lula 78 NOUN appos
81 de de 83 ADP case
82 a o 83 DET det
83 silva silva 30 NOUN nmod
84 conhecido conhecer 53 VERB acl
85 por por 87 ADP case
86 as o 87 DET det
87 declaracoes declaracoe 84 NOUN nmod
88 polemicas polemico 87 ADJ amod
89 geddel geddel 91 NOUN nsubj
90 foi foi 91 AUX cop
91 ministro ministro 62 NOUN parataxis
92 de de 94 ADP case
93 a o 94 DET det
94 secretaria secretaria 91 NOUN nmod
95 de de 96 ADP case
96 governo governo 94 NOUN nmod
97 em em 99 ADP case
98 a o 99 DET det
99 gestao gestao 91 NOUN nmod
100 de de 101 ADP case
101 temer temer 99 NOUN nmod
102 entre entre 103 ADP case
103 maio maio 91 PROPN nmod
104 e e 105 CCONJ cc
105 novembro novembro 103 PROPN conj
106 de de 108 ADP case
107 o o 108 DET det
108 ano ano 103 NOUN nmod
109 passado passado 108 ADJ amod
110 em em 112 ADP case
111 o o 112 DET det
112 governo governo 45 NOUN nmod
113 dilma dilma 112 ADJ amod
114 foi foi 115 AUX cop
115 vicepresidente vicepresidente 62 NOUN parataxis
116 de de 117 ADP case
117 pessoa pessoa 115 NOUN nmod
118 juridica juridico 117 ADJ amod
119 de de 121 ADP case
120 a o 121 DET det
121 caixa caixa 115 NOUN nmod
122 economica economico 121 ADJ amod
123 entre entre 124 ADP case
124 2011 2011 115 NUM nmod
125 e e 126 CCONJ cc
126 2013 2013 124 NUM conj
127 e e 130 CCONJ cc
128 em em 130 ADP case
129 a o 130 DET det
130 gestao gestao 115 NOUN nmod
131 de de 132 ADP case
132 lula lula 130 NOUN nmod
133 ministro ministro 130 NOUN appos
134 de de 136 ADP case
135 a o 136 DET det
136 integracao integracao 133 NOUN nmod
137 nacional nacional 136 ADJ amod
138 de de 139 ADP case
139 2007 2007 133 NUM nmod
140 a a 141 ADP case
141 2010 2010 139 NUM nmod
142 nesta nesta 143 ADP case
143 sexta sexta 148 PROPN nmod
144 13 13 143 NUM nmod
145 a o 146 DET det
146 policia policia 148 NOUN nsubj
147 federal federal 146 ADJ amod
148 cumpriu cumprir 62 VERB conj
149 mandados mandado 148 NOUN obj
150 de de 151 ADP case
151 busca busca 149 NOUN nmod
152 e e 153 CCONJ cc
153 apreensao apreensao 151 NOUN conj
154 em em 156 ADP case
155 um um 156 DET det
156 imovel imovel 148 NOUN nmod
157 de de 158 ADP case
158 geddel geddel 156 NOUN nmod
