1 preso preso 6 VERB acl
2 por por 4 ADP case
3 a o 4 DET det
4 lava lava 1 NOUN nmod
5 jato jato 4 NOUN flat
6 bendine bendine 7 NOUN nsubj
7 diz dizer 0 VERB root
8 que que 9 CCONJ mark
9 encontrou encontrar 7 VERB ccomp
10 dono dono 9 NOUN obj
11 de de 13 ADP case
12 a o 13 DET det
13 odebrecht odebrecht 10 NOUN nmod
14 em em 15 ADP case
15 local local 9 NOUN nmod
16 oculto oculto 15 ADJ amod
17 expresidente expresidente 15 NOUN appos
18 de de 20 ADP case
19 a o 20 DET det
20 petrobras petrobra 17 NOUN nmod
21 e e 26 CCONJ cc
22 dois dois 23 NUM nummod
23 operadores operador 26 NOUN nsubj:pass
24 financeiros financeiro 23 ADJ amod
25 foram foram 26 AUX aux:pass
26 presos prender 9 VERB conj
27 em em 30 ADP case
28 a o 30 DET det
29 42 42 30 NUM nummod
30 fase fase 26 NOUN nmod
31 de de 33 ADP case
32 a o 33 DET det
33 operacao operacao 30 NOUN nmod
34 eles eles 35 PRON nsubj
35 prestaram prestar 26 VERB parataxis
36 depoimento depoimento 35 NOUN obj
37 a a 38 ADP case
38 pf pf 35 NOUN iobj
39 nesta nesta 40 ADP case
40 segundafeira segundafeira 35 NOUN nmod
41 31 31 40 NUM appos
42 o o 43 DET det
43 expresidente expresidente 35 NOUN nsubj
44 de de 46 ADP case
45 a o 46 DET det
46 petrobras petrobra 43 NOUN nmod
47 e e 50 CCONJ cc
48 de de 50 ADP case
49 o o 50 DET det
50 banco banco 46 NOUN conj
51 de de 53 ADP case
52 o o 53 DET det
53 brasil brasil 50 NOUN nmod
54 aldemir aldemir 43 VERB appos
55 bendine bendine 54 NOUN flat
56 que que 79 PRON nsubj
57 e e 58 CCONJ cc
58 um um 43 PRON conj
59 de de 61 ADP case
60 os o 61 DET det
61 alvos alvo 58 NOUN nmod
62 de de 65 ADP case
63 a o 65 DET det
64 42 42 65 NUM nummod
65 fase fase 61 NOUN nmod
66 de de 68 ADP case
67 a o 68 DET det
68 lava lava 65 NOUN nmod
69 jato jato 68 NOUN flat
70 disse dizer 7 VERB parataxis
71 em em 72 ADP case
72 depoimento depoimento 70 NOUN nmod
73 a a 74 ADP case
74 policia policia 70 NOUN iobj
75 federal federal 74 ADJ amod
76 pf pf 70 NOUN obj
77 que que 79 CCONJ mark
78 se se 79 PRON expl:pv
79 encontrou encontrar 93 VERB ccomp
80 com com 81 ADP case
81 emilio emilio 79 NOUN nmod
82 odebrecht odebrecht 81 NOUN flat
83 dono dono 81 NOUN appos
84 de de 86 ADP case
85 o o 86 DET det
86 grupo grupo 83 NOUN nmod
87 odebrecht odebrecht 86 PROPN appos
88 em em 90 ADP case
89 um um 90 DET det
90 local local 79 NOUN nmod
91 oculto oculto 90 ADJ amod
92 bendine bendine 93 NOUN nsubj
93 relatou relatar 70 VERB parataxis
94 que que 96 CCONJ mark
95 se se 96 PRON expl:pv
96 encontrou encontrar 93 VERB ccomp
97 com com 98 ADP case
98 andre andre 96 NOUN nmod
99 gustavo gustavo 98 NOUN flat
100 outro outro 101 DET det
101 alvo alvo 96 NOUN obj
102 de de 105 ADP case
103 a o 105 DET det
104 42 42 105 NUM nummod
105 etapa etapa 101 NOUN nmod
106 de de 108 ADP case
107 a o 108 DET det
108 operacao operacao 105 NOUN nmod
109 e e 110 CCONJ cc
110 fernando fernando 101 NOUN conj
111 reis rei 110 NOUN flat
112 exexecutivo exexecutivo 110 ADJ amod
113 de de 105 ADP case
114 a o 105 DET det
