1 qual qual 23 PRON nsubj
2 e e 4 CCONJ cc
3 a o 4 DET det
4 chance chance 1 NOUN nsubj
5 de de 8 ADP case
6 uma um 8 DET det
7 unica unico 8 ADJ amod
8 pessoa pessoa 4 NOUN nmod
9 acertar acertar 4 VERB nmod
10 tres tres 11 NUM nummod
11 vezes vez 9 NOUN nmod
12 em em 14 ADP case
13 a o 14 DET det
14 megasena megasena 9 NOUN nmod
15 em em 17 ADP case
16 a o 17 DET det
17 mega mega 9 PROPN nmod
18 de de 20 ADP case
19 a o 20 DET det
20 virada virada 17 NOUN nmod
21 17 17 22 NUM nummod
22 apostas aposta 23 NOUN nsubj
23 acertaram acertar 0 VERB root
24 as o 26 DET det
25 seis seis 26 NUM nummod
26 dezenas dezena 23 NOUN obj
27 mas mas 30 CCONJ cc
28 tres tres 30 NOUN nsubj
29 delas delas 28 X nmod
30 vieram vir 23 VERB conj
31 de de 34 ADP case
32 o o 34 DET det
33 mesmo mesmo 34 ADJ amod
34 apostador apostador 30 NOUN nmod
35 daniel daniel 40 NOUN nsubj
36 ferretto ferretto 35 NOUN flat
37 professor professor 35 NOUN flat
38 de de 39 ADP case
39 matematica matematica 37 NOUN nmod
40 explica explicar 23 VERB parataxis
41 a a 43 ADP case
42 o o 43 DET det
43 g1 g1 40 NOUN iobj
44 os o 45 DET det
45 conceitos conceito 40 NOUN obj
46 de de 47 ADP case
47 probabilidade probabilidade 45 NOUN nmod
48 por por 49 ADP case
49 tras tras 40 NOUN nmod
50 desse desse 51 ADP case
51 feito feito 49 NOUN nmod
52 desde desde 53 ADP case
53 quintafeira quintafeira 40 NOUN nmod
54 4 4 53 NUM appos
55 o o 56 DET det
56 brasil brasil 58 NOUN nsubj
57 esta esta 58 AUX aux
58 tentando tentar 23 VERB parataxis
59 entender entender 58 VERB xcomp
60 como como 78 ADV advmod
61 de de 64 ADP case
62 as o 64 DET det
63 17 17 64 NUM nummod
64 apostas aposta 78 NOUN nmod
65 que que 66 PRON nsubj
66 acertaram acertar 64 VERB acl:relcl
67 as o 69 DET det
68 seis seis 69 NUM nummod
69 dezenas dezena 66 NOUN obj
70 de de 72 ADP case
71 a o 72 DET det
72 mega mega 69 NOUN nmod
73 de de 75 ADP case
74 a o 75 DET det
75 virada virada 72 NOUN nmod
76 tres tres 78 NUM nsubj:pass
77 foram foram 78 AUX aux:pass
78 feitas feitas 59 VERB ccomp
79 em em 82 ADP case
80 a o 82 DET det
81 mesma mesmo 82 ADJ amod
82 casa casa 78 NOUN nmod
83 loterica loterico 82 ADJ amod
84 todas todas 78 PRON nsubj:pass
85 por por 88 ADP case
86 a o 88 DET det
87 mesma mesmo 88 ADJ amod
88 pessoa pessoa 84 NOUN nmod
89 para para 90 ADP case
90 muitos muitos 78 PRON nmod
91 a o 92 DET det
92 logica logica 201 NOUN obj
93 natural natural 92 ADJ amod
94 e e 95 CCONJ cc
95 pensar pensar 58 VERB conj
96 que que 228 CCONJ mark
97 a o 98 DET det
98 chance chance 228 NOUN nsubj
99 de de 101 ADP mark
100 isso isso 101 PRON nsubj
101 acontecer acontecer 98 VERB nmod
102 e e 103 CCONJ cc
103 menor menor 101 ADJ conj
104 de de 107 ADP case
105 o o 107 DET det
106 que que 104 ADP fixed
107 o o 228 PRON nmod
108 de de 110 ADP case
109 uma um 110 DET det
110 pessoa pessoa 107 NOUN nmod
111 acertar acertar 180 VERB advcl
112 as o 114 DET det
113 seis seis 114 NUM nummod
114 dezenas dezena 111 NOUN obj
115 em em 117 ADP case
116 um um 117 DET det
117 jogo jogo 111 NOUN nmod
118 mas mas 252 CCONJ cc
119 daniel daniel 228 NOUN nsubj
120 ferretto ferretto 119 ADJ flat
121 professor professor 119 NOUN flat
122 que que 123 PRON nsubj
123 ensina ensinar 119 VERB acl:relcl
124 matematica matematica 123 NOUN obj
125 em em 126 ADP case
126 videoaulas videoaula 123 NOUN nmod
127 em em 129 ADP case
128 o o 129 DET det
129 youtube youtube 222 PROPN nmod
130 explicou explicar 23 VERB conj
131 a a 133 ADP case
132 o o 133 DET det
133 g1 g1 130 NOUN iobj
134 que que 228 CCONJ mark
135 em em 137 ADP case
136 a o 137 DET det
137 verdade verdade 228 NOUN nmod
138 a o 139 DET det
139 chance chance 228 NOUN nsubj
140 de de 143 ADP case
141 o o 143 DET det
142 grande grande 143 ADJ amod
143 sortudo sortudo 139 NOUN nmod
144 foi foi 130 VERB ccomp
145 igual igual 144 ADJ xcomp
146 a a 145 X nmod
147 de de 150 ADP case
148 os o 150 DET det
149 demais demais 150 DET det
150 apostadores apostador 146 NOUN nmod
151 que que 152 PRON nsubj
152 fizeram fazer 150 VERB acl:relcl
153 jogos jogo 152 NOUN obj
154 de de 156 ADP case
