1 saiba saber 0 VERB root
2 o o 1 PRON obj
3 que que 4 PRON nsubj
4 dizem dizer 2 VERB acl:relcl
5 as o 6 DET det
6 defesas defesas 4 NOUN obj
7 de de 8 ADP case
8 dilma dilma 6 NOUN nmod
9 e e 11 CCONJ cc
10 de de 11 ADP case
11 temer temer 8 NOUN conj
12 em em 14 ADP case
13 a o 14 DET det
14 acao acao 6 NOUN nmod
15 que que 17 PRON nsubj:pass
16 sera sera 17 AUX aux:pass
17 julgada julgar 14 VERB acl:relcl
18 por por 20 ADP case
19 o o 20 DET det
20 tse tse 17 NOUN nmod
21 tribunal tribunal 22 NOUN nsubj
22 iniciara iniciar 2 VERB acl:relcl
23 julgamento julgamento 22 NOUN obj
24 de de 26 ADP case
25 a o 26 DET det
26 chapa chapa 23 NOUN nmod
27 dilmatemer dilmatemer 26 NOUN appos
28 nesta nesta 29 ADP case
29 terca terca 22 NOUN nmod
30 4 4 31 NUM nummod
31 acao acao 22 NOUN nsubj
32 movida mover 31 VERB acl
33 por por 35 ADP case
34 o o 35 DET det
35 psdb psdb 32 NOUN nmod
36 pede pedir 22 VERB parataxis
37 cassacao cassacao 36 NOUN obj
38 sob sob 39 ADP case
39 argumentacao argumentacao 36 NOUN nmod
40 de de 41 ADP mark
41 houve haver 39 VERB nmod
42 abuso abuso 41 NOUN obj
43 de de 44 ADP case
44 poder poder 42 NOUN nmod
45 politico politico 44 ADJ amod
46 e e 47 CCONJ cc
47 economico economico 45 ADJ conj
48 marcado marcar 57 VERB acl
49 para para 50 ADP mark
50 comecar comecar 48 VERB advcl
51 as o 52 DET det
52 9h 9h 50 NUM obj
53 desta desta 54 ADP case
54 tercafeira tercafeira 52 NOUN nmod
55 4 4 54 NUM appos
56 o o 57 DET det
57 julgamento julgamento 143 NOUN nsubj
58 de de 60 ADP case
59 a o 60 DET det
60 acao acao 57 NOUN nmod
61 que que 62 PRON nsubj
62 pede pedir 60 VERB acl:relcl
63 a o 64 DET det
64 cassacao cassacao 62 NOUN obj
65 de de 67 ADP case
66 a o 67 DET det
67 chapa chapa 64 NOUN nmod
68 formada formar 67 VERB acl
69 por por 71 ADP case
70 o o 71 DET det
71 presidente presidente 68 NOUN nmod
72 michel michel 71 ADJ appos
73 temer temer 71 NOUN appos
74 e e 77 CCONJ cc
75 por por 77 ADP case
76 a o 77 DET det
77 expresidente expresidente 71 NOUN conj
78 dilma dilma 77 NOUN appos
79 rousseff rousseff 78 NOUN flat
80 devera devera 82 AUX aux
81 se se 82 PRON expl:pv
82 concentrar concentrar 22 VERB advcl
83 inicialmente inicialmente 82 ADV advmod
84 em em 86 ADP case
85 a o 86 DET det
86 defesa defesa 82 NOUN nmod
87 o o 88 DET det
88 tribunal tribunal 92 NOUN nsubj
89 superior superior 88 ADJ amod
90 eleitoral eleitoral 88 ADJ amod
91 tse tse 92 PRON nsubj
92 apura apurar 22 VERB parataxis
93 desde desde 94 ADP case
94 2015 2015 92 NUM nmod
95 a a 96 ADP case
96 pedido pedido 92 NOUN nmod
97 de de 99 ADP case
98 o o 99 DET det
99 psdb psdb 96 NOUN nmod
100 se se 121 CCONJ mark
101 a o 102 DET det
102 chapa chapa 121 NOUN nsubj
103 que que 104 PRON nsubj
104 teve ter 102 VERB acl:relcl
105 dilma dilma 104 NOUN obj
106 como como 107 ADP case
107 candidata candidato 104 NOUN nmod
108 a a 109 ADP case
109 presidente presidente 107 NOUN nmod
110 e e 114 CCONJ cc
111 temer temer 114 NOUN nsubj
112 como como 113 ADP case
113 vice vice 111 NOUN nmod
114 cometeu cometer 104 VERB conj
115 abuso abuso 114 NOUN obj
116 de de 117 ADP case
117 poder poder 115 NOUN nmod
118 politico politico 117 ADJ amod
119 e e 120 CCONJ cc
120 economico economico 118 ADJ conj
121 recebeu receber 92 VERB ccomp
122 dinheiro dinheiro 121 NOUN obj
123 de de 124 ADP case
124 propina propina 122 NOUN nmod
125 e e 127 CCONJ cc
126 se se 127 PRON obj
127 beneficiou beneficiar 121 VERB conj
128 de de 130 ADP case
129 o o 130 DET det
130 esquema esquema 127 NOUN nmod
131 de de 132 ADP case
132 corrupcao corrupcao 130 NOUN nmod
133 que que 134 PRON obj
134 atuou atuar 132 VERB acl:relcl
135 em em 137 ADP case
136 a o 137 DET det
137 petrobras petrobra 134 NOUN nmod
138 em em 140 ADP case
139 a o 140 DET det
140 acao acao 134 NOUN nmod
141 o o 142 DET det
142 psdb psdb 143 PROPN nsubj
143 pede pedir 121 VERB conj
144 a o 145 DET det
145 cassacao cassacao 143 NOUN obj
146 de de 148 ADP case
147 a o 148 DET det
148 chapa chapa 145 NOUN nmod
149 em em 151 ADP case
150 o o 151 DET det
151 parecer parecer 143 NOUN nmod
152 enviado enviar 151 VERB acl
153 a a 155 ADP case
154 o o 155 DET det
155 tse tse 152 NOUN nmod
156 o o 157 DET det
157 ministerio ministerio 160 NOUN nsubj
158 publico publico 157 ADJ amod
159 eleitoral eleitoral 157 ADJ amod
160 recomendou recomendar 143 VERB parataxis
161 a o 162 DET det
162 cassacao cassacao 160 NOUN obj
163 de de 165 ADP case
164 o o 165 DET det
165 mandato mandato 162 NOUN nmod
