1 pf pf 2 NOUN nsubj
2 prende prende 0 VERB root
3 wesley wesley 2 NOUN obj
4 batista batista 3 ADJ amod
5 em em 6 ADP case
6 sp sp 2 NOUN nmod
7 e e 8 CCONJ cc
8 cumpre cumprir 2 VERB conj
9 nova novo 10 ADJ amod
10 prisao prisao 8 NOUN obj
11 de de 12 ADP case
12 joesley joesley 10 NOUN nmod
13 o o 14 DET det
14 socio socio 24 NOUN nsubj:pass
15 e e 16 CCONJ cc
16 presidente presidente 14 NOUN conj
17 global global 16 ADJ amod
18 de de 20 ADP case
19 a o 20 DET det
20 jbs jbs 16 NOUN nmod
21 wesley wesley 14 NOUN appos
22 batista batista 21 ADJ flat
23 foi foi 24 AUX aux:pass
24 preso preso 2 VERB conj
25 em em 27 ADP case
26 a o 27 DET det
27 manha manha 24 NOUN nmod
28 desta desta 30 ADP case
29 quarta quarta 27 PROPN nmod
30 13 13 27 NUM nmod
31 em em 32 ADP case
32 sao sao 24 PROPN nmod
33 paulo paulo 32 PROPN nmod
34 o o 35 DET det
35 pedido pedido 24 NOUN nsubj:pass
36 de de 37 ADP case
37 prisao prisao 35 NOUN nmod
38 e e 39 CCONJ cc
39 preventiva preventivo 37 ADJ conj
40 sem sem 41 ADP case
41 data data 35 NOUN nmod
42 para para 43 ADP mark
43 sair sair 41 VERB nmod
44 e e 46 CCONJ cc
45 foi foi 46 AUX aux:pass
46 expedido expedir 24 VERB conj
47 por por 49 ADP case
48 o o 49 DET det
49 juiz juiz 46 NOUN nmod
50 joao joao 49 NOUN appos
51 batista batista 74 NOUN flat
52 goncalves goncalves 74 ADJ amod
53 de de 56 ADP case
54 a o 56 DET det
55 6 6 56 NUM nummod
56 vara vara 35 NOUN nmod
57 criminal criminal 56 ADJ amod
58 federal federal 56 ADJ amod
59 de de 60 ADP case
60 sao sao 56 NOUN nmod
61 paulo paulo 60 NOUN flat
62 a o 63 DET det
63 justica justica 64 NOUN nsubj
64 atendeu atender 2 VERB conj
65 um um 66 DET det
66 pedido pedido 64 NOUN obj
67 de de 69 ADP case
68 a o 69 DET det
69 policia policia 66 NOUN nmod
70 federal federal 69 ADJ amod
71 e e 74 CCONJ cc
72 de de 74 ADP case
73 o o 74 DET det
74 ministerio ministerio 69 NOUN conj
75 publico publico 74 ADJ amod
76 federal federal 74 ADJ amod
77 encaminhado encaminhar 74 VERB acl
78 em em 80 ADP case
79 a o 80 DET det
80 terca terca 77 NOUN nmod
81 12 12 80 NUM nmod
82 a o 83 DET det
83 folha folha 192 NOUN nsubj
84 apurou apurar 2 VERB conj
85 que que 88 CCONJ mark
86 o o 87 DET det
87 empresario empresario 88 NOUN nsubj
88 ficara ficar 84 VERB ccomp
89 preso preso 88 ADJ xcomp
90 em em 92 ADP case
91 a o 92 DET det
92 capital capital 89 NOUN nmod
93 paulista paulista 92 ADJ amod
94 nesse nesse 95 ADP case
95 caso caso 291 NOUN nmod
96 os o 97 DET det
97 irmaos irmao 451 NOUN nsubj
98 batista batista 97 ADJ amod
99 sao sao 100 AUX aux:pass
100 acusados acusar 192 VERB conj
101 de de 103 ADP mark
102 se se 103 PRON obj
103 beneficiar beneficiar 493 VERB nmod
104 com com 106 ADP case
105 a o 106 DET det
106 compra compra 103 NOUN nmod
107 de de 108 ADP case
108 dolares dolar 106 NOUN nmod
109 e e 112 CCONJ cc
110 com com 112 ADP case
111 a o 112 DET det
112 venda venda 69 NOUN conj
113 de de 114 ADP case
114 acoes acoe 112 NOUN nmod
115 de de 117 ADP case
116 a o 117 DET det
117 jbs jbs 203 NOUN nmod
118 aproveitandose aproveitandose 316 VERB advcl
119 de de 121 ADP case
120 o o 121 DET det
121 impacto impacto 118 NOUN nmod
122 em em 124 ADP case
123 o o 124 DET det
124 mercado mercado 121 NOUN nmod
125 de de 127 ADP case
126 seu seu 127 DET det:poss
127 acordo acordo 121 NOUN nmod
128 de de 129 ADP case
129 delacao delacao 127 NOUN nmod
130 premiada premiado 129 ADJ amod
131 tambem tambem 132 ADV advmod
132 ha har 326 VERB ccomp
133 um um 135 DET det
134 novo novo 135 ADJ amod
135 pedido pedido 132 NOUN obj
136 de de 137 ADP case
137 prisao prisao 135 NOUN nmod
138 preventiva preventivo 137 ADJ amod
139 contra contra 140 ADP case
140 joesley joesley 135 NOUN nmod
141 que que 142 PRON nsubj
142 esta esta 140 VERB acl:relcl
143 detido detido 142 ADJ xcomp
144 desde desde 146 ADP case
145 segunda segunda 146 PROPN amod
146 11 11 142 NUM nmod
147 em em 148 ADP case
148 brasilia brasilia 334 NOUN nmod
149 ele ele 151 PRON nsubj
150 devera devera 151 AUX aux
151 permanecer permanecer 24 VERB conj
152 em em 154 ADP case
153 a o 154 DET det
154 carceragem carceragem 151 NOUN nmod
155 de de 157 ADP case
156 a o 157 DET det
157 policia policia 154 NOUN nmod
158 federal federal 157 ADJ amod
159 em em 161 ADP case
160 a o 161 DET det
161 capital capital 157 NOUN nmod
162 ate ate 163 ADP case
163 sexta sexta 174 PROPN nmod
164 15 15 163 NUM nmod
165 caso caso 171 CCONJ mark
166 sua sua 167 DET det:poss
167 prisao prisao 171 NOUN nsubj:pass
168 temporaria temporar 167 ADJ amod
169 nao nao 171 ADV advmod
170 seja ser 171 AUX aux:pass
171 prorrogada prorrogar 24 VERB advcl
172 joesley joesley 171 NOUN nsubj:pass
173 se se 174 PRON obj
174 entregou entregar 24 VERB advcl
175 em em 177 ADP case
176 o o 177 DET det
177 domingo domingo 174 PROPN nmod
178 10 10 177 NUM nmod
179 em em 180 ADP case
180 sao sao 174 PROPN nmod
181 paulo paulo 180 PROPN flat
182 o o 183 DET det
183 ministro ministro 174 NOUN nsubj
184 de de 186 ADP case
185 o o 186 DET det
186 stf stf 183 NOUN nmod
187 supremo supremo 188 ADJ amod
188 tribunal tribunal 183 NOUN appos
189 federal federal 188 ADJ amod
190 edson edson 183 NOUN appos
191 fachin fachin 190 NOUN flat
192 determinou determinar 2 VERB conj
193 seu seu 194 DET det:poss
194 pedido pedido 192 NOUN obj
195 de de 196 ADP case
196 prisao prisao 194 NOUN nmod
197 e e 198 CCONJ cc
