subject,verb,object
extraordinário,chamar,atenção de público
pf,encontrar,celulares
temer,pedir,r$ 10 milhões
analista,ver,tiro contra caravana de lula
assaltante,atacar,caminhão de capital inicial
bc,tornar,estado
deputado,tentar aumentar,valor de fundo eleitoral
fundo público eleitoral,dar,dinheiro
man,ampliar abrir,fábrica
mercado,reduzir,previsão de inflação de 2018
país,abrir,"77,8 mil vaga formal"
tv estadão,ter,correção de enem a vivo
acusação,marcar,apuração sobre causa de fogo
agência de onu,fazer redigir,documento
artista,realizar,julgamento poético de marielle
barroso,suspender,pagamento de auxílio saúde a membro de mp mineiro
box,reunir,livro de poesia de cecília meirele
caetano,fazer,show
candidato tucano,disputar,voto de 395 correligionário
conselheiro,reapresentar defender dizer ver,justo causa
câmara,aprovar,projeto punir
delação,apontar,"r$ 5,1 mi"
doria,aumentar recuar achar adequar reduzir mais ampliar,imposto de cidade de são paulo
doria,minimizar,desempenho tucano
em dia de mulher,fazer,parte de pacote de projeto de bancada feminino em senado
escritor,causar gerar,emoção negativo como tristeza
febre amarelo,matar,300 pessoa
fgv,lançar,plataforma de liberdade de informação
frança,impor,multa de 90 euro
governador,livrar também virar,réu
governo,manter,compra de remédio para leucemia
grupo,fazer,protesto
grupo,organizar,protesto
indústria de etanol,dizer ser agora ganhar,tom oficial de setor
jovem,publicar,foto de rosto
juiz,defender denunciar,estratégia constranger
jungmann,defender,monitoramento de conversa entre advogado
lava jato em rio,já mandar pedir,"devolução de r$ 2,3 bi"
lolla parties,antecipar,apresentação de artista casado
maia,evitar comentar,problema de psdb
medicina-,aprovar,1 por cota racial
mineradoras,fazer,exame
mp,investigar,falta de vacina contra febre amarelo
mp,requerer,vídeo de prisão
mulher,posta postar,foto de próprio rosto inchado
navio fantasma de coreia de norte,assombrar,japão
petista,cobrar,federalização de investigação sobre ataque a caravana de lula
pf,pedir,relatório
professor,já perder,filho
protesto por mundo,marcar além,dia internacional de mulher
raquel,pedir,prisão de aliado temer
relator de onu,classificar,escola sem partido
sp,registrar,36 morte
stf,julgar,direito fechar
tráfico,motivar,uma prisão por dia
vereador fernando holiday,fazer,blitz em escola
barro,deixar querer indicar,amigo
barroso,autorizar,quebra de sigilo de temer
bolsonaro,decidir manter contudo também ter,bom relação com ex deputado valdemar costa neto sp que
ccj de senado,aprovar,maior rigidez em crime de injúria
ccr,pagar,ex diretor de dersa dizer
cpi de jbs,pedir também ter,convicção estabelecer
defesa de battisti,comemorar,decisão de stf impedir
demóstene,voltar ganhar,200 mil decoro
demóstene,voltar ganhar,r$
entidade,analisar,embargo de lula
ex chefe de dersa,receber,r$ 100 milhões
ex diretor de dersa,incluir,babá
ex funcionário,desviar,r$ 955 mil
festival,exibir,renovação em cenário erudito
jornalista juca kfouri,dirigir,revue banche
jurista,avaliar,julgamento
jurista,avaliar jato abrir,votação
karen de ana teresa pereira,ter,gosto de thriller policial
livro de josé luís peixoto,evocar pôar,exemplar de edição artesanal de 200 exemplar numerado de yacala
meirelles,responder,pergunta de internauta
moro,mandar executar,114 penas
moro,mandar executar decidir suspender,julgamento
movimento,pedir,manutenção de prisão
odebrecht,confessar,cartel em infraestrutura de sp
palmeirense,pedir,fim de grito homofóbico
pf,criar,grupo de combate a facção criminoso
pf,prende,ex deputado sanguessuga laíre rosado
pf,ver,fraude de r$ 70 mi em crédito tributário
procuradoria,denunciar,ex diretor de dersa
psb,abrir,congresso
psb,apoiar,extremo esquerda
psdb mineiro,alugar,avião ir a evento a estadão/broadcast
raquel,dizer estar admitir,habeas corpus de ex presidente lulo
raquel,pedir,prisão de aliado de temer
relatório,querer cassar,marxista
roso weber,atende manter fazer,primeiro voto
supremo,autorizar,reforço de escolta permanente de fachin
supremo,barrar,prisão de lula
supremo,expor criticar,fato discutir em supremo
temer,nomeiar,primo de juiz temer
tjs,gastar,r$ 890 mi
tribunal,julgar,embargo de lula
tribunal de lava jato,julgar celebrar,fato discutir
viagem cultural a rússia,revelar,nostalgia czarista
aéreas,mudar,estratégia
consumidor,pagar,r$ 16 bilhões
crise em caixa,revelar,uso de banco
emenda de previdência,manter,idade mínimo de 65 ano para homem
governo,dispensar,advocacia geral de união agu fazer
ipo de br distribuidor,disputar,investidor
temer,acertar,participação em sbt
união,honrar,"r$ 4,06 bilhões"
coreia de norte,trocar,guarda de fronteira
economista,propor,plano liberal
mugabe de herói nacional a déspota disposto matar por poder,suscitar,grande preocupação
rachel morrison,fazer ter,tema negritude
zimbabuanos,festejar,esperado queda de mugabe
"0,007 % de cidade",abrigar,metade de acesso em país
"0,1 ml de vacina dose fracionado",garantir,imunidade contra febre amarelo
"0,78 % de aluno",cometer,erro
"0,84 de usuário de crack",já experimentar,heroína
0800 de codimm,somar,147 caso
0s irmão batista,sofrer etc.,ataque de denúncia de comissão de valores mobiliário cvm
1,faltar,sessão
1 % a 5 % de o,desenvolver,comportamento dependente
1 % de aumento em fator de recuperação de reserva,representar,investimento de r$ 40 bilhões
1 % de bilionário contrato de obra de belo monte,envolver,propina acertado com pmdb
1 % de brasileiro,deter,44 % de riqueza privado de país
1 % de população brasileiro,ter,doença celíaco
1 % mais em educação,reduzir,índice de criminalidade
1 2 aposta,ganhar,6 para 6 acerto rio azul prêmio para 6 acerto são paulo sp
1 2 aposta,ganhar,prêmio para acerto belém pa pr sp
1 aposta,ganhar,"17 aposta ganhador r$ 18.042.279,04 quina 5 número"
1 aposta,ganhar,"4862 aposta ganhador r$ 10.565,03"
1 aposta,ganhar,6 número
1 aposta,ganhar,6 para 6 acerto rio azul prêmio para 6 acerto são paulo sp
1 aposta,ganhar,prêmio
1 aposta,ganhar,prêmio para 6 acerto carmo de cajuru mg
1 aposta,ganhar,prêmio para 6 acerto contagem mg sc para 6 acerto guarulho
1 aposta,ganhar,prêmio para 6 acerto rio de janeiro rj rj
1 aposta,ganhar,prêmio para 6 acerto são joão de triunfo pr
1 aposta,ganhar,prêmio para 6 acerto uruçuca ba
1 aposta,ganhar,prêmio para acerto belém pa pr sp
1 aposta 1,ganhar,"4862 aposta ganhador r$ 10.565,03"
1 aposta 1,ganhar,prêmio para 6 acerto rio de janeiro rj rj
1 bill gates 2 4 5,ver,fortuna de maior bilionário de mundo
1 ddm,receber,telefonema de mulher
1 em 6 cidade de brasil,correr,risco hídrico
1 etapa de brt de salvador,ter,obra iniciado
1 mil agricultor,fornecer,alimentação
1 mil apoiadores,recepcionar,lula
1 mil ex cliente,já buscar,ressarcimento
1 milhão de pessoa,habitar,área de amazônia
1 turma,analisar,pedido de procuradoria geral de república pgr
1 turma,conceder,habeas corpus
1 turma de stf,discutir,pedido de defesa de ex ativista político cesare battisti
