# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ta sacanagem mec petista erotizando criancas criancas sendo doutrinadas sexo mec detalhe idade sete oito anos aula criancas mec sugere beijo boca passar mao coleguinha banheiro assistir videos adultos namorando olhar sexo proximo antes local aprendizado valores vida valorizacao humano hoje tornou escola sexo fabrica criancas sexualizadas onde pequenos seres obrigados estudar forma impositiva sobre sexo quase explicito vendo cenas beiram pornografia olha algo recente portal mec encontramos plano aula professora data 2009 imagens veiculadas texto falam si
1	ta	_	DET	DET	_	2	det	_	TokenRange=0:2
2	sacanagem	sacanagem	NOUN	NOUN	_	0	root	_	TokenRange=3:12
3	mec	_	X	PNOUN	_	2	appos	_	TokenRange=13:16
4	petista	petista	NOUN	NOUN	_	2	appos	_	TokenRange=17:24
5	erotizando	erotizar	VERB	VERB	_	2	acl	_	TokenRange=25:35
6	criancas	crianca	NOUN	NOUN	_	5	obj	_	TokenRange=36:44
7	criancas	crianca	NOUN	NOUN	_	6	amod	_	TokenRange=45:53
8	sendo	ser	AUX	AUX	_	9	aux:pass	_	TokenRange=54:59
9	doutrinadas	doutrinar	VERB	VERB	_	6	acl	_	TokenRange=60:71
10	sexo	sexo	NOUN	NOUN	_	9	obj	_	TokenRange=72:76
11	mec	_	NOUN	NOUN	_	10	appos	_	TokenRange=77:80
12	detalhe	detalhe	NOUN	NOUN	_	10	appos	_	TokenRange=81:88
13	idade	idade	NOUN	NOUN	_	12	obj	_	TokenRange=89:94
14	sete	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=95:99
15	oito	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=100:104
16	anos	ano	NOUN	NOUN	_	13	appos	_	TokenRange=105:109
17	aula	aula	NOUN	NOUN	_	2	appos	_	TokenRange=110:114
18	criancas	crianca	NOUN	NOUN	_	17	flat	_	TokenRange=115:123
19	mec	_	NOUN	NOUN	_	20	nsubj	_	TokenRange=124:127
20	sugere	sugerir	VERB	VERB	_	17	acl:relcl	_	TokenRange=128:134
21	beijo	beijo	NOUN	NOUN	_	20	obj	_	TokenRange=135:140
22	boca	boca	NOUN	NOUN	_	21	flat	_	TokenRange=141:145
23	passar	passar	VERB	VERB	_	21	acl:inf	_	TokenRange=146:152
24	mao	mao	NOUN	NOUN	_	23	obj	_	TokenRange=153:156
25	coleguinha	coleguer	VERB	VERB	_	23	conj	_	TokenRange=157:167
26	banheiro	banheiro	NOUN	NOUN	_	25	obj	_	TokenRange=168:176
27	assistir	assistir	VERB	VERB	_	25	ccomp	_	TokenRange=177:185
28	videos	video	NOUN	NOUN	_	27	obj	_	TokenRange=186:192
29	adultos	adulto	ADJ	ADJ	_	28	amod	_	TokenRange=193:200
30	namorando	namorar	VERB	VERB	_	28	acl	_	TokenRange=201:210
31	olhar	olhar	VERB	VERB	_	30	xcomp	_	TokenRange=211:216
32	sexo	sexo	NOUN	NOUN	_	31	obj	_	TokenRange=217:221
33	proximo	proximo	ADJ	ADJ	_	32	amod	_	TokenRange=222:229
34	antes	antes	ADV	ADV	_	35	advmod	_	TokenRange=230:235
35	local	local	ADJ	ADJ	_	32	amod	_	TokenRange=236:241
36	aprendizado	aprendizado	ADJ	ADJ	_	32	amod	_	TokenRange=242:253
37	valores	_	NOUN	NOUN	_	36	nsubj	_	TokenRange=254:261
38	vida	vida	NOUN	NOUN	_	36	nsubj	_	TokenRange=262:266
39	valorizacao	valorizacao	ADJ	ADJ	_	38	amod	_	TokenRange=267:278
40	humano	humano	ADJ	ADJ	_	38	amod	_	TokenRange=279:285
41	hoje	hoje	ADV	ADV	_	43	advmod	_	TokenRange=286:290
42	tornou	tornar	AUX	AUX	_	43	cop	_	TokenRange=291:297
43	escola	escola	NOUN	NOUN	_	2	parataxis	_	TokenRange=298:304
44	sexo	sexo	NOUN	NOUN	_	43	appos	_	TokenRange=305:309
45	fabrica	fabrico	ADJ	ADJ	_	44	amod	_	TokenRange=310:317
46	criancas	crianca	NOUN	NOUN	_	44	appos	_	TokenRange=318:326
47	sexualizadas	sexualizado	ADJ	ADJ	_	46	amod	_	TokenRange=327:339
48	onde	onde	ADV	ADV	_	51	advmod	_	TokenRange=340:344
49	pequenos	pequeno	ADJ	ADJ	_	50	amod	_	TokenRange=345:353
50	seres	_	NOUN	NOUN	_	61	nsubj	_	TokenRange=354:359
51	obrigados	obrigar	VERB	VERB	_	50	acl	_	TokenRange=360:369
52	estudar	estudar	VERB	VERB	_	46	acl:inf	_	TokenRange=370:377
