# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ouca disse general brigada exercito ultimo dia 31/12/2015 interesse governo saibamos situacao caos acompanhem sequencia declaracoes bombasticas talvez dificeis aceitar inicio essenciais evolucao exito causa patriotica 2016
1	ouca	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:4
2	disse	dizer	VERB	VERB	_	0	root	_	TokenRange=5:10
3	general	general	NOUN	NOUN	_	2	obj	_	TokenRange=11:18
4	brigada	brigada	ADJ	ADJ	_	3	amod	_	TokenRange=19:26
5	exercito	exercito	NOUN	NOUN	_	3	appos	_	TokenRange=27:35
6	ultimo	_	ADJ	ADJ	_	7	amod	_	TokenRange=36:42
7	dia	dia	NOUN	NOUN	_	3	appos	_	TokenRange=43:46
8	31/12/2015	_	NUM	NUM	NumType=Card	9	nummod	_	TokenRange=47:57
9	interesse	interesse	NOUN	NOUN	_	7	appos	_	TokenRange=58:67
10	governo	governo	NOUN	NOUN	_	9	flat	_	TokenRange=68:75
11	saibamos	saibar	VERB	VERB	_	9	acl:relcl	_	TokenRange=76:84
12	situacao	situacao	NOUN	NOUN	_	11	obj	_	TokenRange=85:93
13	caos	caos	NOUN	NOUN	_	12	flat	_	TokenRange=94:98
14	acompanhem	acompanhar	VERB	VERB	_	2	parataxis	_	TokenRange=99:109
15	sequencia	sequencio	ADJ	ADJ	_	14	obj	_	TokenRange=110:119
16	declaracoes	declaracoe	NOUN	NOUN	_	14	obj	_	TokenRange=120:131
17	bombasticas	bombastico	ADJ	ADJ	_	16	amod	_	TokenRange=132:143
18	talvez	talvez	ADV	ADV	_	19	advmod	_	TokenRange=144:150
19	dificeis	dificil	ADJ	ADJ	_	16	amod	_	TokenRange=151:159
20	aceitar	aceitar	VERB	VERB	_	14	csubj	_	TokenRange=160:167
21	inicio	_	NOUN	NOUN	_	20	obj	_	TokenRange=168:174
22	essenciais	essencial	ADJ	ADJ	_	21	amod	_	TokenRange=175:185
23	evolucao	evolucao	ADJ	ADJ	_	21	amod	_	TokenRange=186:194
24	exito	exito	ADJ	ADJ	_	21	amod	_	TokenRange=195:200
25	causa	causa	NOUN	NOUN	_	21	appos	_	TokenRange=201:206
26	patriotica	patriotico	ADJ	ADJ	_	25	amod	_	TokenRange=207:217
27	2016	_	NUM	NUM	NumType=Card	25	nmod	_	SpaceAfter=No|TokenRange=218:222

