# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dezenas tanques nortecoreanos disparam misseis direcao frota naval eua reino eremita disparou misseis resposta frota guerra comandada navio americano carl vinson chegou peninsula demonstrando poder fogo tanques podem atingir tranquilamente navios estrangeiros portaavioes carl vinson aguarda chegada frotas japao coreia sul juntarem exercicios militares leiase prontidao guerra submarino nuclear eua armado misseis cruzeiro tomahawk desembarcou porto marinha busan coreia sul kim jongun reagiu furiosamente ameacou explodir frota agua unico missil especialistas militares acreditam tirano preparando proximo lancamento missil nuclear longo alcance pode acontecer nesta semana observando perto movimentos militares nortecoreanos torno wonsan mantendo firme disposicao disseram militares sulcoreanos comunicado
1	dezenas	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:7
2	tanques	tanque	NOUN	NOUN	_	4	nsubj	_	TokenRange=8:15
3	nortecoreanos	nortecoreano	ADJ	ADJ	_	2	amod	_	TokenRange=16:29
4	disparam	disparar	VERB	VERB	_	0	root	_	TokenRange=30:38
5	misseis	missil	NOUN	NOUN	_	4	obj	_	TokenRange=39:46
6	direcao	direcao	ADJ	ADJ	_	7	amod	_	TokenRange=47:54
7	frota	frota	NOUN	NOUN	_	4	obj	_	TokenRange=55:60
8	naval	naval	ADJ	ADJ	_	7	amod	_	TokenRange=61:66
9	eua	_	DET	DET	_	10	det	_	TokenRange=67:70
10	reino	reino	NOUN	NOUN	_	12	nsubj	_	TokenRange=71:76
11	eremita	eremito	ADJ	ADJ	_	10	amod	_	TokenRange=77:84
12	disparou	disparar	VERB	VERB	_	4	parataxis	_	TokenRange=85:93
13	misseis	missil	NOUN	NOUN	_	12	obj	_	TokenRange=94:101
14	resposta	resposta	NOUN	NOUN	_	13	flat	_	TokenRange=102:110
15	frota	frota	NOUN	NOUN	_	12	nsubj	_	TokenRange=111:116
16	guerra	guerra	NOUN	NOUN	_	15	flat	_	TokenRange=117:123
17	comandada	comandar	VERB	VERB	_	18	acl	_	TokenRange=124:133
18	navio	navio	NOUN	NOUN	_	22	nsubj	_	TokenRange=134:139
19	americano	americano	ADJ	ADJ	_	18	amod	_	TokenRange=140:149
20	carl	carl	NOUN	NOUN	_	22	nsubj	_	TokenRange=150:154
21	vinson	_	NOUN	NOUN	_	20	flat	_	TokenRange=155:161
22	chegou	chegar	VERB	VERB	_	4	conj	_	TokenRange=162:168
23	peninsula	peninsula	NOUN	NOUN	_	22	obj	_	TokenRange=169:178
24	demonstrando	demonstrar	VERB	VERB	_	22	acl	_	TokenRange=179:191
25	poder	poder	NOUN	NOUN	_	24	obj	_	TokenRange=192:197
26	fogo	fogo	NOUN	NOUN	_	25	flat	_	TokenRange=198:202
27	tanques	tanque	NOUN	NOUN	_	29	nsubj	_	TokenRange=203:210
28	podem	_	AUX	AUX	_	29	aux	_	TokenRange=211:216
29	atingir	atingir	VERB	VERB	_	12	parataxis	_	TokenRange=217:224
30	tranquilamente	tranquilamente	ADV	ADV	_	29	advmod	_	TokenRange=225:239
31	navios	navio	NOUN	NOUN	_	29	obj	_	TokenRange=240:246
32	estrangeiros	estrangeiro	ADJ	ADJ	_	31	amod	_	TokenRange=247:259
33	portaavioes	portaavioe	ADJ	ADJ	_	31	amod	_	TokenRange=260:271
34	carl	carl	NOUN	NOUN	_	29	nsubj	_	TokenRange=272:276
35	vinson	_	NOUN	NOUN	_	34	flat	_	TokenRange=277:283
36	aguarda	_	VERB	VERB	_	37	case	_	TokenRange=284:291
37	chegada	chegada	NOUN	NOUN	_	29	obj	_	TokenRange=292:299
38	frotas	frota	NOUN	NOUN	_	37	appos	_	TokenRange=300:306
39	japao	japao	NOUN	NOUN	_	37	appos	_	TokenRange=307:312
40	coreia	coreia	NOUN	NOUN	_	37	appos	_	TokenRange=313:319
41	sul	sul	ADJ	ADJ	_	40	amod	_	TokenRange=320:323
42	juntarem	juntar	VERB	VERB	_	37	acl:relcl	_	TokenRange=324:332
43	exercicios	exercicio	NOUN	NOUN	_	42	obj	_	TokenRange=333:343
44	militares	militar	ADJ	ADJ	_	43	amod	_	TokenRange=344:353
