# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tudo premeditado reporter flagrou video waldir maranhao visitando lula waldir maranhao presidente interino camara tentou anular impeachment flagrado visitando lula deu pra entender agora porque maranhao tentou anular impeachment dilma embora assunto discutido sido divulgado surgem agora efeitos dessa alianca diabolica nesta ultima sextafeira 08 presidente interino camara deputados waldir maranhao pp enviou oficio lideres blocos partidos indiquem representantes comissao vai analisar pedido impeachment presidente interino michel temer maranhao alegou comissao andou falta indicacoes partidarias inercia presidencia casa michel temer pego surpresa decisao tempestiva maranhao
1	tudo	_	PRON	PRON	_	4	nsubj	_	TokenRange=0:4
2	premeditado	premeditado	ADJ	ADJ	_	3	amod	_	TokenRange=5:16
3	reporter	reporter	NOUN	NOUN	_	4	nsubj	_	TokenRange=17:25
4	flagrou	flagrar	VERB	VERB	_	0	root	_	TokenRange=26:33
5	video	video	NOUN	NOUN	_	4	obj	_	TokenRange=34:39
6	waldir	_	NOUN	NOUN	_	5	appos	_	TokenRange=40:46
7	maranhao	maranhao	NOUN	NOUN	_	6	flat	_	TokenRange=47:55
8	visitando	visitar	VERB	VERB	_	5	acl	_	TokenRange=56:65
9	lula	_	NOUN	NOUN	_	8	obj	_	TokenRange=66:70
10	waldir	waldir	NOUN	NOUN	_	15	nsubj	_	TokenRange=71:77
11	maranhao	maranhao	ADJ	ADJ	_	12	amod	_	TokenRange=78:86
12	presidente	presidente	NOUN	NOUN	_	15	nsubj	_	TokenRange=87:97
13	interino	interino	ADJ	ADJ	_	12	amod	_	TokenRange=98:106
14	camara	camara	ADJ	NOUN	_	12	amod	_	TokenRange=107:113
15	tentou	tentar	VERB	VERB	_	4	conj	_	TokenRange=114:120
16	anular	anular	VERB	VERB	_	15	xcomp	_	TokenRange=121:127
17	impeachment	impeachment	NOUN	NOUN	_	16	obj	_	TokenRange=128:139
18	flagrado	flagrado	NOUN	NOUN	_	17	appos	_	TokenRange=140:148
19	visitando	visitar	VERB	VERB	_	17	acl	_	TokenRange=149:158
