# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ta sacanagem defesa lula ateu carteirinha compara petista papa francisco defesa lula protocolou tarde hoje justica federal parana defesa previa processo petista responde operacao lava jato argumentos exdruxulos usados advogados audacia comparar lula papa francisco acordo defesa atribuir expresidente responsabilidade atos subordinados comissionados exerciam cargos confianca retrocesso responsabilizar papa francisco acoes pessoais cardeais bispos nomeados responsabilizar bispos acoes pessoais padres cometam infracoes argumentou defesa
1	ta	_	DET	DET	_	2	det	_	TokenRange=0:2
2	sacanagem	sacanagem	NOUN	NOUN	_	7	nsubj	_	TokenRange=3:12
3	defesa	_	NOUN	NOUN	_	2	appos	_	TokenRange=13:19
4	lula	_	NOUN	NOUN	_	2	appos	_	TokenRange=20:24
5	ateu	_	NOUN	NOUN	_	2	appos	_	TokenRange=25:29
6	carteirinha	_	NOUN	NOUN	_	2	appos	_	TokenRange=30:41
7	compara	comparar	VERB	VERB	_	0	root	_	TokenRange=42:49
8	petista	petista	NOUN	NOUN	_	7	obj	_	TokenRange=50:57
9	papa	papa	NOUN	NOUN	_	8	appos	_	TokenRange=58:62
10	francisco	_	NOUN	NOUN	_	9	flat	_	TokenRange=63:72
11	defesa	_	NOUN	NOUN	_	2	appos	_	TokenRange=73:79
12	lula	_	NOUN	NOUN	_	11	flat	_	TokenRange=80:84
13	protocolou	protocolar	VERB	VERB	_	2	parataxis	_	TokenRange=85:95
14	tarde	tarde	ADV	ADV	_	13	advmod	_	TokenRange=96:101
15	hoje	hoje	ADV	ADV	_	13	advmod	_	TokenRange=102:106
16	justica	_	NOUN	NOUN	_	13	obj	_	TokenRange=107:114
17	federal	federal	ADJ	ADJ	_	16	amod	_	TokenRange=115:122
18	parana	parana	ADJ	ADJ	_	19	amod	_	TokenRange=123:129
19	defesa	_	NOUN	NOUN	_	13	nsubj	_	TokenRange=130:136
20	previa	previo	ADJ	ADJ	_	21	amod	_	TokenRange=137:143
21	processo	processo	NOUN	NOUN	_	23	nsubj	_	TokenRange=144:152
22	petista	petista	ADJ	ADJ	_	21	amod	_	TokenRange=153:160
23	responde	responder	VERB	VERB	_	13	parataxis	_	TokenRange=161:169
24	operacao	operacao	NOUN	NOUN	_	23	obj	_	TokenRange=170:178
25	lava	lava	NOUN	NOUN	_	24	flat	_	TokenRange=179:183
26	jato	_	NOUN	NOUN	_	27	flat	_	TokenRange=184:188
27	argumentos	argumento	NOUN	NOUN	_	24	appos	_	TokenRange=189:199
28	exdruxulos	exdruxulo	ADJ	NOUN	_	27	amod	_	TokenRange=200:210
29	usados	usar	VERB	VERB	_	27	acl	_	TokenRange=211:217
30	advogados	advogado	NOUN	NOUN	_	32	obj	_	TokenRange=218:227
31	audacia	audacia	NOUN	NOUN	_	30	flat	_	TokenRange=228:235
32	comparar	comparar	VERB	VERB	_	23	parataxis	_	TokenRange=236:244
33	lula	_	NOUN	NOUN	_	32	obj	_	TokenRange=245:249
34	papa	papa	NOUN	NOUN	_	33	appos	_	TokenRange=250:254
35	francisco	francisco	ADJ	ADJ	_	34	amod	_	TokenRange=255:264
36	acordo	acordo	NOUN	NOUN	_	32	obj	_	TokenRange=265:271
37	defesa	_	NOUN	NOUN	_	34	flat	_	TokenRange=272:278
38	atribuir	atribuir	VERB	VERB	_	32	ccomp	_	TokenRange=279:287
39	expresidente	expresidente	NOUN	NOUN	_	38	obj	_	TokenRange=288:300
40	responsabilidade	responsabilidade	NOUN	NOUN	_	38	obj	_	TokenRange=301:317
41	atos	ato	NOUN	NOUN	_	38	nsubj	_	TokenRange=318:322
42	subordinados	subordinado	ADJ	ADJ	_	41	amod	_	TokenRange=323:335
43	comissionados	comissionado	ADJ	ADJ	_	41	amod	_	TokenRange=336:349
44	exerciam	exercer	VERB	VERB	_	41	acl:relcl	_	TokenRange=350:358
45	cargos	cargo	NOUN	NOUN	_	44	obj	_	TokenRange=359:365
46	confianca	_	ADJ	ADJ	_	45	amod	_	TokenRange=366:375
47	retrocesso	retrocesso	NOUN	NOUN	_	44	nsubj	_	TokenRange=376:386
48	responsabilizar	responsabilizar	VERB	VERB	_	44	ccomp	_	TokenRange=387:402
49	papa	papa	NOUN	NOUN	_	48	obj	_	TokenRange=403:407
50	francisco	francisco	ADJ	ADJ	_	49	flat	_	TokenRange=408:417
51	acoes	acoe	NOUN	NOUN	_	48	obj	_	TokenRange=418:423
52	pessoais	pessoal	ADJ	ADJ	_	51	amod	_	TokenRange=424:432
53	cardeais	cardeal	ADJ	ADJ	_	51	amod	_	TokenRange=433:441
54	bispos	bispo	NOUN	NOUN	_	51	appos	_	TokenRange=442:448
55	nomeados	nomeado	ADJ	ADJ	_	54	amod	_	TokenRange=449:457
56	responsabilizar	responsabilizar	VERB	VERB	_	54	acl	_	TokenRange=458:473
57	bispos	bispo	NOUN	NOUN	_	56	obj	_	TokenRange=474:480
58	acoes	acoe	NOUN	NOUN	_	56	obj	_	TokenRange=481:486
59	pessoais	pessoal	ADJ	ADJ	_	58	amod	_	TokenRange=487:495
60	padres	_	ADJ	ADJ	_	58	amod	_	TokenRange=496:502
61	cometam	cometer	VERB	VERB	_	44	parataxis	_	TokenRange=503:510
62	infracoes	_	NOUN	NOUN	_	63	obj	_	TokenRange=511:520
63	argumentou	argumentar	VERB	VERB	_	61	parataxis	_	TokenRange=521:531
64	defesa	_	NOUN	NOUN	_	63	obj	_	SpaceAfter=No|TokenRange=532:538

