# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ninguem melhor proprio lula explicar funciona bolsa familia distribui tanto tiquete leite porque verdade peca troca epoca eleicao assim processo eleitoral despolitizado tratando povo pobre mesma forma cabral tratou indios chegou brasil distribuia bijuterias ganhar confianca indios assim governos distribuem alimento manter politica dominacao lula referia usar distribuicao alimentos moeda troca votos promover eternizacao poder tempo passou pt assumiu poder chamada politica dominacao permaneceu revigorada governo poder corrompe poder revela verdadeiro carater pessoa ps contra bolsafamilia sim contra utilizacao deste programa social angariar votos assista video tire conclusoes
1	ninguem	_	PRON	PRON	_	0	root	_	TokenRange=0:7
2	melhor	melhor	ADJ	ADJ	_	1	amod	_	TokenRange=8:14
3	proprio	proprio	ADJ	ADJ	_	4	det	_	TokenRange=15:22
4	lula	_	NOUN	NOUN	_	5	nsubj	_	TokenRange=23:27
5	explicar	explicar	VERB	VERB	_	1	acl:relcl	_	TokenRange=28:36
6	funciona	funcionar	VERB	VERB	_	5	xcomp	_	TokenRange=37:45
7	bolsa	bolsa	NOUN	NOUN	_	9	obj	_	TokenRange=46:51
8	familia	familia	NOUN	NOUN	_	7	flat	_	TokenRange=52:59
9	distribui	distribuir	VERB	VERB	_	1	acl:relcl	_	TokenRange=60:69
10	tanto	tanto	DET	DET	_	11	det	_	TokenRange=70:75
11	tiquete	tiquete	NOUN	NOUN	_	9	obj	_	TokenRange=76:83
12	leite	leite	NOUN	NOUN	_	11	flat	_	TokenRange=84:89
13	porque	_	CCONJ	CONJ	_	14	case	_	TokenRange=90:96
14	verdade	verdade	NOUN	NOUN	_	9	nmod	_	TokenRange=97:104
15	peca	peca	NOUN	NOUN	_	11	appos	_	TokenRange=105:109
16	troca	_	NOUN	NOUN	_	15	flat	_	TokenRange=110:115
17	epoca	epoca	NOUN	NOUN	_	15	appos	_	TokenRange=116:121
18	eleicao	eleicao	NOUN	NOUN	_	15	appos	_	TokenRange=122:129
19	assim	assim	ADV	ADV	_	20	advmod	_	TokenRange=130:135
20	processo	processo	NOUN	NOUN	_	15	appos	_	TokenRange=136:144
21	eleitoral	eleitoral	ADJ	ADJ	_	20	amod	_	TokenRange=145:154
