# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = xequemate moro pena lula baixa aumentada 2 instancia moro qualquer acoes certeiras controladas lula 60 chances condenado segunda instancia 8 turma criminal 4 regiao trf4 responsavel julgar sentencas moro segunda instancia somente 28 reus condenados 1 instancia sergio moro absolvidos 3 desembargadores compoem tribunal 12 sentencas reduzidas oposto acontece aproximadamente 30 sentencas chegaram trf4 sofreram aumento pena outros 30 penas mantidas casos juiz moro subiram 8 turma criminal analisando numeros chegamos seguinte conclusao matematica lula 60 chances condenado trf4 pena pode aumentar olha falando somente 1 processo ainda restam outros 6
1	xequemate	xequemate	NOUN	NOUN	_	0	root	_	TokenRange=0:9
2	moro	moro	ADJ	ADJ	_	1	amod	_	TokenRange=10:14
3	pena	_	NOUN	NOUN	_	1	appos	_	TokenRange=15:19
4	lula	lula	NOUN	NOUN	_	1	appos	_	TokenRange=20:24
5	baixa	baixo	ADJ	ADJ	_	3	amod	_	TokenRange=25:30
6	aumentada	aumentar	VERB	ADJ	_	3	acl	_	TokenRange=31:40
7	2	_	NUM	NUM	NumType=Card	8	nummod	_	TokenRange=41:42
8	instancia	instancia	NOUN	NOUN	_	3	appos	_	TokenRange=43:52
9	moro	moro	NOUN	NOUN	_	8	flat	_	TokenRange=53:57
10	qualquer	_	DET	DET	_	11	det	_	TokenRange=58:66
11	acoes	acoe	NOUN	NOUN	_	1	appos	_	TokenRange=67:72
12	certeiras	_	ADJ	ADJ	_	11	amod	_	TokenRange=73:82
13	controladas	controlar	VERB	VERB	_	11	acl	_	TokenRange=83:94
14	lula	_	NOUN	NOUN	_	13	nsubj	_	TokenRange=95:99
15	60	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=100:102
16	chances	chance	NOUN	NOUN	_	14	appos	_	TokenRange=103:110
17	condenado	condenar	VERB	VERB	_	11	acl	_	TokenRange=111:120
18	segunda	segundo	ADJ	ADJ	_	19	amod	_	TokenRange=121:128
19	instancia	instancia	NOUN	NOUN	_	17	obj	_	TokenRange=129:138
20	8	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=139:140
21	turma	turma	NOUN	NOUN	_	19	appos	_	TokenRange=141:146
