# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = oab quer cassar bolsonaro ora va pt vive homenageando sanguinarios esquerda bolsonaro infeliz exagerou sim presidente oabrj disse seccional ira acionar stf pedir cassacao mandato deputado federal jair bolsonaro durante votacao processo impeachment presidente dilma rousseff pt bolsonaro prestou homenagem coronel acusado tortura durante ditadura militar 196485 declaracao considerada apologia tortura orgao infelicidade deputado porque pau bate chico bate francisco brasil petistas permitido homenagear livremente ditadores assassinos todos tipos psicopatas desde esquerda viva fidel maduro cuba venezuela coreia norte memoria marighela lamarca che quanta hipocrisia ahhhh cuspir cara deputados pode
1	oab	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
2	quer	querer	VERB	VERB	_	0	root	_	TokenRange=4:8
3	cassar	cassar	VERB	VERB	_	2	xcomp	_	TokenRange=9:15
4	bolsonaro	bolsonaro	NOUN	NOUN	_	3	obj	_	TokenRange=16:25
5	ora	ora	ADV	CONJ	_	9	cc	_	TokenRange=26:29
6	va	_	CCONJ	CONJ	_	9	nsubj	_	TokenRange=30:32
7	pt	_	NOUN	NOUN	_	9	nsubj	_	TokenRange=33:35
8	vive	_	AUX	AUX	_	9	aux	_	TokenRange=36:40
9	homenageando	homenagear	VERB	VERB	_	3	conj	_	TokenRange=41:53
10	sanguinarios	sanguinario	NOUN	NOUN	_	9	obj	_	TokenRange=54:66
11	esquerda	esquerdo	ADJ	ADJ	_	10	amod	_	TokenRange=67:75
12	bolsonaro	bolsonaro	NOUN	NOUN	_	9	nsubj	_	TokenRange=76:85
13	infeliz	infeliz	ADJ	ADJ	_	12	amod	_	TokenRange=86:93
14	exagerou	exagerar	VERB	VERB	_	9	parataxis	_	TokenRange=94:102
15	sim	sim	ADV	ADV	_	14	advmod	_	TokenRange=103:106
16	presidente	presidente	NOUN	NOUN	_	14	nsubj	_	TokenRange=107:117
17	oabrj	_	NOUN	NOUN	_	16	appos	_	TokenRange=118:123
18	disse	dizer	VERB	VERB	_	14	parataxis	_	TokenRange=124:129
19	seccional	seccional	ADJ	ADJ	_	18	xcomp	_	TokenRange=130:139
20	ira	_	NOUN	NOUN	_	21	nsubj	_	TokenRange=140:143
21	acionar	acionar	VERB	VERB	_	18	ccomp	_	TokenRange=144:151
22	stf	_	NOUN	NOUN	_	21	obj	_	TokenRange=152:155
23	pedir	pedir	VERB	VERB	_	21	ccomp	_	TokenRange=156:161
24	cassacao	cassacao	NOUN	NOUN	_	23	obj	_	TokenRange=162:170
