# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua sofre maior ataque desde 11 setembro massacre deixa 50 mortos 53 feridos florida policia orlando florida fbi confirmaram agora pouco 50 pessoas morreram 53 ficaram feridas ataque boate lgbt atirador abriu fogo dentro boate voltada publico lgbt autor morreu durante troca tiros policia prefeito cidade buddy dayer lamentou disse numero mortos dentro casa noturna pulse maior estimado anteriormente verificamos explosivos conseguimos entrar ver numero mortos maior pensavamos disse john mina chefe policia volta 3h brasilia troca tiros lado atirador voltou dentro fez refens algumas horas 5h manha policia decidiu resgatar refens dentro local policiais trocaram tiros suspeito suspeito morto disse chefe policia orlando john mina ficou claro vitimas dentro clube morreram antes durante tomada refens confronto atirador policia assassino portava rifle ar15 arma pequeno porte
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
2	sofre	sofrer	VERB	VERB	_	0	root	_	TokenRange=4:9
3	maior	maior	ADJ	ADJ	_	4	amod	_	TokenRange=10:15
4	ataque	ataque	NOUN	NOUN	_	2	obj	_	TokenRange=16:22
5	desde	_	ADP	ADP	_	7	case	_	TokenRange=23:28
6	11	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=29:31
7	setembro	_	PROPN	PNOUN	_	2	nmod	_	TokenRange=32:40
8	massacre	massacre	NOUN	NOUN	_	9	nsubj	_	TokenRange=41:49
9	deixa	deixar	VERB	VERB	_	2	advcl	_	TokenRange=50:55
10	50	_	NUM	NUM	NumType=Card	11	nummod	_	TokenRange=56:58
11	mortos	morto	NOUN	NOUN	_	9	obj	_	TokenRange=59:65
12	53	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=66:68
13	feridos	ferido	NOUN	NOUN	_	9	obj	_	TokenRange=69:76
14	florida	florido	ADJ	ADJ	_	15	amod	_	TokenRange=77:84
15	policia	policia	NOUN	NOUN	_	9	nsubj	_	TokenRange=85:92
16	orlando	_	NOUN	NOUN	_	15	appos	_	TokenRange=93:100
17	florida	florido	ADJ	ADJ	_	18	amod	_	TokenRange=101:108
18	fbi	_	NOUN	NOUN	_	15	appos	_	TokenRange=109:112
19	confirmaram	confirmar	VERB	VERB	_	9	conj	_	TokenRange=113:124
20	agora	agora	ADV	ADV	_	19	advmod	_	TokenRange=125:130
21	pouco	pouco	ADV	ADV	_	24	advmod	_	TokenRange=131:136
22	50	_	NUM	NUM	NumType=Card	23	nummod	_	TokenRange=137:139
23	pessoas	pessoa	NOUN	NOUN	_	24	nsubj	_	TokenRange=140:147
24	morreram	morrer	VERB	VERB	_	19	ccomp	_	TokenRange=148:156
25	53	_	NUM	NUM	NumType=Card	26	nsubj	_	TokenRange=157:159
26	ficaram	ficar	VERB	VERB	_	24	ccomp	_	TokenRange=160:167
27	feridas	ferido	ADJ	ADJ	_	26	xcomp	_	TokenRange=168:175
28	ataque	ataque	NOUN	NOUN	_	24	nsubj	_	TokenRange=176:182
29	boate	boate	NOUN	NOUN	_	28	appos	_	TokenRange=183:188
30	lgbt	lgbt	ADJ	ADJ	_	29	amod	_	TokenRange=189:193
31	atirador	atirador	NOUN	NOUN	_	29	amod	_	TokenRange=194:202
32	abriu	abrir	VERB	VERB	_	28	acl:relcl	_	TokenRange=203:208
33	fogo	fogo	NOUN	NOUN	_	32	obj	_	TokenRange=209:213
34	dentro	dentro	ADV	ADV	_	32	advmod	_	TokenRange=214:220
35	boate	boate	NOUN	NOUN	_	32	nsubj	_	TokenRange=221:226
36	voltada	voltado	ADJ	ADJ	_	35	amod	_	TokenRange=227:234
37	publico	_	NOUN	NOUN	_	35	amod	_	TokenRange=235:242
38	lgbt	_	ADJ	ADJ	_	35	amod	_	TokenRange=243:247
39	autor	autor	NOUN	NOUN	_	40	nsubj	_	TokenRange=248:253
40	morreu	morrer	VERB	VERB	_	32	parataxis	_	TokenRange=254:260
41	durante	_	ADP	ADP	_	42	case	_	TokenRange=261:268
42	troca	_	NOUN	NOUN	_	40	nmod	_	TokenRange=269:274
43	tiros	tiro	NOUN	NOUN	_	42	appos	_	TokenRange=275:280
44	policia	policia	NOUN	NOUN	_	121	nsubj	_	TokenRange=281:288
45	prefeito	prefeito	NOUN	NOUN	_	121	nsubj	_	TokenRange=289:297
46	cidade	cidade	NOUN	NOUN	_	45	flat	_	TokenRange=298:304
47	buddy	_	NOUN	NOUN	_	90	nsubj	_	TokenRange=305:310
48	dayer	_	NOUN	NOUN	_	47	flat	_	TokenRange=311:316
49	lamentou	lamentar	VERB	VERB	_	45	acl:relcl	_	TokenRange=317:325
50	disse	dizer	VERB	VERB	_	49	parataxis	_	TokenRange=326:331
51	numero	numero	NOUN	NOUN	_	112	nsubj	_	TokenRange=332:338
52	mortos	morto	ADJ	ADJ	_	51	amod	_	TokenRange=339:345
53	dentro	dentro	ADV	ADV	_	51	advmod	_	TokenRange=346:352
54	casa	casa	NOUN	NOUN	_	51	appos	_	TokenRange=353:357
55	noturna	noturno	ADJ	ADJ	_	54	amod	_	TokenRange=358:365
56	pulse	pulse	NOUN	NOUN	_	51	appos	_	TokenRange=366:371
57	maior	maior	ADJ	ADJ	_	54	amod	_	TokenRange=372:377
58	estimado	estimar	VERB	VERB	_	54	acl	_	TokenRange=378:386
59	anteriormente	anteriormente	ADV	ADV	_	60	advmod	_	TokenRange=387:400
60	verificamos	verificar	VERB	VERB	_	58	conj	_	TokenRange=401:412
61	explosivos	explosivo	NOUN	NOUN	_	60	obj	_	TokenRange=413:423
62	conseguimos	conseguir	VERB	VERB	_	121	parataxis	_	TokenRange=424:435
63	entrar	entrar	VERB	VERB	_	62	xcomp	_	TokenRange=436:442
64	ver	ver	VERB	VERB	_	122	acl:inf	_	TokenRange=443:446
