# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos cuspir bolsonaro jean wyllys recebe punicao leve debocha povo etica venceu receber advertencia conselho etica camara wyllys ainda tempo tirar sarro povo deputado disse decisao conselho vitoria guardara trofeu ricardo izar deputado relator caso pedido suspensao mandato wyllys periodo 1 mes abaixo discurso vitoria exbbb fascistas reacionarios esperavam punido agora vao chorar redes sociais chorem democracia etica venceram disse deputado revista epoca expresso
1	apos	_	ADP	ADP	_	2	mark	_	TokenRange=0:4
2	cuspir	cuspir	VERB	VERB	_	6	advcl	_	TokenRange=5:11
3	bolsonaro	bolsonaro	NOUN	NOUN	_	2	obj	_	TokenRange=12:21
4	jean	_	NOUN	NOUN	_	6	nsubj	_	TokenRange=22:26
5	wyllys	_	NOUN	NOUN	_	4	flat	_	TokenRange=27:33
6	recebe	receber	VERB	VERB	_	0	root	_	TokenRange=34:40
7	punicao	punicao	NOUN	NOUN	_	6	obj	_	TokenRange=41:48
8	leve	leve	ADJ	ADJ	_	7	amod	_	TokenRange=49:53
9	debocha	_	NOUN	NOUN	_	6	nsubj	_	TokenRange=54:61
10	povo	povo	NOUN	NOUN	_	6	nsubj	_	TokenRange=62:66
11	etica	etico	ADJ	ADJ	_	10	amod	_	TokenRange=67:72
12	venceu	vencer	VERB	VERB	_	6	parataxis	_	TokenRange=73:79
13	receber	receber	VERB	VERB	_	12	xcomp	_	TokenRange=80:87
14	advertencia	advertencia	NOUN	NOUN	_	13	obj	_	TokenRange=88:99
15	conselho	conselho	NOUN	NOUN	_	14	appos	_	TokenRange=100:108
16	etica	etico	ADJ	ADJ	_	15	amod	_	TokenRange=109:114
17	camara	camara	NOUN	NOUN	_	13	appos	_	TokenRange=115:121
18	wyllys	_	NOUN	NOUN	_	17	flat	_	TokenRange=122:128
19	ainda	ainda	ADV	ADV	_	20	advmod	_	TokenRange=129:134
20	tempo	tempo	NOUN	NOUN	_	21	nsubj	_	TokenRange=135:140
21	tirar	tirar	VERB	VERB	_	17	acl:relcl	_	TokenRange=141:146
22	sarro	sarro	NOUN	NOUN	_	21	obj	_	TokenRange=147:152
23	povo	povo	NOUN	NOUN	_	21	nsubj	_	TokenRange=153:157
24	deputado	deputado	NOUN	NOUN	_	23	flat	_	TokenRange=158:166
25	disse	dizer	VERB	VERB	_	22	acl:relcl	_	TokenRange=167:172
26	decisao	decisao	NOUN	NOUN	_	25	obj	_	TokenRange=173:180
27	conselho	conselho	NOUN	NOUN	_	29	nsubj	_	TokenRange=181:189
28	vitoria	vitoria	NOUN	NOUN	_	30	flat	_	TokenRange=190:197
29	guardara	guardar	VERB	VERB	_	26	acl:relcl	_	TokenRange=198:206
30	trofeu	trofeu	NOUN	NOUN	_	29	obj	_	TokenRange=207:213
31	ricardo	ricardo	NOUN	NOUN	_	30	amod	_	TokenRange=214:221
32	izar	izar	NOUN	NOUN	_	30	appos	_	TokenRange=222:226
33	deputado	deputado	NOUN	NOUN	_	30	appos	_	TokenRange=227:235
34	relator	relator	NOUN	NOUN	_	33	flat	_	TokenRange=236:243
35	caso	_	NOUN	NOUN	_	36	case	_	TokenRange=244:248
36	pedido	pedido	NOUN	NOUN	_	29	nmod	_	TokenRange=249:255
37	suspensao	suspensao	ADJ	NOUN	_	38	amod	_	TokenRange=256:265
38	mandato	mandato	NOUN	NOUN	_	29	obj	_	TokenRange=266:273
39	wyllys	_	NOUN	NOUN	_	38	appos	_	TokenRange=274:280
40	periodo	periodo	NOUN	NOUN	_	38	appos	_	TokenRange=281:288
41	1	_	NUM	NUM	NumType=Card	42	nummod	_	TokenRange=289:290
42	mes	me	NOUN	NOUN	_	43	nmod	_	TokenRange=291:294
43	abaixo	abaixo	ADV	ADV	_	49	advmod	_	TokenRange=295:301
44	discurso	discurso	NOUN	NOUN	_	29	nsubj	_	TokenRange=302:310
45	vitoria	vitoria	NOUN	NOUN	_	44	amod	_	TokenRange=311:318
46	exbbb	_	NOUN	NOUN	_	44	appos	_	TokenRange=319:324
47	fascistas	fascista	NOUN	NOUN	_	46	flat	_	TokenRange=325:334
48	reacionarios	reacionario	ADJ	ADJ	_	46	amod	_	TokenRange=335:347
49	esperavam	esperar	VERB	VERB	_	44	acl:relcl	_	TokenRange=348:357
50	punido	punido	ADJ	ADJ	_	49	xcomp	_	TokenRange=358:364
51	agora	agora	ADV	ADV	_	53	advmod	_	TokenRange=365:370
52	vao	ir	AUX	AUX	_	53	aux	_	TokenRange=371:374
53	chorar	chorar	VERB	VERB	_	49	ccomp	_	TokenRange=375:381
54	redes	rede	NOUN	NOUN	_	53	obj	_	TokenRange=382:387
55	sociais	social	ADJ	ADJ	_	54	amod	_	TokenRange=388:395
56	chorem	chorar	VERB	VERB	_	53	ccomp	_	TokenRange=396:402
57	democracia	democracia	NOUN	NOUN	_	56	obj	_	TokenRange=403:413
58	etica	etico	ADJ	ADJ	_	57	amod	_	TokenRange=414:419
59	venceram	vencer	VERB	VERB	_	60	parataxis	_	TokenRange=420:428
60	disse	dizer	VERB	VERB	_	49	conj	_	TokenRange=429:434
61	deputado	deputado	NOUN	NOUN	_	60	nsubj	_	TokenRange=435:443
62	revista	revista	NOUN	NOUN	_	60	nsubj	_	TokenRange=444:451
63	epoca	epoca	NOUN	NOUN	_	62	flat	_	TokenRange=452:457
64	expresso	expresso	ADJ	ADJ	_	62	amod	_	SpaceAfter=No|TokenRange=458:466

