# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = samba lula musicas tocadas semana autor boca nervosa nada nada excelencia nada tudo amigos triplex praia diga amigo sitio atibaia amigo fundacao carrega nome amigo ilha senhor descansa amigo paga contas mordomias uns amigos jatinho senhor usa amigo filho milionario excelencia nada nada excelencia nada tudo amigos deu rombo la petrobras uns amigos cabeca tal mensalao amigo bando preso federal tudo amigo deixou brasil nessa crise excelencia tudo amigo
1	samba	samba	NOUN	NOUN	_	0	root	_	TokenRange=0:5
2	lula	_	NOUN	NOUN	_	1	flat	_	TokenRange=6:10
3	musicas	_	NOUN	NOUN	_	1	appos	_	TokenRange=11:18
4	tocadas	tocar	VERB	VERB	_	1	acl	_	TokenRange=19:26
5	semana	semana	NOUN	NOUN	_	4	nmod	_	TokenRange=27:33
6	autor	autor	NOUN	NOUN	_	1	appos	_	TokenRange=34:39
7	boca	boca	NOUN	NOUN	_	1	appos	_	TokenRange=40:44
8	nervosa	nervoso	ADJ	ADJ	_	7	amod	_	TokenRange=45:52
9	nada	_	PRON	PRON	_	7	appos	_	TokenRange=53:57
10	nada	_	PRON	PRON	_	11	det	_	TokenRange=58:62
11	excelencia	excelencia	ADJ	NOUN	_	9	amod	_	TokenRange=63:73
12	nada	_	DET	DET	_	14	det	_	TokenRange=74:78
13	tudo	_	DET	DET	_	14	det	_	TokenRange=79:83
14	amigos	amigo	NOUN	NOUN	_	9	appos	_	TokenRange=84:90
15	triplex	_	NOUN	NOUN	_	14	amod	_	TokenRange=91:98
16	praia	praia	NOUN	NOUN	_	1	appos	_	TokenRange=99:104
17	diga	dizer	VERB	VERB	_	18	case	_	TokenRange=105:109
18	amigo	amigo	NOUN	NOUN	_	14	appos	_	TokenRange=110:115
19	sitio	sitio	NOUN	NOUN	_	18	appos	_	TokenRange=116:121
20	atibaia	atibaio	ADJ	ADJ	_	18	amod	_	TokenRange=122:129
21	amigo	amigo	NOUN	NOUN	_	19	appos	_	TokenRange=130:135
22	fundacao	fundacao	NOUN	NOUN	_	18	amod	_	TokenRange=136:144
23	carrega	carrega	NOUN	NOUN	_	19	appos	_	TokenRange=145:152
24	nome	nome	NOUN	NOUN	_	18	appos	_	TokenRange=153:157
25	amigo	amigo	NOUN	NOUN	_	24	amod	_	TokenRange=158:163
26	ilha	ilha	NOUN	NOUN	_	23	appos	_	TokenRange=164:168
27	senhor	senhor	NOUN	NOUN	_	26	flat	_	TokenRange=169:175
28	descansa	_	VERB	VERB	_	26	acl:relcl	_	TokenRange=176:184
29	amigo	amigo	NOUN	NOUN	_	30	obj	_	TokenRange=185:190
30	paga	pagar	VERB	VERB	_	28	parataxis	_	TokenRange=191:195
31	contas	conta	NOUN	NOUN	_	30	obj	_	TokenRange=196:202
32	mordomias	mordomia	NOUN	NOUN	_	31	flat	_	TokenRange=203:212
33	uns	_	DET	DET	_	34	det	_	TokenRange=213:216
34	amigos	amigo	NOUN	NOUN	_	30	nsubj	_	TokenRange=217:223
35	jatinho	jato	ADJ	NOUN	_	34	amod	_	TokenRange=224:231
36	senhor	senhor	NOUN	NOUN	_	37	nsubj	_	TokenRange=232:238
37	usa	usar	VERB	VERB	_	30	parataxis	_	TokenRange=239:242
38	amigo	amigo	NOUN	NOUN	_	37	obj	_	TokenRange=243:248
39	filho	filho	NOUN	NOUN	_	37	obj	_	TokenRange=249:254
40	milionario	milionario	ADJ	ADJ	_	39	amod	_	TokenRange=255:265
41	excelencia	excelencia	NOUN	NOUN	_	37	appos	_	TokenRange=266:276
42	nada	_	PRON	PRON	_	37	obj	_	TokenRange=277:281
43	nada	_	PRON	PRON	_	44	det	_	TokenRange=282:286
44	excelencia	_	ADJ	ADJ	_	42	amod	_	TokenRange=287:297
45	nada	_	PRON	PRON	_	47	det	_	TokenRange=298:302
46	tudo	_	DET	DET	_	47	det	_	TokenRange=303:307
47	amigos	amigo	NOUN	NOUN	_	48	nsubj	_	TokenRange=308:314
48	deu	dar	VERB	VERB	_	37	parataxis	_	TokenRange=315:318
49	rombo	rombo	NOUN	NOUN	_	48	obj	_	TokenRange=319:324
50	la	_	PRON	PRON	_	49	det	_	TokenRange=325:327
51	petrobras	petrobra	NOUN	NOUN	_	48	obj	_	TokenRange=328:337
52	uns	_	DET	DET	_	53	det	_	TokenRange=338:341
53	amigos	amigo	NOUN	NOUN	_	48	nsubj	_	TokenRange=342:348
54	cabeca	cabeca	NOUN	NOUN	_	53	appos	_	TokenRange=349:355
55	tal	_	DET	DET	_	53	det	_	TokenRange=356:359
56	mensalao	_	NOUN	NOUN	_	58	amod	_	TokenRange=360:368
57	amigo	amigo	ADJ	ADJ	_	58	amod	_	TokenRange=369:374
58	bando	bando	NOUN	NOUN	_	53	appos	_	TokenRange=375:380
59	preso	_	ADJ	ADJ	_	58	amod	_	TokenRange=381:386
60	federal	federal	ADJ	ADJ	_	58	amod	_	TokenRange=387:394
61	tudo	_	DET	DET	_	62	det	_	TokenRange=395:399
62	amigo	amigo	NOUN	NOUN	_	63	nsubj	_	TokenRange=400:405
63	deixou	deixar	VERB	VERB	_	48	parataxis	_	TokenRange=406:412
64	brasil	brasil	NOUN	NOUN	_	63	obj	_	TokenRange=413:419
65	nessa	_	ADP	ADP	_	66	case	_	TokenRange=420:425
66	crise	crise	NOUN	NOUN	_	63	nmod	_	TokenRange=426:431
67	excelencia	excelencia	NOUN	NOUN	_	63	parataxis	_	TokenRange=432:442
68	tudo	_	DET	DET	_	69	det	_	TokenRange=443:447
69	amigo	amigo	NOUN	NOUN	_	67	obj	_	SpaceAfter=No|TokenRange=448:453

