# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos denunciado melhor amigo temer comeca esquecer coisas al vamos ajudar presidente lembrar ocorrido presidente michel temer admitiu pessoas proximas sabia visita doleiro lucio funaro doleiro eduardo cunha escritorio jose yunes amigo fe irmao camarada temer presidente acabou homologar revelacoes yunes confirmou treta peemedebista inclui ministro padilha detalhe incomoda interlocutores presidente questionado sobre datas valores apresenta sintomas alzheimer diz lembra onde motivo encontro outros assuntos economia sintomas alzheimer desaparecem milagre divino informacoes gabriel mascarenhas veja jose yunes amigo peito michel temer exassessor presidencia delatou ministro colocou temer sinuca bico acordo materia folha/sp ontem 23 yunes afirmou eliseu padilha usou mula pediu recebesse pacote escritorio 2014 amigao temer ainda disse remetente tal pacote doleiro lucio funaro operador eduardo cunha ainda acordo folha pacote continha dinheiro vivo odebrecht destinado pmdb yunes contou bolada acertada durante jantar proprio temer
1	apos	_	CCONJ	CONJ	_	2	mark	_	TokenRange=0:4
2	denunciado	denunciar	VERB	VERB	_	6	advcl	_	TokenRange=5:15
3	melhor	melhor	ADJ	ADJ	_	4	amod	_	TokenRange=16:22
4	amigo	amigo	NOUN	NOUN	_	2	nsubj	_	TokenRange=23:28
5	temer	temer	NOUN	NOUN	_	4	appos	_	TokenRange=29:34
6	comeca	_	VERB	VERB	_	0	root	_	TokenRange=35:41
7	esquecer	esquecer	VERB	VERB	_	6	xcomp	_	TokenRange=42:50
8	coisas	coisa	NOUN	NOUN	_	7	obj	_	TokenRange=51:57
9	al	_	PRON	PRON	_	11	mark	_	TokenRange=58:60
10	vamos	ir	AUX	AUX	_	11	aux	_	TokenRange=61:66
11	ajudar	ajudar	VERB	VERB	_	4	acl:relcl	_	TokenRange=67:73
12	presidente	presidente	NOUN	NOUN	_	11	obj	_	TokenRange=74:84
13	lembrar	lembrar	VERB	VERB	_	12	acl:inf	_	TokenRange=85:92
14	ocorrido	ocorrer	VERB	VERB	_	12	acl	_	TokenRange=93:101
15	presidente	presidente	NOUN	NOUN	_	13	nsubj	_	TokenRange=102:112
16	michel	michel	ADJ	ADJ	_	17	amod	_	TokenRange=113:119
17	temer	temer	NOUN	NOUN	_	15	appos	_	TokenRange=120:125
18	admitiu	admitir	VERB	VERB	_	6	parataxis	_	TokenRange=126:133
