# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ta explicado deputado tentou anular impeachment atolado dividas politico protagonizou espetaculo circense mando dilma lula atolado dividas campanha deputado waldir maranhao pp prestes perder propria casa bairro nobre luis ma materia estado diz presidente exercicio camara deu calote grafica quality r 1 3 milhao durante campanha deputado federal 2010 tribunal justica maranhao penhorou 4 imoveis parlamentar provavelmente irao leilao motivo maranhao vendeu pt quitar dividas
1	ta	_	CCONJ	CONJ	_	2	mark	_	TokenRange=0:2
2	explicado	explicar	VERB	VERB	_	4	acl	_	TokenRange=3:12
3	deputado	deputado	NOUN	NOUN	_	4	nsubj	_	TokenRange=13:21
4	tentou	tentar	VERB	VERB	_	0	root	_	TokenRange=22:28
5	anular	anular	VERB	VERB	_	4	xcomp	_	TokenRange=29:35
6	impeachment	impeachment	NOUN	NOUN	_	5	obj	_	TokenRange=36:47
7	atolado	_	ADJ	ADJ	_	8	amod	_	TokenRange=48:55
8	dividas	divida	NOUN	NOUN	_	6	appos	_	TokenRange=56:63
9	politico	_	ADJ	ADJ	_	8	amod	_	TokenRange=64:72
10	protagonizou	protagonizar	VERB	VERB	_	4	parataxis	_	TokenRange=73:85
11	espetaculo	espetaculo	NOUN	NOUN	_	10	obj	_	TokenRange=86:96
12	circense	circense	ADJ	ADJ	_	11	amod	_	TokenRange=97:105
13	mando	mando	NOUN	NOUN	_	11	appos	_	TokenRange=106:111
14	dilma	_	NOUN	NOUN	_	13	appos	_	TokenRange=112:117
15	lula	_	NOUN	NOUN	_	13	flat	_	TokenRange=118:122
16	atolado	_	ADJ	ADJ	_	17	amod	_	TokenRange=123:130
17	dividas	divida	ADJ	ADJ	_	18	amod	_	TokenRange=131:138
18	campanha	campanha	NOUN	NOUN	_	10	nsubj	_	TokenRange=139:147
19	deputado	deputado	NOUN	NOUN	_	18	appos	_	TokenRange=148:156
20	waldir	_	NOUN	NOUN	_	18	appos	_	TokenRange=157:163
21	maranhao	maranhao	NOUN	NOUN	_	20	flat	_	TokenRange=164:172
22	pp	_	NOUN	NOUN	_	18	flat	_	TokenRange=173:175
23	prestes	_	ADJ	ADJ	_	18	amod	_	TokenRange=176:183
24	perder	perder	VERB	VERB	_	18	acl:inf	_	TokenRange=184:190
25	propria	proprio	ADJ	ADJ	_	26	amod	_	TokenRange=191:198
26	casa	casa	NOUN	NOUN	_	24	obj	_	TokenRange=199:203
27	bairro	bairro	NOUN	NOUN	_	26	appos	_	TokenRange=204:210
28	nobre	nobre	ADJ	ADJ	_	27	amod	_	TokenRange=211:216
29	luis	_	NOUN	NOUN	_	27	appos	_	TokenRange=217:221
30	ma	_	DET	DET	_	31	det	_	TokenRange=222:224
31	materia	materia	NOUN	NOUN	_	33	nsubj	_	TokenRange=225:232
32	estado	estado	NOUN	NOUN	_	31	appos	_	TokenRange=233:239
33	diz	dizer	VERB	VERB	_	10	parataxis	_	TokenRange=240:243
34	presidente	presidente	NOUN	NOUN	_	33	obj	_	TokenRange=244:254
35	exercicio	exercicio	ADJ	ADJ	_	34	amod	_	TokenRange=255:264
36	camara	camara	NOUN	NOUN	_	34	amod	_	TokenRange=265:271
37	deu	dar	VERB	VERB	_	10	conj	_	TokenRange=272:275
38	calote	calote	NOUN	NOUN	_	37	obj	_	TokenRange=276:282
39	grafica	grafico	ADJ	ADJ	_	38	amod	_	TokenRange=283:290
40	quality	_	NOUN	NOUN	_	37	obj	_	TokenRange=291:298
41	r	r	NOUN	NOUN	_	40	flat	_	TokenRange=299:300
42	1	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=301:302
43	3	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=303:304
44	milhao	_	NUM	NUM	NumType=Card	40	nummod	_	TokenRange=305:311
45	durante	_	ADP	ADP	_	46	case	_	TokenRange=312:319
46	campanha	campanha	NOUN	NOUN	_	37	nmod	_	TokenRange=320:328
47	deputado	deputado	NOUN	NOUN	_	46	appos	_	TokenRange=329:337
48	federal	federal	ADJ	ADJ	_	47	amod	_	TokenRange=338:345
49	2010	_	NUM	NUM	NumType=Card	50	nummod	_	TokenRange=346:350
50	tribunal	tribunal	NOUN	NOUN	_	53	nsubj	_	TokenRange=351:359
51	justica	justico	ADJ	ADJ	_	50	amod	_	TokenRange=360:367
52	maranhao	maranhao	ADJ	ADJ	_	50	amod	_	TokenRange=368:376
53	penhorou	penhorar	VERB	VERB	_	37	parataxis	_	TokenRange=377:385
54	4	_	NUM	NUM	NumType=Card	55	nummod	_	TokenRange=386:387
55	imoveis	imovel	NOUN	NOUN	_	53	obj	_	TokenRange=388:395
56	parlamentar	parlamentar	ADJ	ADJ	_	55	amod	_	TokenRange=396:407
57	provavelmente	provavelmente	ADV	ADV	_	58	advmod	_	TokenRange=408:421
58	irao	_	VERB	VERB	_	53	parataxis	_	TokenRange=422:426
59	leilao	leilao	ADJ	ADJ	_	58	xcomp	_	TokenRange=427:433
60	motivo	motivo	NOUN	NOUN	_	62	nsubj	_	TokenRange=434:440
61	maranhao	maranhao	NOUN	NOUN	_	60	flat	_	TokenRange=441:449
62	vendeu	vender	VERB	VERB	_	58	conj	_	TokenRange=450:456
63	pt	_	NOUN	NOUN	_	62	obj	_	TokenRange=457:459
64	quitar	quitar	VERB	VERB	_	62	xcomp	_	TokenRange=460:466
65	dividas	divida	NOUN	NOUN	_	64	obj	_	SpaceAfter=No|TokenRange=467:474

