# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ninguem quer assumir secretaria cultura bruna lombardi quarta mulher recusar convite atriz bruna lombardi divulgou nota hoje 17 meio assessoria imprensa afirmando negou convite oficial assumir secretaria nacional cultura fiquei agradecida convite pretensoes politicas totalmente envolvida projetos profissionais disse bruna residencia los angeles eua antropologa claudia leitao publicou mensagem dizendo respondeu contatos governo comandar secretaria coordenadora curso posgraduacao fgv fundacao getulio vargas eliane costa relatou sondada porem respondeu trabalha governo golpista coveira minc outro nome sondado apresentadora marilia gabriela disse convite temer
1	ninguem	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:7
2	quer	querer	VERB	VERB	_	80	ccomp	_	TokenRange=8:12
3	assumir	assumir	VERB	VERB	_	2	xcomp	_	TokenRange=13:20
4	secretaria	secretaria	NOUN	NOUN	_	3	obj	_	TokenRange=21:31
5	cultura	cultura	NOUN	NOUN	_	4	flat	_	TokenRange=32:39
6	bruna	bruna	NOUN	NOUN	_	4	appos	_	TokenRange=40:45
7	lombardi	_	NOUN	NOUN	_	6	flat	_	TokenRange=46:54
8	quarta	_	ADJ	ADJ	_	9	amod	_	TokenRange=55:61
9	mulher	mulher	NOUN	NOUN	_	6	appos	_	TokenRange=62:68
10	recusar	recusar	VERB	VERB	_	2	parataxis	_	TokenRange=69:76
11	convite	convite	NOUN	NOUN	_	10	obj	_	TokenRange=77:84
12	atriz	_	NOUN	NOUN	_	15	nsubj	_	TokenRange=85:90
13	bruna	bruno	NOUN	NOUN	_	12	appos	_	TokenRange=91:96
14	lombardi	_	NOUN	NOUN	_	13	flat	_	TokenRange=97:105
15	divulgou	divulgar	VERB	VERB	_	2	parataxis	_	TokenRange=106:114
16	nota	nota	NOUN	NOUN	_	15	obj	_	TokenRange=115:119
17	hoje	hoje	ADV	ADV	_	16	advmod	_	TokenRange=120:124
18	17	_	NUM	NUM	NumType=Card	19	nummod	_	TokenRange=125:127
19	meio	meio	NOUN	NOUN	_	16	appos	_	TokenRange=128:132
20	assessoria	assessoria	NOUN	NOUN	_	19	appos	_	TokenRange=133:143
