# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = alguem ostenta ignorancia conseguiu tornar presidente video trecho entrevista concedida canal livre tv bandeirantes outubro 1981 programa participacao roberto davila flavio rangel helio pellegrino eduardo suplicy helio silva outros trem desses conseguiu virar presidente republica
1	alguem	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:6
2	ostenta	ostentar	VERB	VERB	_	0	root	_	TokenRange=7:14
3	ignorancia	ignorancia	NOUN	NOUN	_	2	obj	_	TokenRange=15:25
4	conseguiu	conseguir	VERB	VERB	_	2	ccomp	_	TokenRange=26:35
5	tornar	tornar	AUX	AUX	_	6	cop	_	TokenRange=36:42
6	presidente	presidente	NOUN	NOUN	_	4	xcomp	_	TokenRange=43:53
7	video	video	NOUN	NOUN	_	6	appos	_	TokenRange=54:59
8	trecho	trecho	ADJ	ADJ	_	9	amod	_	TokenRange=60:66
9	entrevista	entrevista	NOUN	NOUN	_	6	appos	_	TokenRange=67:77
10	concedida	conceder	VERB	VERB	_	9	acl	_	TokenRange=78:87
11	canal	canal	NOUN	NOUN	_	9	appos	_	TokenRange=88:93
12	livre	livre	ADJ	ADJ	_	11	amod	_	TokenRange=94:99
13	tv	tv	NOUN	NOUN	_	11	appos	_	TokenRange=100:102
14	bandeirantes	_	NOUN	NOUN	_	11	amod	_	TokenRange=103:115
15	outubro	_	PROPN	PNOUN	_	11	appos	_	TokenRange=116:123
16	1981	_	NUM	NUM	NumType=Card	15	appos	_	TokenRange=124:128
17	programa	programa	NOUN	NOUN	_	4	nsubj	_	TokenRange=129:137
18	participacao	participacao	ADJ	ADJ	_	17	amod	_	TokenRange=138:150
19	roberto	roberto	NOUN	NOUN	_	17	appos	_	TokenRange=151:158
20	davila	_	NOUN	NOUN	_	19	flat	_	TokenRange=159:165
21	flavio	flavio	NOUN	NOUN	_	19	flat	_	TokenRange=166:172
22	rangel	rangel	NOUN	NOUN	_	23	flat	_	TokenRange=173:179
23	helio	helio	NOUN	NOUN	_	17	appos	_	TokenRange=180:185
24	pellegrino	_	NOUN	NOUN	_	23	flat	_	TokenRange=186:196
25	eduardo	eduardo	NOUN	NOUN	_	23	appos	_	TokenRange=197:204
26	suplicy	_	ADJ	ADJ	_	25	amod	_	TokenRange=205:212
27	helio	helio	NOUN	NOUN	_	25	appos	_	TokenRange=213:218
28	silva	silva	ADJ	ADJ	_	27	flat	_	TokenRange=219:224
29	outros	_	DET	DET	_	30	det	_	TokenRange=225:231
30	trem	trem	NOUN	NOUN	_	32	nsubj	_	TokenRange=232:236
31	desses	_	X	ADPPRON	_	30	nmod	_	TokenRange=237:243
32	conseguiu	conseguir	VERB	VERB	_	4	conj	_	TokenRange=244:253
33	virar	virar	AUX	AUX	_	34	cop	_	TokenRange=254:259
34	presidente	presidente	NOUN	NOUN	_	32	xcomp	_	TokenRange=260:270
35	republica	republico	ADJ	ADJ	_	34	amod	_	SpaceAfter=No|TokenRange=271:280

