# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = todos pra casa temendo nova tragedia sistema penitenciario dois juizes mandam esvaziar presidio inteiro argumento novo risco nova tragedia sistema penitenciario juizes marcelo lima oliveira suelen marcia silva alves aceitaram pedido direcao centro progressao penitenciaria boa vista roraima determinaram completo esvaziamento cerca 160 detentos regime semiaberto mandados casa presos antes decisao apenas dormiam cpp devem ficar casas 20h acordo ordem judicial juiz marcelo lima disse folha medida tomada carater emergencia devera reavaliada governo estadual decorrer semana medida drastica precisava fazer argumentou tomara ocorra tragedia ruas
1	todos	_	PRON	PRON	_	11	nsubj	_	TokenRange=0:5
2	pra	_	ADP	ADP	_	3	case	_	TokenRange=6:9
3	casa	casa	NOUN	NOUN	_	1	nmod	_	TokenRange=10:14
4	temendo	temer	VERB	VERB	_	1	acl	_	TokenRange=15:22
5	nova	novo	ADJ	ADJ	_	6	amod	_	TokenRange=23:27
6	tragedia	tragedia	NOUN	NOUN	_	4	obj	_	TokenRange=28:36
7	sistema	sistema	NOUN	NOUN	_	4	obj	_	TokenRange=37:44
8	penitenciario	penitenciario	ADJ	ADJ	_	7	amod	_	TokenRange=45:58
9	dois	_	NUM	NUM	NumType=Card	10	nummod	_	TokenRange=59:63
10	juizes	_	NOUN	NOUN	_	4	obj	_	TokenRange=64:70
11	mandam	mandar	VERB	VERB	_	0	root	_	TokenRange=71:77
12	esvaziar	esvaziar	VERB	VERB	_	11	xcomp	_	TokenRange=78:86
13	presidio	presidio	NOUN	NOUN	_	12	obj	_	TokenRange=87:95
14	inteiro	inteiro	ADJ	ADJ	_	13	amod	_	TokenRange=96:103
15	argumento	argumento	NOUN	NOUN	_	12	obj	_	TokenRange=104:113
16	novo	novo	ADJ	ADJ	_	17	amod	_	TokenRange=114:118
17	risco	risco	NOUN	NOUN	_	12	obj	_	TokenRange=119:124
18	nova	novo	ADJ	ADJ	_	19	amod	_	TokenRange=125:129
19	tragedia	tragedia	NOUN	NOUN	_	17	appos	_	TokenRange=130:138
20	sistema	sistema	NOUN	NOUN	_	19	appos	_	TokenRange=139:146
21	penitenciario	penitenciario	ADJ	ADJ	_	20	amod	_	TokenRange=147:160
22	juizes	_	NOUN	NOUN	_	30	nsubj	_	TokenRange=161:167
23	marcelo	marcelo	NOUN	NOUN	_	22	appos	_	TokenRange=168:175
24	lima	_	NOUN	NOUN	_	23	flat	_	TokenRange=176:180
25	oliveira	oliveira	NOUN	NOUN	_	23	flat	_	TokenRange=181:189
26	suelen	_	NOUN	NOUN	_	27	flat	_	TokenRange=190:196
27	marcia	marcia	NOUN	NOUN	_	23	appos	_	TokenRange=197:203
28	silva	silva	NOUN	NOUN	_	27	flat	_	TokenRange=204:209
29	alves	alve	ADJ	ADJ	_	27	amod	_	TokenRange=210:215
30	aceitaram	aceitar	VERB	VERB	_	11	parataxis	_	TokenRange=216:225
31	pedido	pedido	NOUN	NOUN	_	30	obj	_	TokenRange=226:232
32	direcao	direcao	ADJ	ADJ	_	31	amod	_	TokenRange=233:240
33	centro	centro	NOUN	NOUN	_	31	appos	_	TokenRange=241:247
34	progressao	progressao	ADJ	ADJ	_	33	amod	_	TokenRange=248:258
35	penitenciaria	penitenciaria	NOUN	NOUN	_	33	appos	_	TokenRange=259:272
36	boa	bom	ADJ	ADJ	_	37	amod	_	TokenRange=273:276
37	vista	vista	NOUN	NOUN	_	33	appos	_	TokenRange=277:282
38	roraima	roraima	ADJ	ADJ	_	37	amod	_	TokenRange=283:290
39	determinaram	determinar	VERB	VERB	_	30	ccomp	_	TokenRange=291:303
40	completo	completo	ADJ	ADJ	_	41	amod	_	TokenRange=304:312
41	esvaziamento	esvaziamento	NOUN	NOUN	_	39	obj	_	TokenRange=313:325
42	cerca	cerca	ADV	ADV	_	43	advmod	_	TokenRange=326:331
43	160	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=332:335
44	detentos	detento	NOUN	NOUN	_	39	obj	_	TokenRange=336:344
45	regime	regime	NOUN	NOUN	_	44	appos	_	TokenRange=345:351
46	semiaberto	semiaberto	ADJ	ADJ	_	45	amod	_	TokenRange=352:362
47	mandados	mandar	VERB	VERB	_	44	acl	_	TokenRange=363:371
48	casa	casa	NOUN	NOUN	_	47	obj	_	TokenRange=372:376
49	presos	preso	NOUN	NOUN	_	47	nsubj	_	TokenRange=377:383
50	antes	antes	ADV	ADV	_	53	advmod	_	TokenRange=384:389
51	decisao	decisao	NOUN	NOUN	_	53	nsubj	_	TokenRange=390:397
52	apenas	apenas	ADV	ADV	_	53	advmod	_	TokenRange=398:404
53	dormiam	dormer	VERB	VERB	_	49	acl:relcl	_	TokenRange=405:412
54	cpp	_	NOUN	NOUN	_	53	nsubj	_	TokenRange=413:416
55	devem	_	AUX	AUX	_	56	aux	_	TokenRange=417:422
56	ficar	ficar	VERB	VERB	_	53	parataxis	_	TokenRange=423:428
57	casas	casa	NOUN	NOUN	_	56	nsubj	_	TokenRange=429:434
58	20h	_	NUM	NUM	NumType=Card	59	nummod	_	TokenRange=435:438
59	acordo	acordo	NOUN	NOUN	_	56	nsubj	_	TokenRange=439:445
60	ordem	ordem	NOUN	NOUN	_	57	appos	_	TokenRange=446:451
61	judicial	judicial	ADJ	ADJ	_	60	amod	_	TokenRange=452:460
62	juiz	juiz	NOUN	NOUN	_	65	nsubj	_	TokenRange=461:465
63	marcelo	marcelo	NOUN	NOUN	_	62	appos	_	TokenRange=466:473
64	lima	lima	ADJ	NOUN	_	63	flat	_	TokenRange=474:478
65	disse	dizer	VERB	VERB	_	60	acl:relcl	_	TokenRange=479:484
66	folha	folha	ADJ	ADJ	_	65	xcomp	_	TokenRange=485:490
67	medida	medida	NOUN	NOUN	_	65	nsubj	_	TokenRange=491:497
68	tomada	tomar	VERB	VERB	_	67	acl	_	TokenRange=498:504
69	carater	carater	NOUN	NOUN	_	68	nsubj	_	TokenRange=505:512
70	emergencia	emergencia	NOUN	NOUN	_	69	flat	_	TokenRange=513:523
71	devera	dever	AUX	AUX	_	72	aux	_	TokenRange=524:530
72	reavaliada	reavaliar	VERB	VERB	_	67	acl:relcl	_	TokenRange=531:541
73	governo	governo	NOUN	NOUN	_	72	nsubj	_	TokenRange=542:549
74	estadual	estadual	ADJ	ADJ	_	73	amod	_	TokenRange=550:558
75	decorrer	decorrer	VERB	VERB	_	72	csubj	_	TokenRange=559:567
76	semana	semana	NOUN	NOUN	_	75	obj	_	TokenRange=568:574
77	medida	medida	NOUN	NOUN	_	75	obj	_	TokenRange=575:581
78	drastica	drastico	ADJ	ADJ	_	77	amod	_	TokenRange=582:590
79	precisava	precisar	VERB	VERB	_	65	parataxis	_	TokenRange=591:600
80	fazer	fazer	VERB	VERB	_	79	xcomp	_	TokenRange=601:606
81	argumentou	argumentar	VERB	VERB	_	80	ccomp	_	TokenRange=607:617
82	tomara	tomar	NOUN	NOUN	_	83	nsubj	_	TokenRange=618:624
83	ocorra	ocorrer	VERB	VERB	_	81	ccomp	_	TokenRange=625:631
