# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiu resposta oficial dilma carta temer pimentorium in anus outrem refrescus vazou carta dilma temer pimentorium in anus outrem refrescus
1	saiu	sair	VERB	VERB	_	0	root	_	TokenRange=0:4
2	resposta	resposta	NOUN	NOUN	_	1	obj	_	TokenRange=5:13
3	oficial	oficial	ADJ	ADJ	_	2	amod	_	TokenRange=14:21
4	dilma	_	ADJ	ADJ	_	5	amod	_	TokenRange=22:27
5	carta	carta	NOUN	NOUN	_	2	appos	_	TokenRange=28:33
6	temer	temer	NOUN	NOUN	_	5	appos	_	TokenRange=34:39
7	pimentorium	_	NOUN	NOUN	_	5	appos	_	TokenRange=40:51
8	in	_	ADP	ADP	_	9	case	_	TokenRange=52:54
9	anus	_	NOUN	NOUN	_	7	nmod	_	TokenRange=55:59
10	outrem	_	DET	DET	_	11	det	_	TokenRange=60:66
11	refrescus	refrescus	NOUN	NOUN	_	6	appos	_	TokenRange=67:76
12	vazou	vazar	VERB	VERB	_	1	parataxis	_	TokenRange=77:82
13	carta	carta	NOUN	NOUN	_	12	obj	_	TokenRange=83:88
14	dilma	_	ADJ	ADJ	_	13	amod	_	TokenRange=89:94
15	temer	temer	VERB	VERB	_	13	acl:relcl	_	TokenRange=95:100
16	pimentorium	pimentorium	NOUN	NOUN	_	15	obj	_	TokenRange=101:112
17	in	_	ADP	ADP	_	18	case	_	TokenRange=113:115
18	anus	_	NOUN	NOUN	_	16	nmod	_	TokenRange=116:120
19	outrem	_	DET	DET	_	20	det	_	TokenRange=121:127
20	refrescus	refrescus	NOUN	NOUN	_	16	appos	_	SpaceAfter=No|TokenRange=128:137

