# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = antes sairgoverno dilma autorizou aumento 237 prestacoes casa vida prestacoes imoveis financiados casa vida ficarao 237 5 caras partir julho valor maximo passara r 80 r 270 mes rendimento r 1200 01 r 1800 valor minimo familias renda r 800 subira 220 r 25 r 80 ministerio cidades informou novos valores passarao valer contratos assinados caixa economica federal banco brasil partir dia 1 julho nota ministerio alegou reajustes devem atualizacao custos construcao melhorias estabelecidas nesta nova fase ajuste autorizado exgoverno dilma rousseff
1	antes	antes	ADV	ADV	_	4	advmod	_	TokenRange=0:5
2	sairgoverno	_	NOUN	NOUN	_	4	nsubj	_	TokenRange=6:17
3	dilma	_	NOUN	NOUN	_	4	nsubj	_	TokenRange=18:23
4	autorizou	autorizar	VERB	VERB	_	0	root	_	TokenRange=24:33
5	aumento	aumento	NOUN	NOUN	_	4	obj	_	TokenRange=34:41
6	237	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=42:45
7	prestacoes	prestacoe	NOUN	NOUN	_	5	appos	_	TokenRange=46:56
8	casa	casa	ADJ	NOUN	_	9	amod	_	TokenRange=57:61
9	vida	vida	NOUN	NOUN	_	7	nmod	_	TokenRange=62:66
10	prestacoes	prestacoe	NOUN	NOUN	_	7	appos	_	TokenRange=67:77
11	imoveis	imovel	ADJ	ADJ	_	10	amod	_	TokenRange=78:85
12	financiados	financiar	ADJ	ADJ	_	10	acl	_	TokenRange=86:97
13	casa	casa	NOUN	NOUN	_	14	amod	_	TokenRange=98:102
14	vida	vida	NOUN	NOUN	_	10	flat	_	TokenRange=103:107
15	ficarao	ficar	VERB	VERB	_	4	parataxis	_	TokenRange=108:115
16	237	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=116:119
17	5	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=120:121
18	caras	cara	NOUN	NOUN	_	15	nsubj	_	TokenRange=122:127
19	partir	partir	VERB	VERB	_	15	parataxis	_	TokenRange=128:134
20	julho	_	PROPN	PNOUN	_	19	nmod	_	TokenRange=135:140
21	valor	valor	NOUN	NOUN	_	23	nsubj	_	TokenRange=141:146
22	maximo	maximo	ADJ	ADJ	_	21	amod	_	TokenRange=147:153
23	passara	passar	VERB	VERB	_	4	parataxis	_	TokenRange=154:161
24	r	r	NOUN	NOUN	_	23	obj	_	TokenRange=162:163
25	80	_	NUM	NUM	NumType=Card	24	appos	_	TokenRange=164:166
26	r	r	NOUN	NOUN	_	24	appos	_	TokenRange=167:168
27	270	_	NUM	NUM	NumType=Card	26	nummod	_	TokenRange=169:172
28	mes	_	NOUN	NOUN	_	29	appos	_	TokenRange=173:176
29	rendimento	rendimento	NOUN	NOUN	_	24	conj	_	TokenRange=177:187
30	r	r	NOUN	NOUN	_	29	punct	_	TokenRange=188:189
31	1200	_	NUM	NUM	NumType=Card	32	nummod	_	TokenRange=190:194
32	01	_	NUM	NUM	NumType=Card	29	appos	_	TokenRange=195:197
33	r	r	NOUN	NOUN	_	32	flat	_	TokenRange=198:199
34	1800	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=200:204
35	valor	valor	NOUN	NOUN	_	23	conj	_	TokenRange=205:210
36	minimo	minimo	ADJ	ADJ	_	35	amod	_	TokenRange=211:217
37	familias	_	NOUN	NOUN	_	35	appos	_	TokenRange=218:226
38	renda	renda	NOUN	NOUN	_	35	flat	_	TokenRange=227:232
39	r	r	PUNCT	.	_	41	punct	_	TokenRange=233:234
40	800	_	NUM	NUM	NumType=Card	41	nsubj	_	TokenRange=235:238
41	subira	_	VERB	VERB	_	35	acl:relcl	_	TokenRange=239:245
42	220	_	NUM	NUM	NumType=Card	41	nmod	_	TokenRange=246:249
43	r	r	NOUN	NOUN	_	41	obj	_	TokenRange=250:251
44	25	_	NUM	NUM	NumType=Card	43	nummod	_	TokenRange=252:254
45	r	r	NOUN	NOUN	_	43	appos	_	TokenRange=255:256
46	80	_	NUM	NUM	NumType=Card	43	nummod	_	TokenRange=257:259
47	ministerio	ministerio	NOUN	NOUN	_	49	nsubj	_	TokenRange=260:270
48	cidades	cidade	NOUN	NOUN	_	47	flat	_	TokenRange=271:278
49	informou	informar	VERB	VERB	_	4	conj	_	TokenRange=279:287
50	novos	novo	ADJ	ADJ	_	51	amod	_	TokenRange=288:293
51	valores	_	NOUN	NOUN	_	49	obj	_	TokenRange=294:301
52	passarao	passar	AUX	AUX	_	53	aux	_	TokenRange=302:310
53	valer	valer	VERB	VERB	_	49	ccomp	_	TokenRange=311:316
54	contratos	contrato	NOUN	NOUN	_	53	obj	_	TokenRange=317:326
55	assinados	assinado	ADJ	ADJ	_	54	amod	_	TokenRange=327:336
56	caixa	caixa	NOUN	NOUN	_	53	nsubj	_	TokenRange=337:342
57	economica	economico	ADJ	ADJ	_	56	amod	_	TokenRange=343:352
58	federal	federal	ADJ	ADJ	_	56	amod	_	TokenRange=353:360
59	banco	banco	NOUN	NOUN	_	54	appos	_	TokenRange=361:366
60	brasil	brasil	ADJ	ADJ	_	59	amod	_	TokenRange=367:373
61	partir	partir	VERB	VERB	_	49	parataxis	_	TokenRange=374:380
62	dia	dia	NOUN	NOUN	_	61	nmod	_	TokenRange=381:384
63	1	_	NUM	NUM	NumType=Card	62	nmod	_	TokenRange=385:386
64	julho	_	PROPN	PNOUN	_	63	nmod	_	TokenRange=387:392
65	nota	nota	NOUN	NOUN	_	67	nsubj	_	TokenRange=393:397
66	ministerio	ministerio	NOUN	NOUN	_	65	flat	_	TokenRange=398:408
67	alegou	alegar	VERB	VERB	_	49	parataxis	_	TokenRange=409:415
68	reajustes	reajuste	NOUN	NOUN	_	67	obj	_	TokenRange=416:425
69	devem	_	VERB	VERB	_	67	ccomp	_	TokenRange=426:431
70	atualizacao	atualizacao	ADJ	ADJ	_	71	amod	_	TokenRange=432:443
71	custos	custo	NOUN	NOUN	_	69	obj	_	TokenRange=444:450
72	construcao	construcao	ADJ	ADJ	_	71	amod	_	TokenRange=451:461
73	melhorias	melhoria	NOUN	NOUN	_	71	appos	_	TokenRange=462:471
74	estabelecidas	estabelecer	VERB	VERB	_	73	acl	_	TokenRange=472:485
75	nesta	_	ADP	ADP	_	77	case	_	TokenRange=486:491
76	nova	novo	ADJ	ADJ	_	77	amod	_	TokenRange=492:496
77	fase	fase	NOUN	NOUN	_	74	nmod	_	TokenRange=497:501
78	ajuste	ajustar	NOUN	NOUN	_	74	parataxis	_	TokenRange=502:508
79	autorizado	autorizado	ADJ	ADJ	_	78	amod	_	TokenRange=509:519
80	exgoverno	exgoverno	NOUN	NOUN	_	78	appos	_	TokenRange=520:529
81	dilma	dilma	NOUN	NOUN	_	78	appos	_	TokenRange=530:535
82	rousseff	rousseff	NOUN	NOUN	_	81	flat	_	SpaceAfter=No|TokenRange=536:544

