# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = putin envia submarinos nucleares mar negro ameaca aqui nunca territorio otan presidente russo acredita submarinos fortemente armados ajudarao manter dominio estrategico maritimo almirante alexander buzakov disse testes quinto submarino chamado veliky novgorod concluidos sucesso entregue frota mar negro ultimo dia 25 outubro sexto submarino kolpino previsto juntar frota dia 25 novembro relatou submarinos russos projetados aco macico ultima geracao podem transportar tripulacao 52 pessoas 45 dias cada embarcacao pesa 4 mil toneladas atinge velocidade maxima 20 cerca 37 km/h equipados atacar debaixo dagua solo alvos aereos recep tayyip erdogan presidente turco disse recentemente mar negro transformou lago russo devido ausencia otan local
1	putin	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:5
2	envia	enviar	VERB	VERB	_	26	ccomp	_	TokenRange=6:11
3	submarinos	submarino	NOUN	NOUN	_	2	obj	_	TokenRange=12:22
4	nucleares	nuclear	ADJ	ADJ	_	3	amod	_	TokenRange=23:32
5	mar	mar	NOUN	NOUN	_	2	nsubj	_	TokenRange=33:36
6	negro	negro	ADJ	ADJ	_	5	amod	_	TokenRange=37:42
7	ameaca	ameacar	VERB	VERB	_	2	parataxis	_	TokenRange=43:49
8	aqui	aqui	ADV	ADV	_	7	advmod	_	TokenRange=50:54
9	nunca	nunca	ADV	ADV	_	7	advmod	_	TokenRange=55:60
10	territorio	territorio	NOUN	NOUN	_	7	obj	_	TokenRange=61:71
11	otan	otan	ADJ	ADJ	_	10	amod	_	TokenRange=72:76
12	presidente	presidente	NOUN	NOUN	_	7	nsubj	_	TokenRange=77:87
13	russo	russo	ADJ	ADJ	_	12	amod	_	TokenRange=88:93
14	acredita	acreditar	VERB	VERB	_	2	parataxis	_	TokenRange=94:102
15	submarinos	submarino	NOUN	NOUN	_	14	nsubj	_	TokenRange=103:113
16	fortemente	fortemente	ADV	ADV	_	17	advmod	_	TokenRange=114:124
17	armados	armado	ADJ	ADJ	_	15	amod	_	TokenRange=125:132
18	ajudarao	ajudar	VERB	VERB	_	53	acl:relcl	_	TokenRange=133:141
19	manter	manter	VERB	VERB	_	18	xcomp	_	TokenRange=142:148
20	dominio	dominio	NOUN	NOUN	_	19	obj	_	TokenRange=149:156
21	estrategico	estrategico	ADJ	ADJ	_	20	amod	_	TokenRange=157:168
22	maritimo	maritimo	ADJ	ADJ	_	20	amod	_	TokenRange=169:177
23	almirante	almirante	NOUN	NOUN	_	20	appos	_	TokenRange=178:187
24	alexander	alexander	NOUN	NOUN	_	23	appos	_	TokenRange=188:197
25	buzakov	_	NOUN	NOUN	_	24	flat	_	TokenRange=198:205
26	disse	dizer	VERB	VERB	_	0	root	_	TokenRange=206:211
27	testes	teste	NOUN	NOUN	_	26	obj	_	TokenRange=212:218
28	quinto	_	ADJ	ADJ	_	29	amod	_	TokenRange=219:225
29	submarino	submarino	NOUN	NOUN	_	96	nsubj	_	TokenRange=226:235
30	chamado	chamar	AUX	AUX	_	31	cop	_	TokenRange=236:243
31	veliky	_	NOUN	NOUN	_	29	appos	_	TokenRange=244:250
32	novgorod	_	NOUN	NOUN	_	31	flat	_	TokenRange=251:259
33	concluidos	concluir	VERB	VERB	_	34	acl	_	TokenRange=260:270
34	sucesso	sucesso	NOUN	NOUN	_	35	nsubj	_	TokenRange=271:278
35	entregue	entregar	VERB	VERB	_	31	acl	_	TokenRange=279:287
36	frota	frota	NOUN	NOUN	_	35	obj	_	TokenRange=288:293
37	mar	mar	NOUN	NOUN	_	36	appos	_	TokenRange=294:297
38	negro	negro	ADJ	ADJ	_	37	amod	_	TokenRange=298:303
39	ultimo	_	ADJ	ADJ	_	44	amod	_	TokenRange=304:310
40	dia	dia	NOUN	NOUN	_	35	nmod	_	TokenRange=311:314
41	25	_	NUM	NUM	NumType=Card	40	nummod	_	TokenRange=315:317
42	outubro	_	PROPN	PNOUN	_	40	nmod	_	TokenRange=318:325
43	sexto	_	ADJ	ADJ	_	44	amod	_	TokenRange=326:331
44	submarino	submarino	NOUN	NOUN	_	52	nsubj	_	TokenRange=332:341
45	kolpino	_	ADJ	ADJ	_	44	amod	_	TokenRange=342:349
46	previsto	prever	VERB	ADJ	_	44	acl	_	TokenRange=350:358
47	juntar	juntar	VERB	VERB	_	44	acl:inf	_	TokenRange=359:365
48	frota	frota	NOUN	NOUN	_	47	obj	_	TokenRange=366:371
49	dia	dia	NOUN	NOUN	_	47	nmod	_	TokenRange=372:375
