# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos separacao andreia nobrega diz sofre ameacas ex vou acabar andreia nobrega atriz exesposa humorista carlos alberto nobrega disse sofria ameacas marido entrevista programa rede record andreia revelou sentava sofa falava vou acabar 22 anos vendaval continuou programa exibido proximo sabado 9/7 separacao casal confirmada semana passada site uol carlos alberto disse mulher abandonou quadro atuava praca casal separou devido divergencias profissionais pessoais humorista disse queria morar sozinho andreia aceitava informacao uol
1	apos	_	ADP	ADP	_	2	case	_	TokenRange=0:4
2	separacao	separacao	NOUN	NOUN	_	5	nmod	_	TokenRange=5:14
3	andreia	andreio	NOUN	NOUN	_	5	nsubj	_	TokenRange=15:22
4	nobrega	nobrego	NOUN	NOUN	_	3	flat	_	TokenRange=23:30
5	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=31:34
6	sofre	sofre	NOUN	NOUN	_	5	obj	_	TokenRange=35:40
7	ameacas	ameaca	NOUN	NOUN	_	6	flat	_	TokenRange=41:48
8	ex	_	CCONJ	PRT	_	10	mark	_	TokenRange=49:51
9	vou	ir	AUX	AUX	_	10	aux	_	TokenRange=52:55
10	acabar	acabar	VERB	VERB	_	6	acl:relcl	_	TokenRange=56:62
11	andreia	andreia	NOUN	NOUN	_	10	obj	_	TokenRange=63:70
12	nobrega	nobrego	ADJ	ADJ	_	11	amod	_	TokenRange=71:78
13	atriz	_	NOUN	NOUN	_	11	appos	_	TokenRange=79:84
14	exesposa	exesposo	ADJ	ADJ	_	13	amod	_	TokenRange=85:93
15	humorista	humorista	NOUN	NOUN	_	13	appos	_	TokenRange=94:103
16	carlos	_	NOUN	NOUN	_	15	appos	_	TokenRange=104:110
17	alberto	alberto	NOUN	NOUN	_	16	flat	_	TokenRange=111:118
18	nobrega	nobrego	NOUN	NOUN	_	16	flat	_	TokenRange=119:126
19	disse	dizer	VERB	VERB	_	5	parataxis	_	TokenRange=127:132
20	sofria	sofrer	VERB	VERB	_	19	ccomp	_	TokenRange=133:139
21	ameacas	ameaca	NOUN	NOUN	_	20	obj	_	TokenRange=140:147
22	marido	marido	ADJ	NOUN	_	21	amod	_	TokenRange=148:154
23	entrevista	entrevista	NOUN	NOUN	_	21	appos	_	TokenRange=155:165
24	programa	programa	NOUN	NOUN	_	21	appos	_	TokenRange=166:174
25	rede	rede	NOUN	NOUN	_	24	appos	_	TokenRange=175:179
26	record	record	ADJ	ADJ	_	27	amod	_	TokenRange=180:186
27	andreia	andreio	NOUN	NOUN	_	28	nsubj	_	TokenRange=187:194
28	revelou	revelar	VERB	VERB	_	24	acl:relcl	_	TokenRange=195:202
29	sentava	sentar	VERB	VERB	_	28	parataxis	_	TokenRange=203:210
30	sofa	sofa	NOUN	NOUN	_	29	nsubj	_	TokenRange=211:215
31	falava	falar	VERB	VERB	_	29	parataxis	_	TokenRange=216:222
32	vou	ir	AUX	AUX	_	33	aux	_	TokenRange=223:226
33	acabar	acabar	VERB	VERB	_	31	ccomp	_	TokenRange=227:233
34	22	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=234:236
35	anos	ano	NOUN	NOUN	_	33	nsubj	_	TokenRange=237:241
36	vendaval	vendaval	ADJ	ADJ	_	35	amod	_	TokenRange=242:250
37	continuou	continuar	VERB	VERB	_	29	parataxis	_	TokenRange=251:260
38	programa	programa	NOUN	NOUN	_	37	obj	_	TokenRange=261:269
39	exibido	exibido	ADJ	ADJ	_	38	amod	_	TokenRange=270:277
40	proximo	proximo	ADJ	ADJ	_	41	amod	_	TokenRange=278:285
41	sabado	sabado	NOUN	NOUN	_	38	appos	_	TokenRange=286:292
42	9/7	_	NUM	NUM	NumType=Card	41	nummod	_	TokenRange=293:296
43	separacao	separacao	NOUN	NOUN	_	41	appos	_	TokenRange=297:306
44	casal	casal	NOUN	NOUN	_	41	appos	_	TokenRange=307:312
45	confirmada	confirmar	VERB	VERB	_	38	acl	_	TokenRange=313:323
46	semana	semana	NOUN	NOUN	_	45	nmod	_	TokenRange=324:330
47	passada	passado	ADJ	ADJ	_	46	amod	_	TokenRange=331:338
48	site	site	NOUN	NOUN	_	52	nsubj	_	TokenRange=339:343
49	uol	_	PRON	PRON	_	52	nsubj	_	TokenRange=344:347
50	carlos	_	NOUN	NOUN	_	52	nsubj	_	TokenRange=348:354
51	alberto	alberto	NOUN	NOUN	_	50	flat	_	TokenRange=355:362
52	disse	dizer	VERB	VERB	_	46	acl:relcl	_	TokenRange=363:368
53	mulher	mulher	NOUN	NOUN	_	52	obj	_	TokenRange=369:375
54	abandonou	abandonar	VERB	VERB	_	52	ccomp	_	TokenRange=376:385
55	quadro	quadro	NOUN	NOUN	_	54	obj	_	TokenRange=386:392
56	atuava	atuar	VERB	VERB	_	54	ccomp	_	TokenRange=393:399
57	praca	_	NOUN	NOUN	_	56	obj	_	TokenRange=400:405
58	casal	casal	NOUN	NOUN	_	56	nsubj	_	TokenRange=406:411
59	separou	separar	VERB	VERB	_	52	conj	_	TokenRange=412:419
60	devido	dever	VERB	VERB	_	65	mark	_	TokenRange=420:426
61	divergencias	_	NOUN	NOUN	_	60	fixed	_	TokenRange=427:439
62	profissionais	profissional	NOUN	NOUN	_	59	nsubj	_	TokenRange=440:453
63	pessoais	pessoal	ADJ	ADJ	_	62	amod	_	TokenRange=454:462
64	humorista	humorista	NOUN	NOUN	_	62	amod	_	TokenRange=463:472
65	disse	dizer	VERB	VERB	_	52	conj	_	TokenRange=473:478
66	queria	querer	VERB	VERB	_	65	xcomp	_	TokenRange=479:485
67	morar	morar	VERB	VERB	_	66	xcomp	_	TokenRange=486:491
68	sozinho	só	ADJ	ADJ	_	67	xcomp	_	TokenRange=492:499
69	andreia	andreia	NOUN	NOUN	_	67	obj	_	TokenRange=500:507
70	aceitava	aceitar	VERB	VERB	_	59	ccomp	_	TokenRange=508:516
71	informacao	informacao	NOUN	NOUN	_	70	obj	_	TokenRange=517:527
72	uol	_	DET	DET	_	71	det	_	SpaceAfter=No|TokenRange=528:531

