# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = 5 tweets mostram principal defensora dilma senado tao fiel pensa apos depoimento dilma senado senadora katia abreu primeira discursar katia ficou revoltada impeachment expresidenta defendeu dilma unhas dentes alguns anos mesma katia abreu tao fa pt lideres site implicante feliz materia resolveu resgatar algumas postagens antigas senadora confira
1	5	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:1
2	tweets	_	NOUN	NOUN	_	3	nsubj	_	TokenRange=2:8
3	mostram	mostrar	VERB	VERB	_	0	root	_	TokenRange=9:16
4	principal	principal	ADJ	ADJ	_	5	amod	_	TokenRange=17:26
5	defensora	defensor	NOUN	NOUN	_	3	obj	_	TokenRange=27:36
6	dilma	dilma	ADJ	ADJ	_	5	amod	_	TokenRange=37:42
7	senado	senado	NOUN	NOUN	_	5	appos	_	TokenRange=43:49
8	tao	tao	ADV	NOUN	_	9	advmod	_	TokenRange=50:53
9	fiel	fiel	ADJ	ADJ	_	7	amod	_	TokenRange=54:58
10	pensa	pensar	VERB	VERB	_	3	parataxis	_	TokenRange=59:64
11	apos	_	ADP	ADP	_	12	case	_	TokenRange=65:69
12	depoimento	depoimento	NOUN	NOUN	_	10	nmod	_	TokenRange=70:80
13	dilma	dilma	ADJ	ADJ	_	12	amod	_	TokenRange=81:86
14	senado	senado	NOUN	NOUN	_	12	appos	_	TokenRange=87:93
15	senadora	senador	NOUN	NOUN	_	14	appos	_	TokenRange=94:102
16	katia	_	NOUN	NOUN	_	14	appos	_	TokenRange=103:108
17	abreu	abreu	ADJ	ADJ	_	19	amod	_	TokenRange=109:114
18	primeira	primeiro	ADJ	ADJ	_	19	amod	_	TokenRange=115:123
19	discursar	discursar	NOUN	NOUN	_	21	nsubj	_	TokenRange=124:133
20	katia	_	NOUN	NOUN	_	19	obj	_	TokenRange=134:139
21	ficou	ficar	VERB	VERB	_	3	conj	_	TokenRange=140:145
22	revoltada	revoltado	ADJ	ADJ	_	21	xcomp	_	TokenRange=146:155
23	impeachment	impeachment	NOUN	NOUN	_	25	mark	_	TokenRange=156:167
24	expresidenta	_	NOUN	NOUN	_	25	nsubj	_	TokenRange=168:180
25	defendeu	defender	VERB	VERB	_	21	parataxis	_	TokenRange=181:189
26	dilma	_	NOUN	NOUN	_	25	obj	_	TokenRange=190:195
27	unhas	_	DET	DET	_	30	det	_	TokenRange=196:201
28	dentes	dente	NOUN	NOUN	_	25	nmod	_	TokenRange=202:208
29	alguns	_	DET	DET	_	30	det	_	TokenRange=209:215
30	anos	ano	NOUN	NOUN	_	25	nmod	_	TokenRange=216:220
31	mesma	mesmo	ADJ	ADJ	_	30	amod	_	TokenRange=221:226
32	katia	katia	NOUN	NOUN	_	25	nsubj	_	TokenRange=227:232
33	abreu	_	NOUN	NOUN	_	32	flat	_	TokenRange=233:238
34	tao	_	NOUN	NOUN	_	35	appos	_	TokenRange=239:242
35	fa	_	NOUN	NOUN	_	32	appos	_	TokenRange=243:245
36	pt	_	NOUN	X	_	35	flat	_	TokenRange=246:248
37	lideres	_	NOUN	NOUN	_	34	flat	_	TokenRange=249:256
38	site	site	NOUN	NOUN	_	42	nsubj	_	TokenRange=257:261
39	implicante	implicante	ADJ	ADJ	_	38	amod	_	TokenRange=262:272
40	feliz	feliz	ADJ	ADJ	_	41	amod	_	TokenRange=273:278
41	materia	materia	NOUN	NOUN	_	42	nsubj	_	TokenRange=279:286
42	resolveu	resolver	VERB	VERB	_	25	parataxis	_	TokenRange=287:295
43	resgatar	resgatar	VERB	VERB	_	42	xcomp	_	TokenRange=296:304
44	algumas	_	DET	DET	_	45	det	_	TokenRange=305:312
45	postagens	postagem	NOUN	NOUN	_	43	obj	_	TokenRange=313:322
46	antigas	antigo	ADJ	ADJ	_	45	amod	_	TokenRange=323:330
47	senadora	senador	NOUN	NOUN	_	48	nsubj	_	TokenRange=331:339
48	confira	conferir	VERB	VERB	_	42	parataxis	_	SpaceAfter=No|TokenRange=340:347

