# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quanto custa pedido impeachment autora parecer declara recebeu r 45 mil psdb parecia apenas especulacao midia agora confirmada autoras pedido impeachment tramita senado federal psdb construiu pedido impeachment oposicao governo temer afirma sim psdb contratou fez pedido ainda relatando processo golpe afirmou senadora vanessa grazziotin jurista janaina paschoal admitiu recebido r 45 mil partido tucano elaborar junto miguel reale junior parecer sobre afastamento presidenta contratada psdb maio propusemos processo setembro recebi r 45 mil fazer parecer disse advogada apos confrontada senadora vanessa grazziotin anteriormente janaina afirmava pedido sido feito base reivindicacoes cidadaos indignados
1	quanto	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:6
2	custa	custar	VERB	VERB	_	7	advcl	_	TokenRange=7:12
3	pedido	pedido	NOUN	NOUN	_	2	obj	_	TokenRange=13:19
4	impeachment	impeachment	NOUN	NOUN	_	3	flat	_	TokenRange=20:31
5	autora	autor	NOUN	NOUN	_	7	nsubj	_	TokenRange=32:38
6	parecer	parecer	NOUN	NOUN	_	5	flat	_	TokenRange=39:46
7	declara	declarar	VERB	VERB	_	0	root	_	TokenRange=47:54
8	recebeu	receber	VERB	VERB	_	7	ccomp	_	TokenRange=55:62
9	r	r	NOUN	NOUN	_	8	obj	_	TokenRange=63:64
10	45	_	NUM	NUM	NumType=Card	11	nummod	_	TokenRange=65:67
11	mil	_	NUM	NUM	NumType=Card	9	nummod	_	TokenRange=68:71
12	psdb	_	NOUN	NOUN	_	13	nsubj	_	TokenRange=72:76
13	parecia	parecer	VERB	VERB	_	8	ccomp	_	TokenRange=77:84
14	apenas	apenas	ADV	ADV	_	15	advmod	_	TokenRange=85:91
15	especulacao	especulacao	ADJ	ADJ	_	13	xcomp	_	TokenRange=92:103
16	midia	_	NOUN	NOUN	_	13	nsubj	_	TokenRange=104:109
17	agora	agora	ADV	ADV	_	18	advmod	_	TokenRange=110:115
18	confirmada	confirmar	VERB	VERB	_	16	acl	_	TokenRange=116:126
19	autoras	autor	NOUN	NOUN	_	18	nsubj	_	TokenRange=127:134
20	pedido	pedido	NOUN	NOUN	_	19	appos	_	TokenRange=135:141
21	impeachment	impeachment	NOUN	NOUN	_	20	flat	_	TokenRange=142:153
22	tramita	tramitar	VERB	VERB	_	20	acl:relcl	_	TokenRange=154:161
23	senado	senado	NOUN	NOUN	_	22	obj	_	TokenRange=162:168
24	federal	federal	ADJ	ADJ	_	23	amod	_	TokenRange=169:176
25	psdb	_	NOUN	NOUN	_	26	nsubj	_	TokenRange=177:181
26	construiu	construir	VERB	VERB	_	22	parataxis	_	TokenRange=182:191
27	pedido	pedido	NOUN	NOUN	_	26	obj	_	TokenRange=192:198
28	impeachment	impeachment	NOUN	NOUN	_	27	flat	_	TokenRange=199:210
29	oposicao	_	ADJ	ADJ	_	30	amod	_	TokenRange=211:219
30	governo	governo	NOUN	NOUN	_	32	nsubj	_	TokenRange=220:227
31	temer	temer	NOUN	NOUN	_	30	flat	_	TokenRange=228:233
32	afirma	afirmar	VERB	VERB	_	26	parataxis	_	TokenRange=234:240
33	sim	sim	ADV	ADV	_	32	advmod	_	TokenRange=241:244
34	psdb	_	NOUN	NOUN	_	32	nsubj	_	TokenRange=245:249
35	contratou	contratar	VERB	VERB	_	32	ccomp	_	TokenRange=250:259
36	fez	fazer	VERB	VERB	_	35	xcomp	_	TokenRange=260:263
37	pedido	pedido	NOUN	NOUN	_	36	obj	_	TokenRange=264:270
38	ainda	ainda	ADV	ADV	_	39	advmod	_	TokenRange=271:276
39	relatando	relatar	VERB	VERB	_	30	acl	_	TokenRange=277:286
40	processo	processo	NOUN	NOUN	_	39	obj	_	TokenRange=287:295
41	golpe	golpe	NOUN	NOUN	_	40	amod	_	TokenRange=296:301
42	afirmou	afirmar	VERB	VERB	_	32	parataxis	_	TokenRange=302:309
43	senadora	senador	NOUN	NOUN	_	42	nsubj	_	TokenRange=310:318
44	vanessa	_	NOUN	NOUN	_	43	appos	_	TokenRange=319:326
45	grazziotin	_	ADJ	NOUN	_	44	flat	_	TokenRange=327:337
46	jurista	jurista	NOUN	NOUN	_	44	amod	_	TokenRange=338:345
47	janaina	janaina	NOUN	NOUN	_	44	appos	_	TokenRange=346:353
48	paschoal	paschoal	ADJ	ADJ	_	47	amod	_	TokenRange=354:362
49	admitiu	admitir	VERB	VERB	_	42	ccomp	_	TokenRange=363:370
50	recebido	receber	VERB	VERB	_	49	xcomp	_	TokenRange=371:379
51	r	r	NOUN	NOUN	_	50	obj	_	TokenRange=380:381
52	45	_	NUM	NUM	NumType=Card	53	nummod	_	TokenRange=382:384
53	mil	_	NUM	NUM	NumType=Card	54	nummod	_	TokenRange=385:388
54	partido	partido	NOUN	NOUN	_	50	obj	_	TokenRange=389:396
55	tucano	tucano	ADJ	ADJ	_	54	amod	_	TokenRange=397:403
56	elaborar	elaborar	VERB	VERB	_	54	acl:inf	_	TokenRange=404:412
57	junto	junto	ADV	ADV	_	56	advmod	_	TokenRange=413:418
58	miguel	miguel	NOUN	NOUN	_	56	obj	_	TokenRange=419:425
59	reale	_	NOUN	NOUN	_	58	flat	_	TokenRange=426:431
60	junior	junior	ADJ	ADJ	_	58	amod	_	TokenRange=432:438
61	parecer	parecer	NOUN	NOUN	_	56	obj	_	TokenRange=439:446
62	sobre	_	ADP	ADP	_	63	case	_	TokenRange=447:452
63	afastamento	afastamento	NOUN	NOUN	_	61	nmod	_	TokenRange=453:464
64	presidenta	_	NOUN	NOUN	_	63	amod	_	TokenRange=465:475
65	contratada	contratar	ADJ	ADJ	_	64	amod	_	TokenRange=476:486
66	psdb	_	NOUN	NOUN	_	64	appos	_	TokenRange=487:491
67	maio	_	PROPN	PNOUN	_	66	flat	_	TokenRange=492:496
