# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pats empresas oferecem vagas emprego 10 cidades regiao ribeirao preto vagas analista contabil junior consultor financeiro pintor
1	pats	_	DET	DET	_	2	det	_	TokenRange=0:4
2	empresas	empresa	NOUN	NOUN	_	3	nsubj	_	TokenRange=5:13
3	oferecem	oferecer	VERB	VERB	_	0	root	_	TokenRange=14:22
4	vagas	vaga	NOUN	NOUN	_	3	obj	_	TokenRange=23:28
5	emprego	emprego	NOUN	NOUN	_	4	appos	_	TokenRange=29:36
6	10	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=37:39
7	cidades	cidade	NOUN	NOUN	_	4	appos	_	TokenRange=40:47
8	regiao	regiao	NOUN	NOUN	_	7	appos	_	TokenRange=48:54
9	ribeirao	ribeirao	NOUN	NOUN	_	8	appos	_	TokenRange=55:63
10	preto	preto	ADJ	ADJ	_	11	amod	_	TokenRange=64:69
11	vagas	vaga	NOUN	NOUN	_	3	parataxis	_	TokenRange=70:75
12	analista	analista	ADJ	ADJ	_	11	amod	_	TokenRange=76:84
13	contabil	contabil	NOUN	NOUN	_	11	appos	_	TokenRange=85:93
14	junior	_	ADJ	ADJ	_	15	amod	_	TokenRange=94:100
15	consultor	consultor	NOUN	NOUN	_	11	appos	_	TokenRange=101:110
16	financeiro	financeiro	ADJ	ADJ	_	15	amod	_	TokenRange=111:121
17	pintor	pintor	NOUN	NOUN	_	15	amod	_	SpaceAfter=No|TokenRange=122:128

