# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua afirmam negociacoes coreia norte ainda longe chefe diplomacia americana reduziu importancia declaracoes lider nortecoreano primeira etapa discussoes sobre discussoes ver condicoes corretas antes pensar negociacoes destacou secretario estado americano rex tillerson afirmou nesta quintafeira 8 adis abeba estados unidos coreia norte ainda longe negociacoes diretas programa nuclear pyongyang diz respeito discussoes diretas estados unidos coreia norte ainda longe negociacoes devemos lucidos realistas sobre ponto disse tillerson capital etiopia primeira etapa viagem africa presidente trump indicou sinais potencialmente positivos procedentes coreia norte dialogo coreia sul completou chefe diplomacia americana reduziu importancia declaracoes primeira etapa discussoes sobre discussoes ver condicoes corretas antes comecar pensar negociacoes destacou tillerson presidente donald trump celebrou sinais abertura coreia norte respeito possibilidade dialogo estados unidos pediu prudencia reafirmou todas opcoes sobre mesa lideres coreia norte coreia sul concordaram reuniao cupula abril zona desmilitarizada dmz acordo seul governo
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
2	afirmam	afirmar	VERB	VERB	_	0	root	_	TokenRange=4:11
3	negociacoes	negociacoe	NOUN	NOUN	_	2	obj	_	TokenRange=12:23
4	coreia	coreia	NOUN	NOUN	_	2	obj	_	TokenRange=24:30
5	norte	norte	ADJ	ADJ	_	4	amod	_	TokenRange=31:36
6	ainda	ainda	ADV	ADV	_	7	advmod	_	TokenRange=37:42
7	longe	longe	ADV	ADV	_	21	advmod	_	TokenRange=43:48
8	chefe	chefe	NOUN	NOUN	_	21	nsubj	_	TokenRange=49:54
9	diplomacia	diplomacia	NOUN	NOUN	_	8	flat	_	TokenRange=55:65
10	americana	americano	ADJ	ADJ	_	9	amod	_	TokenRange=66:75
11	reduziu	reduzir	VERB	VERB	_	2	parataxis	_	TokenRange=76:83
12	importancia	importancia	NOUN	NOUN	_	11	obj	_	TokenRange=84:95
13	declaracoes	_	NOUN	NOUN	_	12	amod	_	TokenRange=96:107
14	lider	lider	NOUN	NOUN	_	11	nsubj	_	TokenRange=108:113
15	nortecoreano	nortecoreano	ADJ	ADJ	_	14	amod	_	TokenRange=114:126
16	primeira	primeiro	ADJ	ADJ	_	17	amod	_	TokenRange=127:135
17	etapa	etapa	NOUN	NOUN	_	14	appos	_	TokenRange=136:141
18	discussoes	discussoe	NOUN	NOUN	_	17	appos	_	TokenRange=142:152
19	sobre	_	ADP	ADP	_	20	case	_	TokenRange=153:158
20	discussoes	discussoe	NOUN	NOUN	_	18	nmod	_	TokenRange=159:169
21	ver	ver	VERB	VERB	_	18	nmod	_	TokenRange=170:173
22	condicoes	_	NOUN	NOUN	_	21	obj	_	TokenRange=174:183
23	corretas	correto	ADJ	ADJ	_	22	amod	_	TokenRange=184:192
24	antes	antes	ADV	ADV	_	25	mark	_	TokenRange=193:198
25	pensar	pensar	VERB	VERB	_	21	advcl	_	TokenRange=199:205
26	negociacoes	negociacoe	NOUN	NOUN	_	25	obj	_	TokenRange=206:217
27	destacou	destacar	VERB	VERB	_	2	parataxis	_	TokenRange=218:226
28	secretario	_	NOUN	NOUN	_	27	nsubj	_	TokenRange=227:237
29	estado	estado	NOUN	NOUN	_	28	flat	_	TokenRange=238:244
30	americano	americano	ADJ	ADJ	_	28	amod	_	TokenRange=245:254
31	rex	_	NOUN	NOUN	_	28	appos	_	TokenRange=255:258
32	tillerson	_	NOUN	NOUN	_	31	flat	_	TokenRange=259:268
33	afirmou	afirmar	VERB	VERB	_	2	parataxis	_	TokenRange=269:276
34	nesta	_	ADP	ADP	_	35	case	_	TokenRange=277:282
35	quintafeira	quintafeira	NOUN	NOUN	_	33	nmod	_	TokenRange=283:294
36	8	_	NUM	NUM	NumType=Card	35	nmod	_	TokenRange=295:296
37	adis	_	NOUN	NOUN	_	66	nmod	_	TokenRange=297:301
38	abeba	_	VERB	VERB	_	35	nmod	_	TokenRange=302:307
39	estados	estado	NOUN	NOUN	_	33	nsubj	_	TokenRange=308:315
40	unidos	unido	ADJ	ADJ	_	39	amod	_	TokenRange=316:322
41	coreia	coreia	NOUN	NOUN	_	50	nsubj	_	TokenRange=323:329
42	norte	norte	ADJ	ADJ	_	41	amod	_	TokenRange=330:335
43	ainda	ainda	ADV	ADV	_	44	advmod	_	TokenRange=336:341
44	longe	longe	ADV	ADV	_	45	advmod	_	TokenRange=342:347
45	negociacoes	negociacoe	NOUN	NOUN	_	41	appos	_	TokenRange=348:359
46	diretas	direto	ADJ	ADJ	_	47	amod	_	TokenRange=360:367
47	programa	programa	NOUN	NOUN	_	41	appos	_	TokenRange=368:376
48	nuclear	nuclear	ADJ	ADJ	_	47	amod	_	TokenRange=377:384
49	pyongyang	pyongyang	ADJ	ADJ	_	47	amod	_	TokenRange=385:394
50	diz	dizer	VERB	VERB	_	33	parataxis	_	TokenRange=395:398
51	respeito	respeito	NOUN	NOUN	_	50	obj	_	TokenRange=399:407
52	discussoes	discussoe	NOUN	NOUN	_	51	appos	_	TokenRange=408:418
53	diretas	direto	ADJ	ADJ	_	52	amod	_	TokenRange=419:426
54	estados	estado	NOUN	NOUN	_	33	nsubj	_	TokenRange=427:434
55	unidos	unido	ADJ	ADJ	_	39	amod	_	TokenRange=435:441
56	coreia	coreia	NOUN	NOUN	_	39	appos	_	TokenRange=442:448
57	norte	norte	ADJ	ADJ	_	56	amod	_	TokenRange=449:454
58	ainda	ainda	ADV	ADV	_	59	advmod	_	TokenRange=455:460
59	longe	longe	ADV	ADV	_	45	advmod	_	TokenRange=461:466
60	negociacoes	negociacoe	NOUN	NOUN	_	56	appos	_	TokenRange=467:478
61	devemos	dever	VERB	AUX	_	33	ccomp	_	TokenRange=479:486
62	lucidos	_	ADJ	ADJ	_	33	ccomp	_	TokenRange=487:494
63	realistas	realista	NOUN	NOUN	_	62	obj	_	TokenRange=495:504
64	sobre	_	ADP	ADP	_	65	case	_	TokenRange=505:510
65	ponto	ponto	NOUN	NOUN	_	63	nmod	_	TokenRange=511:516
66	disse	dizer	VERB	VERB	_	35	acl:relcl	_	TokenRange=517:522
67	tillerson	_	NOUN	NOUN	_	33	nsubj	_	TokenRange=523:532
68	capital	capital	NOUN	NOUN	_	67	appos	_	TokenRange=533:540
69	etiopia	etiopia	ADJ	ADJ	_	67	amod	_	TokenRange=541:548
70	primeira	primeiro	ADJ	ADJ	_	71	amod	_	TokenRange=549:557
71	etapa	etapa	NOUN	NOUN	_	33	nsubj	_	TokenRange=558:563
72	viagem	viagem	NOUN	NOUN	_	67	appos	_	TokenRange=564:570
73	africa	africo	ADJ	ADJ	_	72	amod	_	TokenRange=571:577
74	presidente	presidente	NOUN	NOUN	_	86	nsubj	_	TokenRange=578:588
75	trump	_	ADJ	NOUN	_	74	flat	_	TokenRange=589:594
76	indicou	indicar	VERB	VERB	_	39	acl:relcl	_	TokenRange=595:602
77	sinais	_	NOUN	NOUN	_	132	obj	_	TokenRange=603:609
78	potencialmente	potencialmente	ADV	ADV	_	79	advmod	_	TokenRange=610:624
79	positivos	positivo	ADJ	ADJ	_	77	amod	_	TokenRange=625:634
80	procedentes	procedente	ADJ	ADJ	_	39	amod	_	TokenRange=635:646
81	coreia	coreia	NOUN	NOUN	_	62	nsubj	_	TokenRange=647:653
82	norte	norte	ADJ	ADJ	_	81	amod	_	TokenRange=654:659
83	dialogo	dialogo	NOUN	NOUN	_	81	amod	_	TokenRange=660:667
84	coreia	coreia	NOUN	NOUN	_	81	appos	_	TokenRange=668:674
85	sul	sul	ADJ	ADJ	_	84	amod	_	TokenRange=675:678
86	completou	completar	VERB	VERB	_	39	acl:relcl	_	TokenRange=679:688
87	chefe	chefe	NOUN	NOUN	_	86	obj	_	TokenRange=689:694
