# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = algo interessa diz oprah sobre concorrer presidencia eua 2020 discurso oprah globo ouro gerou especulacoes ambicoes casa branca oprah winfrey apresentadora tv atriz empresaria afirmou interesse candidatar presidencia estados unidos 2020 declaracoes dadas entrevista revista instyle publicada nesta quintafeira 25 apos discurso oprah durante premiacao globo ouro surgiram especulacoes pedidos concorresse oprah conhecida milhoes apenas primeiro nome alcancou fama apresentadora programa entrevistas usou construir imperio midiatico vai publicacao revistas producao filmes conteudo televisivo nascida familia pobre oprah hoje umas mulheres ricas mundo anteriormente companheiro oprah stedman graham disse los angeles times apresentadora iria concorrer presidencia presidente eua donald trump fez declaracoes respeito afirmou iria derrotala possivel disputa 2020 1964 pequena garota sentada piso linoleo casa mae milwaukee assistindo anne bancroft apresentar oscar melhor ator 36 edicao
1	algo	_	PRON	PRON	_	2	det	_	TokenRange=0:4
2	interessa	interessa	NOUN	NOUN	_	3	nsubj	_	TokenRange=5:14
3	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=15:18
4	oprah	_	NOUN	NOUN	_	3	obj	_	TokenRange=19:24
5	sobre	_	ADP	ADP	_	6	mark	_	TokenRange=25:30
6	concorrer	concorrer	VERB	VERB	_	3	nmod	_	TokenRange=31:40
7	presidencia	presidencia	NOUN	NOUN	_	6	obj	_	TokenRange=41:52
8	eua	_	DET	DET	_	7	det	_	TokenRange=53:56
9	2020	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=57:61
10	discurso	discurso	NOUN	NOUN	_	6	obj	_	TokenRange=62:70
11	oprah	_	ADJ	ADJ	_	10	amod	_	TokenRange=71:76
12	globo	globo	NOUN	NOUN	_	10	appos	_	TokenRange=77:82
13	ouro	ouro	NOUN	NOUN	_	12	amod	_	TokenRange=83:87
14	gerou	gerar	VERB	VERB	_	10	acl:relcl	_	TokenRange=88:93
15	especulacoes	especulacoe	NOUN	NOUN	_	14	obj	_	TokenRange=94:106
16	ambicoes	_	NOUN	NOUN	_	15	amod	_	TokenRange=107:115
17	casa	casa	NOUN	NOUN	_	15	appos	_	TokenRange=116:120
18	branca	branco	ADJ	ADJ	_	17	amod	_	TokenRange=121:127
