# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = maio deste ano alunos 8 ano ensino fundamental ii oswald fizeram viagem estudo meio mariana minas gerais analisar perto impactos causados rompimento barragem mineradora samarco reportagem abaixo faz parte iniciativa correspondentesestudodomeio parceria estudantes coordenacao pedagogica equipe comunicacao escola confira texto andre banvolgyi aluno 8 selecao legendas fotos maya matta lopes natalia zabotto udiloff alunas 8 laura nassar coordenadora pedagogica edicao laura nassar coordenadora pedagogica priscila kesselring jornalista admitir ansiosos ir paracatu primeiros
1	maio	_	PROPN	PNOUN	_	28	nmod	_	TokenRange=0:4
2	deste	_	ADP	ADP	_	3	case	_	TokenRange=5:10
3	ano	ano	NOUN	NOUN	_	1	nmod	_	TokenRange=11:14
4	alunos	aluno	NOUN	NOUN	_	1	appos	_	TokenRange=15:21
5	8	_	NUM	NUM	NumType=Card	6	nummod	_	TokenRange=22:23
6	ano	ano	NOUN	NOUN	_	4	appos	_	TokenRange=24:27
7	ensino	ensino	NOUN	NOUN	_	4	appos	_	TokenRange=28:34
8	fundamental	fundamental	ADJ	ADJ	_	7	amod	_	TokenRange=35:46
9	ii	_	NUM	NUM	NumType=Card	7	appos	_	TokenRange=47:49
10	oswald	_	NOUN	NOUN	_	7	appos	_	TokenRange=50:56
11	fizeram	fazer	VERB	VERB	_	28	parataxis	_	TokenRange=57:64
12	viagem	viagem	NOUN	NOUN	_	11	obj	_	TokenRange=65:71
13	estudo	estudo	NOUN	NOUN	_	12	appos	_	TokenRange=72:78
14	meio	meio	NOUN	NOUN	_	12	appos	_	TokenRange=79:83
15	mariana	_	ADJ	ADJ	_	14	amod	_	TokenRange=84:91
16	minas	mina	NOUN	NOUN	_	11	appos	_	TokenRange=92:97
17	gerais	geral	ADJ	ADJ	_	16	amod	_	TokenRange=98:104
18	analisar	analisar	VERB	VERB	_	11	parataxis	_	TokenRange=105:113
19	perto	perto	ADV	ADV	_	18	advmod	_	TokenRange=114:119
20	impactos	impacto	NOUN	NOUN	_	18	obj	_	TokenRange=120:128
21	causados	causar	VERB	VERB	_	20	acl	_	TokenRange=129:137
22	rompimento	rompimento	NOUN	NOUN	_	21	obj	_	TokenRange=138:148
