# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tse validade depoimentos odebrecht domina discussoes manha ponto central depoimentos validos prova parte ministros considera podem incluidos processo porque dados acao apresentada ministros tribunal superior eleitoral tse dedicaram parte manha sessao desta quintafeira 8 julgamento acao pede cassacao chapa dilmatemer discussao sobre validade incorporacao processo depoimentos executivos empreiteira odebrecht longo quase tres horas meia ministros tse debateram conteudo depoimentos executivos construtora odebrecht deveria excluido julgamento informacoes empreiteira embasaram parte voto relator acao ministro herman benjamin parte ministros argumenta tribunal pode considerar prova porque segundo constavam peticao inicial depoimentos dados relator
1	tse	_	DET	DET	_	2	det	_	TokenRange=0:3
2	validade	validade	NOUN	NOUN	_	17	nsubj	_	TokenRange=4:12
3	depoimentos	depoimento	NOUN	NOUN	_	2	flat	_	TokenRange=13:24
4	odebrecht	_	NOUN	NOUN	_	2	appos	_	TokenRange=25:34
5	domina	dominar	VERB	VERB	_	2	acl:relcl	_	TokenRange=35:41
6	discussoes	discussoe	NOUN	NOUN	_	5	obj	_	TokenRange=42:52
7	manha	manha	NOUN	NOUN	_	8	amod	_	TokenRange=53:58
8	ponto	ponto	NOUN	NOUN	_	5	nmod	_	TokenRange=59:64
9	central	central	ADJ	ADJ	_	8	amod	_	TokenRange=65:72
10	depoimentos	depoimento	NOUN	NOUN	_	5	obj	_	TokenRange=73:84
11	validos	valido	ADJ	ADJ	_	10	amod	_	TokenRange=85:92
12	prova	prova	NOUN	NOUN	_	13	appos	_	TokenRange=93:98
13	parte	parte	NOUN	NOUN	_	10	appos	_	TokenRange=99:104
14	ministros	ministro	NOUN	NOUN	_	13	flat	_	TokenRange=105:114
15	considera	considerar	VERB	VERB	_	0	root	_	TokenRange=115:124
16	podem	_	AUX	AUX	_	17	aux	_	TokenRange=125:130
17	incluidos	incluir	VERB	ADJ	_	15	xcomp	_	TokenRange=131:140
18	processo	processo	NOUN	NOUN	_	17	obj	_	TokenRange=141:149
19	porque	_	CCONJ	CONJ	_	28	mark	_	TokenRange=150:156
20	dados	dar	NOUN	NOUN	_	28	advcl	_	TokenRange=157:162
21	acao	acao	NOUN	NOUN	_	20	appos	_	TokenRange=163:167
22	apresentada	apresentar	VERB	VERB	_	21	acl	_	TokenRange=168:179
23	ministros	ministro	NOUN	NOUN	_	22	nsubj	_	TokenRange=180:189
24	tribunal	tribunal	NOUN	NOUN	_	23	appos	_	TokenRange=190:198
25	superior	superior	ADJ	ADJ	_	24	amod	_	TokenRange=199:207
26	eleitoral	eleitoral	ADJ	ADJ	_	24	amod	_	TokenRange=208:217
27	tse	_	PRON	PRON	_	28	nsubj	_	TokenRange=218:221
28	dedicaram	dedicar	VERB	VERB	_	17	advcl	_	TokenRange=222:231
29	parte	parte	NOUN	NOUN	_	28	obj	_	TokenRange=232:237
30	manha	manha	NOUN	NOUN	_	29	flat	_	TokenRange=238:243
31	sessao	sessao	NOUN	NOUN	_	28	obj	_	TokenRange=244:250
32	desta	_	ADP	ADP	_	33	case	_	TokenRange=251:256
33	quintafeira	quintafeira	NOUN	NOUN	_	31	nmod	_	TokenRange=257:268
34	8	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=269:270
35	julgamento	julgamento	NOUN	NOUN	_	28	nsubj	_	TokenRange=271:281
36	acao	acao	NOUN	NOUN	_	35	amod	_	TokenRange=282:286
37	pede	pedir	VERB	VERB	_	28	parataxis	_	TokenRange=287:291
38	cassacao	cassacao	NOUN	NOUN	_	37	obj	_	TokenRange=292:300
39	chapa	chapa	NOUN	NOUN	_	38	appos	_	TokenRange=301:306
40	dilmatemer	dilmatemer	NOUN	NOUN	_	39	flat	_	TokenRange=307:317
41	discussao	discussao	NOUN	NOUN	_	37	obj	_	TokenRange=318:327
42	sobre	_	ADP	ADP	_	43	case	_	TokenRange=328:333
43	validade	validade	NOUN	NOUN	_	41	nmod	_	TokenRange=334:342
44	incorporacao	incorporacao	ADJ	ADJ	_	43	amod	_	TokenRange=343:355
45	processo	processo	NOUN	NOUN	_	37	nsubj	_	TokenRange=356:364
46	depoimentos	depoimento	NOUN	NOUN	_	37	nsubj	_	TokenRange=365:376
47	executivos	executivo	ADJ	ADJ	_	46	amod	_	TokenRange=377:387
48	empreiteira	empreiteiro	NOUN	NOUN	_	46	amod	_	TokenRange=388:399
49	odebrecht	_	NOUN	NOUN	_	46	appos	_	TokenRange=400:409
50	longo	longo	ADJ	ADJ	_	53	amod	_	TokenRange=410:415
51	quase	quase	ADV	ADV	_	52	advmod	_	TokenRange=416:421
52	tres	_	NUM	NUM	NumType=Card	53	nummod	_	TokenRange=422:426
53	horas	hora	NOUN	NOUN	_	57	nmod	_	TokenRange=427:432
