# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda acusacoes contra expresidente lula diz defesa petista vai prestar primeiro depoimento condicao reu lava jato presenca juiz sergio moro nesta quartafeira 10 expresidente luiz inacio lula silva pt vai prestar depoimento nesta quartafeira 10 juiz sergio moro processos responde lava jato primeira vez petista interrogado presenca moro condicao reu operacao audiencia processo sobre triplex guaruja sp ministerio publico federal mpf afirma lula receberia vantagem indevida empreiteira oas empresa feito reformas neste imovel receber familia lula troca expresidente atuaria favor oas defesa expresidente nega acusacoes
1	entenda	entender	VERB	VERB	_	6	csubj	_	TokenRange=0:7
2	acusacoes	acusacoe	NOUN	NOUN	_	1	obj	_	TokenRange=8:17
3	contra	_	ADP	ADP	_	4	case	_	TokenRange=18:24
4	expresidente	expresidente	NOUN	NOUN	_	2	nmod	_	TokenRange=25:37
5	lula	lula	ADJ	ADJ	_	4	flat	_	TokenRange=38:42
6	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=43:46
7	defesa	_	NOUN	NOUN	_	6	obj	_	TokenRange=47:53
8	petista	petista	ADJ	ADJ	_	7	amod	_	TokenRange=54:61
9	vai	ir	AUX	AUX	_	10	aux	_	TokenRange=62:65
10	prestar	prestar	VERB	VERB	_	6	ccomp	_	TokenRange=66:73
11	primeiro	primeiro	ADJ	ADJ	_	12	amod	_	TokenRange=74:82
12	depoimento	depoimento	NOUN	NOUN	_	10	obj	_	TokenRange=83:93
13	condicao	condicao	NOUN	NOUN	_	12	appos	_	TokenRange=94:102
14	reu	reu	ADJ	ADJ	_	13	amod	_	TokenRange=103:106
15	lava	lavar	VERB	VERB	_	10	conj	_	TokenRange=107:111
16	jato	jato	NOUN	NOUN	_	15	advmod	_	TokenRange=112:116
17	presenca	presenca	NOUN	NOUN	_	18	amod	_	TokenRange=117:125
18	juiz	juiz	NOUN	NOUN	_	15	obj	_	TokenRange=126:130
19	sergio	sergio	ADJ	ADJ	_	18	amod	_	TokenRange=131:137
20	moro	moro	NOUN	NOUN	_	18	flat	_	TokenRange=138:142
21	nesta	_	ADP	ADP	_	22	case	_	TokenRange=143:148
22	quartafeira	quartafeira	NOUN	NOUN	_	31	nmod	_	TokenRange=149:160
23	10	_	NUM	NUM	NumType=Card	24	nummod	_	TokenRange=161:163
24	expresidente	expresidente	NOUN	NOUN	_	31	nsubj	_	TokenRange=164:176
25	luiz	luiz	ADJ	ADJ	_	24	appos	_	TokenRange=177:181
26	inacio	_	NOUN	NOUN	_	24	appos	_	TokenRange=182:188
27	lula	_	NOUN	NOUN	_	24	appos	_	TokenRange=189:193
28	silva	silva	NOUN	NOUN	_	25	flat	_	TokenRange=194:199
29	pt	_	PROPN	PNOUN	_	31	nsubj	_	TokenRange=200:202
30	vai	ir	AUX	AUX	_	31	aux	_	TokenRange=203:206
31	prestar	prestar	VERB	VERB	_	6	conj	_	TokenRange=207:214
32	depoimento	depoimento	NOUN	NOUN	_	31	obj	_	TokenRange=215:225
33	nesta	_	ADP	ADP	_	34	case	_	TokenRange=226:231
34	quartafeira	quartafeira	NOUN	NOUN	_	31	nmod	_	TokenRange=232:243
35	10	_	NUM	NUM	NumType=Card	36	nummod	_	TokenRange=244:246
