# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = s doleiros acusados lavar dinheiro roubado quadrilha exgovernador sergio cabral vinicius claret conhecido juca bala claudio fernando barbosa tony chegaram rio janeiro tarde desta quintafeira 28 vindos uruguai chegaram voo comercial pousou aeroporto galeao 13h40 extradicao concedida governo uruguaio semana passada escoltados agentes policia federal doleiros chegaram volta 14h45 instituto medico legal zona portuaria juca bala tony fizeram exames seguiram cadeia publica benfica zona
1	s	_	DET	DET	_	2	det	_	TokenRange=0:1
2	doleiros	doleiro	NOUN	NOUN	_	20	nsubj	_	TokenRange=2:10
3	acusados	acusar	VERB	VERB	_	2	acl	_	TokenRange=11:19
4	lavar	lavar	VERB	VERB	_	3	xcomp	_	TokenRange=20:25
5	dinheiro	dinheiro	NOUN	NOUN	_	4	obj	_	TokenRange=26:34
6	roubado	roubar	VERB	VERB	_	2	acl	_	TokenRange=35:42
7	quadrilha	quadrilha	NOUN	NOUN	_	4	obj	_	TokenRange=43:52
8	exgovernador	exgovernador	NOUN	NOUN	_	7	amod	_	TokenRange=53:65
9	sergio	sergio	NOUN	NOUN	_	7	appos	_	TokenRange=66:72
10	cabral	cabral	ADJ	ADJ	_	11	amod	_	TokenRange=73:79
11	vinicius	_	NOUN	NOUN	_	2	appos	_	TokenRange=80:88
12	claret	_	NOUN	NOUN	_	11	flat	_	TokenRange=89:95
13	conhecido	conhecido	ADJ	ADJ	_	11	amod	_	TokenRange=96:105
14	juca	juca	NOUN	NOUN	_	11	appos	_	TokenRange=106:110
15	bala	bala	NOUN	NOUN	_	14	flat	_	TokenRange=111:115
16	claudio	claudio	NOUN	NOUN	_	14	appos	_	TokenRange=116:123
17	fernando	fernando	NOUN	NOUN	_	14	appos	_	TokenRange=124:132
18	barbosa	barboso	ADJ	ADJ	_	17	flat	_	TokenRange=133:140
19	tony	_	PROPN	PNOUN	_	17	appos	_	TokenRange=141:145
20	chegaram	chegar	VERB	VERB	_	0	root	_	TokenRange=146:154
21	rio	rio	NOUN	NOUN	_	20	nmod	_	TokenRange=155:158
22	janeiro	_	PROPN	PNOUN	_	21	appos	_	TokenRange=159:166
23	tarde	tarde	NOUN	NOUN	_	20	advmod	_	TokenRange=167:172
24	desta	_	ADP	ADP	_	25	case	_	TokenRange=173:178
25	quintafeira	quintafeira	NOUN	NOUN	_	23	nmod	_	TokenRange=179:190
