# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sp outras 10 cidades mundo podem ficar agua cidade cabo torneiras cidade sulafricana devem secar maio causa grave seca cada quatro grandes cidades podera problemas hidricos futuro cidade cabo enfrenta situacao nada invejavel primeira grande cidade moderna ficar agua potavel entanto apenas exemplo extremo problema sobre especialistas vem alertando tempo escassez agua apesar cobrir 70 superficie planeta agua doce especialmente potavel tao abundante assim responde 3 1 bilhao pessoas enfrentam problemas acesso 27 bilhoes falta menos mes ano pesquisa 500 maiores cidades mundo publicada 2014 estima cada quatro situacao estresse hidrico define organizacao nacoes unidas onu abastecimento anual cai abaixo 17 mil m pessoa acordo projecoes chanceladas onu demanda agua doce vai superar abastecimento 40 2030 gracas combinacao mudancas climaticas acao humana crescimento populacional surpresa portanto situacao cidade cabo apenas ponta iceberg todos continentes grandes centros urbanos enfrentam escassez correm contra tempo busca solucao conheca seguir outras 11 cidades podem ficar agua capital paulista passou situacao dramatica 2014 2015 principal conjunto reservatorios sistema cantareira atingiu menor nivel historia sabesp companhia paulista abastecimento passou puxar agua ficava abaixo canos captacao chamado volume morto
1	sp	_	CCONJ	CONJ	_	7	advmod	_	TokenRange=0:2
2	outras	_	DET	DET	_	4	det	_	TokenRange=3:9
3	10	_	NUM	NUM	NumType=Card	4	nummod	_	TokenRange=10:12
4	cidades	cidade	NOUN	NOUN	_	7	nsubj	_	TokenRange=13:20
5	mundo	mundo	NOUN	NOUN	_	7	nsubj	_	TokenRange=21:26
6	podem	_	AUX	AUX	_	7	aux	_	TokenRange=27:32
7	ficar	ficar	VERB	VERB	_	92	ccomp	_	TokenRange=33:38
8	agua	_	NOUN	NOUN	_	7	obj	_	TokenRange=39:43
9	cidade	cidade	NOUN	NOUN	_	7	nsubj	_	TokenRange=44:50
10	cabo	cabo	NOUN	NOUN	_	9	flat	_	TokenRange=51:55
11	torneiras	torneiro	ADJ	ADJ	_	12	amod	_	TokenRange=56:65
12	cidade	cidade	NOUN	NOUN	_	9	appos	_	TokenRange=66:72
13	sulafricana	sulafricano	ADJ	ADJ	_	12	amod	_	TokenRange=73:84
14	devem	_	AUX	AUX	_	15	aux	_	TokenRange=85:90
15	secar	secar	VERB	VERB	_	7	parataxis	_	TokenRange=91:96
16	maio	_	NOUN	NOUN	_	15	nmod	_	TokenRange=97:101
17	causa	causa	NOUN	NOUN	_	15	nmod	_	TokenRange=102:107
18	grave	grave	ADJ	ADJ	_	19	amod	_	TokenRange=108:113
19	seca	_	NOUN	NOUN	_	17	amod	_	TokenRange=114:118
20	cada	_	DET	DET	_	23	det	_	TokenRange=119:123
21	quatro	_	NUM	NUM	NumType=Card	23	nummod	_	TokenRange=124:130
22	grandes	grande	ADJ	ADJ	_	23	amod	_	TokenRange=131:138
23	cidades	cidade	NOUN	NOUN	_	24	nsubj	_	TokenRange=139:146
24	podera	poder	VERB	VERB	_	7	parataxis	_	TokenRange=147:153
25	problemas	problema	NOUN	NOUN	_	24	obj	_	TokenRange=154:163
26	hidricos	hidrico	ADJ	ADJ	_	25	amod	_	TokenRange=164:172
27	futuro	futuro	ADJ	ADJ	_	28	amod	_	TokenRange=173:179
28	cidade	cidade	NOUN	NOUN	_	24	nsubj	_	TokenRange=180:186
29	cabo	cabo	ADJ	ADJ	_	28	amod	_	TokenRange=187:191
30	enfrenta	enfrentar	VERB	VERB	_	4	acl:relcl	_	TokenRange=192:200
31	situacao	situacao	NOUN	NOUN	_	30	obj	_	TokenRange=201:209
32	nada	nada	ADV	ADV	_	33	advmod	_	TokenRange=210:214
