# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mp mpf propoem duas fundacoes diagnosticar danos socioeconomicos desastre mariana procuradores propoem assessorias tecnicas auxiliar impactados rompimento barragem criticam atuacao fundacao renova reparacao danos ministerio publico federal minas gerais mpfmg ministerio publico estadual mpe anunciaram entrevista coletiva manha desta sextafeira 17 proposta participacao duas fundacoes diagnostico danos socioeconomicos causados desastre mariana regiao central estado reparacao vem sendo feita atingidos fundacao existente renova criticada iniciamos ultimos dias processo fundamental segunda fase diz respeito mudanca governanca fundacao renova serie reclamacoes atingidos prefeitos proprias empresas samarco bhp vale havido funcionamento contento fundacao propria fundacao gastado mal recursos afirmou procuradorgeral justica adjunto institucional romulo
1	mp	_	CCONJ	CONJ	_	3	nsubj	_	TokenRange=0:2
2	mpf	_	NOUN	NOUN	_	3	nsubj	_	TokenRange=3:6
3	propoem	propoer	VERB	VERB	_	0	root	_	TokenRange=7:14
4	duas	_	NUM	NUM	NumType=Card	5	nummod	_	TokenRange=15:19
5	fundacoes	fundacoe	NOUN	NOUN	_	3	obj	_	TokenRange=20:29
6	diagnosticar	diagnosticar	VERB	VERB	_	3	xcomp	_	TokenRange=30:42
7	danos	dano	NOUN	NOUN	_	6	obj	_	TokenRange=43:48
8	socioeconomicos	socioeconomico	ADJ	ADJ	_	7	amod	_	TokenRange=49:64
9	desastre	desastre	NOUN	NOUN	_	7	appos	_	TokenRange=65:73
10	mariana	mariano	ADJ	ADJ	_	9	amod	_	TokenRange=74:81
11	procuradores	procurador	NOUN	NOUN	_	3	nsubj	_	TokenRange=82:94
12	propoem	propoer	VERB	VERB	_	3	parataxis	_	TokenRange=95:102
13	assessorias	assessoria	NOUN	NOUN	_	12	obj	_	TokenRange=103:114
14	tecnicas	tecnico	ADJ	ADJ	_	13	amod	_	TokenRange=115:123
15	auxiliar	auxiliar	ADJ	ADJ	_	13	amod	_	TokenRange=124:132
16	impactados	impactado	ADJ	ADJ	_	13	amod	_	TokenRange=133:143
17	rompimento	rompimento	NOUN	NOUN	_	19	nsubj	_	TokenRange=144:154
18	barragem	barragem	NOUN	NOUN	_	17	appos	_	TokenRange=155:163
19	criticam	criticar	VERB	VERB	_	13	acl:relcl	_	TokenRange=164:172
20	atuacao	_	NOUN	NOUN	_	19	obj	_	TokenRange=173:180
21	fundacao	fundacao	NOUN	NOUN	_	58	nsubj:pass	_	TokenRange=181:189
22	renova	renova	ADJ	ADJ	_	21	amod	_	TokenRange=190:196
23	reparacao	_	ADJ	NOUN	_	25	amod	_	TokenRange=197:206
24	danos	dano	NOUN	NOUN	_	25	amod	_	TokenRange=207:212
25	ministerio	ministerio	NOUN	NOUN	_	21	appos	_	TokenRange=213:223
26	publico	_	ADJ	ADJ	_	25	amod	_	TokenRange=224:231
27	federal	federal	ADJ	ADJ	_	25	amod	_	TokenRange=232:239
28	minas	mina	NOUN	NOUN	_	25	appos	_	TokenRange=240:245
29	gerais	geral	ADJ	ADJ	_	28	amod	_	TokenRange=246:252
30	mpfmg	_	ADJ	ADJ	_	31	amod	_	TokenRange=253:258
31	ministerio	ministerio	NOUN	NOUN	_	25	appos	_	TokenRange=259:269
32	publico	_	ADJ	ADJ	_	31	amod	_	TokenRange=270:277
33	estadual	estadual	ADJ	ADJ	_	31	amod	_	TokenRange=278:286
34	mpe	_	NOUN	NOUN	_	35	nsubj	_	TokenRange=287:290
35	anunciaram	anunciar	VERB	VERB	_	3	parataxis	_	TokenRange=291:301
36	entrevista	entrevista	NOUN	NOUN	_	35	obj	_	TokenRange=302:312
37	coletiva	coletivo	ADJ	ADJ	_	36	amod	_	TokenRange=313:321
38	manha	manha	NOUN	NOUN	_	36	appos	_	TokenRange=322:327
39	desta	_	ADP	ADP	_	40	case	_	TokenRange=328:333
40	sextafeira	sextafeira	NOUN	NOUN	_	38	nmod	_	TokenRange=334:344
41	17	_	NUM	NUM	NumType=Card	42	nummod	_	TokenRange=345:347
42	proposta	_	NOUN	NOUN	_	38	appos	_	TokenRange=348:356
43	participacao	participacao	NOUN	NOUN	_	42	appos	_	TokenRange=357:369
44	duas	_	NUM	NUM	NumType=Card	45	nummod	_	TokenRange=370:374
45	fundacoes	fundacoe	NOUN	NOUN	_	35	nsubj	_	TokenRange=375:384
46	diagnostico	diagnostico	ADJ	ADJ	_	45	amod	_	TokenRange=385:396
47	danos	dano	NOUN	NOUN	_	45	appos	_	TokenRange=397:402
48	socioeconomicos	socioeconomico	ADJ	ADJ	_	47	amod	_	TokenRange=403:418
49	causados	causar	VERB	VERB	_	47	acl	_	TokenRange=419:427
50	desastre	desastre	NOUN	NOUN	_	47	appos	_	TokenRange=428:436
51	mariana	mariano	ADJ	ADJ	_	50	amod	_	TokenRange=437:444
52	regiao	regiao	NOUN	NOUN	_	58	nsubj:pass	_	TokenRange=445:451
53	central	central	ADJ	ADJ	_	50	amod	_	TokenRange=452:459
54	estado	estado	NOUN	NOUN	_	58	nsubj:pass	_	TokenRange=460:466
55	reparacao	reparacao	ADJ	ADJ	_	60	amod	_	TokenRange=467:476
56	vem	vir	AUX	AUX	_	58	aux	_	TokenRange=477:480
57	sendo	ser	AUX	AUX	_	58	aux:pass	_	TokenRange=481:486
58	feita	_	VERB	VERB	_	3	parataxis	_	TokenRange=487:492
59	atingidos	atingir	ADJ	ADJ	_	58	xcomp	_	TokenRange=493:502
60	fundacao	fundacao	NOUN	NOUN	_	58	nsubj:pass	_	TokenRange=503:511
61	existente	existente	ADJ	ADJ	_	60	amod	_	TokenRange=512:521
62	renova	renova	NOUN	NOUN	_	60	amod	_	TokenRange=522:528
63	criticada	criticado	ADJ	ADJ	_	60	amod	_	TokenRange=529:538
64	iniciamos	iniciar	VERB	VERB	_	3	parataxis	_	TokenRange=539:548
65	ultimos	_	ADJ	ADJ	_	66	amod	_	TokenRange=549:556
66	dias	dia	NOUN	NOUN	_	64	obj	_	TokenRange=557:561
67	processo	processo	NOUN	NOUN	_	64	obj	_	TokenRange=562:570
68	fundamental	fundamental	ADJ	ADJ	_	67	amod	_	TokenRange=571:582
69	segunda	segundo	ADJ	ADJ	_	70	amod	_	TokenRange=583:590
70	fase	fase	NOUN	NOUN	_	64	nsubj	_	TokenRange=591:595
71	diz	dizer	VERB	VERB	_	72	acl:relcl	_	TokenRange=596:599
72	respeito	respeito	NOUN	NOUN	_	64	obj	_	TokenRange=600:608
73	mudanca	mudanca	NOUN	NOUN	_	72	appos	_	TokenRange=609:616
74	governanca	_	NOUN	NOUN	_	73	flat	_	TokenRange=617:627
75	fundacao	fundacao	NOUN	NOUN	_	73	appos	_	TokenRange=628:636
76	renova	renova	ADJ	ADJ	_	75	amod	_	TokenRange=637:643
77	serie	_	NOUN	NOUN	_	78	appos	_	TokenRange=644:649
78	reclamacoes	_	NOUN	NOUN	_	73	appos	_	TokenRange=650:661
79	atingidos	atingir	VERB	VERB	_	78	acl	_	TokenRange=662:671
80	prefeitos	prefeito	NOUN	NOUN	_	78	appos	_	TokenRange=672:681
81	proprias	proprio	ADJ	ADJ	_	82	amod	_	TokenRange=682:690
82	empresas	empresa	NOUN	NOUN	_	80	appos	_	TokenRange=691:699
83	samarco	samarco	NOUN	NOUN	_	78	appos	_	TokenRange=700:707
84	bhp	_	NOUN	NOUN	_	83	flat	_	TokenRange=708:711
85	vale	_	NOUN	NOUN	_	83	flat	_	TokenRange=712:716
86	havido	haver	VERB	VERB	_	78	acl	_	TokenRange=717:723
87	funcionamento	funcionamento	NOUN	NOUN	_	86	obj	_	TokenRange=724:737
88	contento	contento	ADJ	ADJ	_	87	amod	_	TokenRange=738:746
89	fundacao	fundacao	NOUN	NOUN	_	87	appos	_	TokenRange=747:755
90	propria	proprio	ADJ	ADJ	_	89	amod	_	TokenRange=756:763
91	fundacao	fundacao	NOUN	NOUN	_	89	appos	_	TokenRange=764:772
92	gastado	gastado	ADJ	ADJ	_	89	amod	_	TokenRange=773:780
93	mal	mal	ADV	ADV	_	94	amod	_	TokenRange=781:784
94	recursos	recurso	NOUN	NOUN	_	92	nsubj	_	TokenRange=785:793
95	afirmou	afirmar	VERB	VERB	_	3	parataxis	_	TokenRange=794:801
96	procuradorgeral	procuradorgeral	NOUN	NOUN	_	95	obj	_	TokenRange=802:817
97	justica	_	ADJ	ADJ	_	96	amod	_	TokenRange=818:825
98	adjunto	adjunto	NOUN	NOUN	_	100	flat	_	TokenRange=826:833
99	institucional	institucional	ADJ	ADJ	_	96	amod	_	TokenRange=834:847
100	romulo	romulo	NOUN	NOUN	_	95	obj	_	SpaceAfter=No|TokenRange=848:854

