# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = bem achados felizes slogans politica brasileira todos tempos conduziu luiz inacio lula silva primeira vitoria eleicao presidencial 2002 amargar tres derrotas seguidas fernando collor fernando henrique esperanca vai vencer medo passados 15 anos tres gestoes meia pt sendo metade quarta sendo tocada vice lula escolheu compor chapa dilma rousseff duas vezes julgamento mensalao supremo tribunal federal stf operacao lava jato policia federal ministerio publico federal sob egide juiz sergio moro curitiba ensinou nacao tudo esperava naquele tempo decisao unanime segunda turma stf aceitou despacho teori zavascki
1	bem	bem	ADV	ADV	_	2	advmod	_	TokenRange=0:3
2	achados	achar	VERB	VERB	_	9	acl	_	TokenRange=4:11
3	felizes	feliz	ADJ	ADJ	_	4	amod	_	TokenRange=12:19
4	slogans	slogan	NOUN	NOUN	_	9	obj	_	TokenRange=20:27
5	politica	_	ADJ	ADJ	_	4	amod	_	TokenRange=28:36
6	brasileira	brasileiro	ADJ	ADJ	_	4	amod	_	TokenRange=37:47
7	todos	_	DET	DET	_	8	det	_	TokenRange=48:53
8	tempos	tempo	NOUN	NOUN	_	9	nsubj	_	TokenRange=54:60
9	conduziu	conduzir	VERB	VERB	_	0	root	_	TokenRange=61:69
10	luiz	luiz	NOUN	NOUN	_	9	obj	_	TokenRange=70:74
11	inacio	_	NOUN	NOUN	_	10	flat	_	TokenRange=75:81
12	lula	_	NOUN	NOUN	_	10	flat	_	TokenRange=82:86
13	silva	silva	ADJ	ADJ	_	10	flat	_	TokenRange=87:92
14	primeira	primeiro	ADJ	ADJ	_	15	amod	_	TokenRange=93:101
15	vitoria	vitoria	NOUN	NOUN	_	9	obj	_	TokenRange=102:109
16	eleicao	eleicao	NOUN	NOUN	_	9	obj	_	TokenRange=110:117
17	presidencial	presidencial	ADJ	ADJ	_	16	amod	_	TokenRange=118:130
18	2002	_	NUM	NUM	NumType=Card	16	nmod	_	TokenRange=131:135
19	amargar	amargar	VERB	VERB	_	9	parataxis	_	TokenRange=136:143
20	tres	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=144:148
21	derrotas	derrota	NOUN	NOUN	_	19	obj	_	TokenRange=149:157
22	seguidas	seguido	ADJ	ADJ	_	21	amod	_	TokenRange=158:166
23	fernando	fernando	NOUN	NOUN	_	19	appos	_	TokenRange=167:175
24	collor	_	NOUN	NOUN	_	23	flat	_	TokenRange=176:182
25	fernando	fernando	NOUN	NOUN	_	23	appos	_	TokenRange=183:191
26	henrique	_	NOUN	NOUN	_	25	flat	_	TokenRange=192:200
27	esperanca	_	NOUN	NOUN	_	25	flat	_	TokenRange=201:210
28	vai	ir	AUX	AUX	_	29	aux	_	TokenRange=211:214
29	vencer	vencer	VERB	VERB	_	9	parataxis	_	TokenRange=215:221
30	medo	medo	NOUN	NOUN	_	29	obj	_	TokenRange=222:226
31	passados	passar	VERB	VERB	_	29	advcl	_	TokenRange=227:235
32	15	_	NUM	NUM	NumType=Card	33	nummod	_	TokenRange=236:238
33	anos	ano	NOUN	NOUN	_	29	nmod	_	TokenRange=239:243
34	tres	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=244:248
35	gestoes	gestoe	NOUN	NOUN	_	29	nsubj	_	TokenRange=249:256
36	meia	meio	ADJ	ADJ	_	35	amod	_	TokenRange=257:261
37	pt	_	NOUN	NOUN	_	35	appos	_	TokenRange=262:264
38	sendo	ser	AUX	AUX	_	39	cop	_	TokenRange=265:270
39	metade	metade	NOUN	NOUN	_	35	acl	_	TokenRange=271:277
40	quarta	_	ADJ	ADJ	_	39	amod	_	TokenRange=278:284
41	sendo	ser	AUX	AUX	_	42	aux:pass	_	TokenRange=285:290
42	tocada	tocar	VERB	VERB	_	45	acl	_	TokenRange=291:297
43	vice	vice	NOUN	NOUN	_	45	nsubj	_	TokenRange=298:302
44	lula	_	NOUN	NOUN	_	45	nsubj	_	TokenRange=303:307
45	escolheu	escolher	VERB	VERB	_	9	parataxis	_	TokenRange=308:316
46	compor	compor	VERB	VERB	_	45	xcomp	_	TokenRange=317:323
47	chapa	chapa	NOUN	NOUN	_	46	obj	_	TokenRange=324:329
48	dilma	dilma	NOUN	NOUN	_	47	amod	_	TokenRange=330:335
49	rousseff	rousseff	NOUN	NOUN	_	47	flat	_	TokenRange=336:344
50	duas	_	NUM	NUM	NumType=Card	51	nummod	_	TokenRange=345:349
51	vezes	vez	NOUN	NOUN	_	46	nmod	_	TokenRange=350:355
52	julgamento	julgamento	NOUN	NOUN	_	46	obj	_	TokenRange=356:366
53	mensalao	mensalao	ADJ	ADJ	_	55	amod	_	TokenRange=367:375
54	supremo	supremo	ADJ	ADJ	_	55	amod	_	TokenRange=376:383
55	tribunal	tribunal	NOUN	NOUN	_	52	appos	_	TokenRange=384:392
56	federal	federal	ADJ	ADJ	_	55	amod	_	TokenRange=393:400
57	stf	_	NOUN	NOUN	_	58	appos	_	TokenRange=401:404
58	operacao	operacao	NOUN	NOUN	_	55	appos	_	TokenRange=405:413
59	lava	lava	NOUN	NOUN	_	58	flat	_	TokenRange=414:418
60	jato	jato	NOUN	NOUN	_	61	flat	_	TokenRange=419:423
61	policia	policia	NOUN	NOUN	_	58	appos	_	TokenRange=424:431
62	federal	federal	ADJ	ADJ	_	61	amod	_	TokenRange=432:439
63	ministerio	ministerio	NOUN	NOUN	_	61	appos	_	TokenRange=440:450
64	publico	_	ADJ	ADJ	_	63	amod	_	TokenRange=451:458
65	federal	federal	ADJ	ADJ	_	63	amod	_	TokenRange=459:466
66	sob	_	ADP	ADP	_	67	case	_	TokenRange=467:470
67	egide	egide	NOUN	NOUN	_	72	nmod	_	TokenRange=471:476
68	juiz	juiz	NOUN	NOUN	_	67	appos	_	TokenRange=477:481
69	sergio	sergio	NOUN	NOUN	_	68	amod	_	TokenRange=482:488
70	moro	moro	NOUN	NOUN	_	68	flat	_	TokenRange=489:493
71	curitiba	curitiba	NOUN	NOUN	_	68	flat	_	TokenRange=494:502
72	ensinou	ensinar	VERB	VERB	_	83	parataxis	_	TokenRange=503:510
73	nacao	nacao	NOUN	NOUN	_	72	obj	_	TokenRange=511:516
74	tudo	_	PRON	PRON	_	75	nsubj	_	TokenRange=517:521
75	esperava	esperar	VERB	VERB	_	72	parataxis	_	TokenRange=522:530
76	naquele	_	ADP	ADP	_	77	case	_	TokenRange=531:538
77	tempo	tempo	NOUN	NOUN	_	75	nmod	_	TokenRange=539:544
78	decisao	decisao	NOUN	NOUN	_	83	obj	_	TokenRange=545:552
79	unanime	unanime	ADJ	ADJ	_	81	amod	_	TokenRange=553:560
80	segunda	segundo	ADJ	ADJ	_	81	amod	_	TokenRange=561:568
81	turma	turma	NOUN	NOUN	_	83	nsubj	_	TokenRange=569:574
82	stf	_	NOUN	NOUN	_	81	appos	_	TokenRange=575:578
83	aceitou	aceitar	VERB	VERB	_	45	parataxis	_	TokenRange=579:586
84	despacho	despacho	NOUN	NOUN	_	83	obj	_	TokenRange=587:595
85	teori	_	NOUN	NOUN	_	83	parataxis	_	TokenRange=596:601
86	zavascki	_	PROPN	PNOUN	_	85	flat	_	SpaceAfter=No|TokenRange=602:610

