# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua dizem assad prepara novo ataque quimico siria governo americano advertiu ataque ocorrer damasco pagara preco alto siria diz armas quimicas governo americano denunciou presidente sirio bashar alassad preparando novo ataque armas quimicas provocar massacre civis advertiu ataque acontecer damasco pagara preco alto estados unidos identificaram possivel preparacao outro ataque armas quimicas parte regime assad poderia provocar massacre civis incluindo criancas inocentes disse portavoz casa branca sean spicer comunicado divulgado segundafeira 26 noite acordo casa branca atividades similares preparativos regime realizou antes ataque armas quimicas 4 abril 2017 contra cidade controlada rebeldes ocasiao represalia washington lancou 59 misseis contra base aerea siria primeira intervencao armada estados unidos contra governo damasco assad cometer outro assassinato massa ataque armas quimicas militares pagarao preco alto advertiu spicer qualquer novo ataque contra populacao siria atribuido assad russia ira ajudaram matar proprio
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
2	dizem	dizer	VERB	VERB	_	63	ccomp	_	TokenRange=4:9
3	assad	_	NOUN	NOUN	_	2	obj	_	TokenRange=10:15
4	prepara	preparar	VERB	VERB	_	2	ccomp	_	TokenRange=16:23
5	novo	novo	ADJ	ADJ	_	6	amod	_	TokenRange=24:28
6	ataque	ataque	NOUN	NOUN	_	4	obj	_	TokenRange=29:35
7	quimico	quimico	ADJ	ADJ	_	6	amod	_	TokenRange=36:43
8	siria	sirio	ADJ	ADJ	_	6	amod	_	TokenRange=44:49
9	governo	governo	NOUN	NOUN	_	4	nsubj	_	TokenRange=50:57
10	americano	americano	ADJ	ADJ	_	9	amod	_	TokenRange=58:67
11	advertiu	advertir	VERB	VERB	_	2	ccomp	_	TokenRange=68:76
12	ataque	ataque	NOUN	NOUN	_	11	obj	_	TokenRange=77:83
13	ocorrer	ocorrer	VERB	VERB	_	12	acl:inf	_	TokenRange=84:91
14	damasco	_	NOUN	NOUN	_	15	nmod	_	TokenRange=92:99
15	pagara	pagar	VERB	VERB	_	13	ccomp	_	TokenRange=100:106
16	preco	preco	NOUN	NOUN	_	15	obj	_	TokenRange=107:112
17	alto	alto	ADJ	ADJ	_	16	amod	_	TokenRange=113:117
18	siria	_	NOUN	NOUN	_	19	nsubj	_	TokenRange=118:123
19	diz	dizer	VERB	VERB	_	2	conj	_	TokenRange=124:127
20	armas	arma	NOUN	NOUN	_	19	obj	_	TokenRange=128:133
21	quimicas	quimico	ADJ	ADJ	_	20	amod	_	TokenRange=134:142
22	governo	governo	NOUN	NOUN	_	19	nsubj	_	TokenRange=143:150
23	americano	americano	ADJ	ADJ	_	22	amod	_	TokenRange=151:160
24	denunciou	denunciar	VERB	VERB	_	19	parataxis	_	TokenRange=161:170
25	presidente	presidente	NOUN	NOUN	_	24	obj	_	TokenRange=171:181
26	sirio	sirio	ADJ	ADJ	_	25	amod	_	TokenRange=182:187
27	bashar	bashar	NOUN	NOUN	_	25	appos	_	TokenRange=188:194
28	alassad	_	ADJ	ADJ	_	27	amod	_	TokenRange=195:202
29	preparando	preparar	VERB	VERB	_	25	acl	_	TokenRange=203:213
30	novo	novo	ADJ	ADJ	_	31	amod	_	TokenRange=214:218
31	ataque	ataque	NOUN	NOUN	_	29	obj	_	TokenRange=219:225
32	armas	arma	NOUN	NOUN	_	31	appos	_	TokenRange=226:231
33	quimicas	quimico	ADJ	ADJ	_	32	amod	_	TokenRange=232:240
34	provocar	provocar	VERB	VERB	_	25	acl:inf	_	TokenRange=241:249
35	massacre	massacre	NOUN	NOUN	_	34	obj	_	TokenRange=250:258
36	civis	civil	ADJ	ADJ	_	31	amod	_	TokenRange=259:264
37	advertiu	advertir	VERB	VERB	_	24	parataxis	_	TokenRange=265:273
38	ataque	ataque	NOUN	NOUN	_	37	obj	_	TokenRange=274:280
39	acontecer	acontecer	VERB	VERB	_	38	acl:inf	_	TokenRange=281:290
40	damasco	_	ADV	ADV	_	41	advmod	_	TokenRange=291:298
41	pagara	pagar	VERB	VERB	_	39	ccomp	_	TokenRange=299:305
42	preco	preco	NOUN	NOUN	_	41	obj	_	TokenRange=306:311
43	alto	alto	ADJ	ADJ	_	42	amod	_	TokenRange=312:316
44	estados	estado	NOUN	NOUN	_	41	nsubj	_	TokenRange=317:324
45	unidos	unido	ADJ	ADJ	_	44	amod	_	TokenRange=325:331
46	identificaram	identificar	VERB	VERB	_	37	parataxis	_	TokenRange=332:345
47	possivel	_	ADJ	ADJ	_	48	amod	_	TokenRange=346:354
48	preparacao	preparacao	NOUN	NOUN	_	46	obj	_	TokenRange=355:365
49	outro	_	DET	DET	_	50	det	_	TokenRange=366:371
50	ataque	ataque	NOUN	NOUN	_	135	nsubj	_	TokenRange=372:378
51	armas	arma	NOUN	NOUN	_	50	appos	_	TokenRange=379:384
52	quimicas	quimico	ADJ	ADJ	_	51	amod	_	TokenRange=385:393
53	parte	parte	NOUN	NOUN	_	50	appos	_	TokenRange=394:399
54	regime	regime	NOUN	NOUN	_	57	nsubj	_	TokenRange=400:406
55	assad	_	ADJ	ADJ	_	117	amod	_	TokenRange=407:412
56	poderia	poder	AUX	AUX	_	57	aux	_	TokenRange=413:420
57	provocar	provocar	VERB	VERB	_	50	acl:relcl	_	TokenRange=421:429
58	massacre	massacre	NOUN	NOUN	_	57	obj	_	TokenRange=430:438
59	civis	civil	ADJ	ADJ	_	58	amod	_	TokenRange=439:444
60	incluindo	incluir	VERB	VERB	_	50	acl	_	TokenRange=445:454
61	criancas	crianca	NOUN	NOUN	_	60	obj	_	TokenRange=455:463
62	inocentes	inocente	ADJ	ADJ	_	61	amod	_	TokenRange=464:473
63	disse	dizer	VERB	VERB	_	0	root	_	TokenRange=474:479
64	portavoz	portavoz	NOUN	NOUN	_	63	nsubj	_	TokenRange=480:488
65	casa	casa	NOUN	NOUN	_	64	appos	_	TokenRange=489:493
66	branca	branco	ADJ	ADJ	_	65	amod	_	TokenRange=494:500
67	sean	_	NOUN	NOUN	_	83	appos	_	TokenRange=501:505
68	spicer	spicer	NOUN	NOUN	_	67	flat	_	TokenRange=506:512
69	comunicado	comunicado	NOUN	NOUN	_	64	appos	_	TokenRange=513:523
70	divulgado	divulgar	VERB	VERB	_	129	acl	_	TokenRange=524:533
71	segundafeira	_	NOUN	NOUN	_	70	nmod	_	TokenRange=534:546
72	26	_	NUM	NUM	NumType=Card	73	nummod	_	TokenRange=547:549
73	noite	noite	NOUN	NOUN	_	71	nmod	_	TokenRange=550:555
74	acordo	acordo	NOUN	NOUN	_	135	parataxis	_	TokenRange=556:562
75	casa	casa	NOUN	NOUN	_	74	appos	_	TokenRange=563:567
76	branca	branco	ADJ	ADJ	_	77	amod	_	TokenRange=568:574
77	atividades	atividade	NOUN	NOUN	_	135	nsubj	_	TokenRange=575:585
78	similares	similar	ADJ	ADJ	_	77	amod	_	TokenRange=586:595
79	preparativos	_	ADJ	ADJ	_	77	amod	_	TokenRange=596:608
80	regime	regime	NOUN	NOUN	_	81	nsubj	_	TokenRange=609:615
81	realizou	realizar	VERB	VERB	_	77	acl:relcl	_	TokenRange=616:624
82	antes	antes	ADV	ADV	_	81	advmod	_	TokenRange=625:630
83	ataque	ataque	NOUN	NOUN	_	81	obj	_	TokenRange=631:637
84	armas	arma	NOUN	NOUN	_	83	appos	_	TokenRange=638:643
85	quimicas	quimico	ADJ	ADJ	_	84	amod	_	TokenRange=644:652
86	4	_	NUM	NUM	NumType=Card	87	nummod	_	TokenRange=653:654
87	abril	_	PROPN	PNOUN	_	83	nmod	_	TokenRange=655:660
88	2017	_	NUM	NUM	NumType=Card	87	nmod	_	TokenRange=661:665
89	contra	_	ADP	ADP	_	90	case	_	TokenRange=666:672
90	cidade	cidade	NOUN	NOUN	_	81	nmod	_	TokenRange=673:679
91	controlada	controlado	ADJ	ADJ	_	90	amod	_	TokenRange=680:690
92	rebeldes	rebelde	NOUN	NOUN	_	90	amod	_	TokenRange=691:699
93	ocasiao	ocasiao	ADJ	ADJ	_	94	amod	_	TokenRange=700:707
94	represalia	represalia	NOUN	NOUN	_	96	nsubj	_	TokenRange=708:718
95	washington	_	PROPN	PNOUN	_	94	appos	_	TokenRange=719:729
96	lancou	lancar	VERB	VERB	_	50	acl:relcl	_	TokenRange=730:736
97	59	_	NUM	NUM	NumType=Card	98	nummod	_	TokenRange=737:739
98	misseis	missil	NOUN	NOUN	_	96	obj	_	TokenRange=740:747
99	contra	_	ADP	ADP	_	100	case	_	TokenRange=748:754
100	base	base	NOUN	NOUN	_	81	nmod	_	TokenRange=755:759
101	aerea	aereo	ADJ	ADJ	_	100	amod	_	TokenRange=760:765
102	siria	sirio	ADJ	ADJ	_	104	amod	_	TokenRange=766:771
103	primeira	primeiro	ADJ	ADJ	_	104	amod	_	TokenRange=772:780
104	intervencao	intervencao	NOUN	NOUN	_	96	nsubj	_	TokenRange=781:792
105	armada	armado	ADJ	ADJ	_	104	amod	_	TokenRange=793:799
106	estados	estado	NOUN	NOUN	_	104	appos	_	TokenRange=800:807
107	unidos	unido	ADJ	ADJ	_	106	amod	_	TokenRange=808:814
108	contra	_	ADP	ADP	_	109	case	_	TokenRange=815:821
109	governo	governo	NOUN	NOUN	_	104	nmod	_	TokenRange=822:829
110	damasco	damasco	ADJ	ADJ	_	109	amod	_	TokenRange=830:837
111	assad	_	NOUN	NOUN	_	112	nsubj	_	TokenRange=838:843
112	cometer	cometer	VERB	VERB	_	109	acl:relcl	_	TokenRange=844:851
113	outro	_	DET	DET	_	114	det	_	TokenRange=852:857
114	assassinato	assassinato	NOUN	NOUN	_	112	obj	_	TokenRange=858:869
115	massa	masso	ADJ	ADJ	_	116	amod	_	TokenRange=870:875
116	ataque	ataque	NOUN	NOUN	_	112	nsubj	_	TokenRange=876:882
117	armas	arma	NOUN	NOUN	_	116	appos	_	TokenRange=883:888
118	quimicas	quimico	ADJ	ADJ	_	117	amod	_	TokenRange=889:897
119	militares	militar	ADJ	ADJ	_	117	amod	_	TokenRange=898:907
120	pagarao	pagar	VERB	VERB	_	2	parataxis	_	TokenRange=908:915
121	preco	preco	NOUN	NOUN	_	120	obj	_	TokenRange=916:921
122	alto	alto	ADJ	ADJ	_	121	amod	_	TokenRange=922:926
123	advertiu	advertir	VERB	VERB	_	135	parataxis	_	TokenRange=927:935
124	spicer	spicer	VERB	VERB	_	135	xcomp	_	TokenRange=936:942
125	qualquer	_	DET	DET	_	127	det	_	TokenRange=943:951
126	novo	novo	ADJ	ADJ	_	127	amod	_	TokenRange=952:956
127	ataque	ataque	NOUN	NOUN	_	135	nsubj	_	TokenRange=957:963
128	contra	_	ADP	ADP	_	129	case	_	TokenRange=964:970
129	populacao	populacao	NOUN	NOUN	_	127	nmod	_	TokenRange=971:980
130	siria	sirio	ADJ	ADJ	_	129	amod	_	TokenRange=981:986
131	atribuido	atribuir	VERB	VERB	_	127	acl	_	TokenRange=987:996
132	assad	_	NOUN	NOUN	_	131	obj	_	TokenRange=997:1002
133	russia	russia	NOUN	NOUN	_	131	nsubj	_	TokenRange=1003:1009
134	ira	_	NOUN	NOUN	_	135	nsubj	_	TokenRange=1010:1013
135	ajudaram	ajudar	VERB	VERB	_	46	parataxis	_	TokenRange=1014:1022
136	matar	matar	VERB	VERB	_	135	xcomp	_	TokenRange=1023:1028
137	proprio	proprio	NOUN	NOUN	_	136	obj	_	SpaceAfter=No|TokenRange=1029:1036

