# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tanta dor quer morrer jovem 19 pede eutanasia causa polemica chile paula diaz despertou comocao redes sociais videos pede presidente michelle bachelet permita morte digna entanto faltam informacoes sobre doenca diagnosticos atribui sintomas transtorno psiquiatrico paula diaz 19 anos quer
1	tanta	_	DET	DET	_	2	det	_	TokenRange=0:5
2	dor	dor	NOUN	NOUN	_	3	nsubj	_	TokenRange=6:9
3	quer	querer	VERB	VERB	_	0	root	_	TokenRange=10:14
4	morrer	morrer	VERB	VERB	_	3	xcomp	_	TokenRange=15:21
5	jovem	jovem	NOUN	NOUN	_	4	obj	_	TokenRange=22:27
6	19	_	NUM	NUM	NumType=Card	5	appos	_	TokenRange=28:30
7	pede	pedir	VERB	VERB	_	4	parataxis	_	TokenRange=31:35
8	eutanasia	eutanasia	NOUN	NOUN	_	7	obj	_	TokenRange=36:45
9	causa	causa	NOUN	NOUN	_	7	obj	_	TokenRange=46:51
10	polemica	polemico	ADJ	ADJ	_	9	amod	_	TokenRange=52:60
11	chile	chile	NOUN	NOUN	_	14	nsubj	_	TokenRange=61:66
12	paula	paula	NOUN	NOUN	_	14	nsubj	_	TokenRange=67:72
13	diaz	_	NOUN	NOUN	_	12	flat	_	TokenRange=73:77
14	despertou	despertar	VERB	VERB	_	7	conj	_	TokenRange=78:87
15	comocao	_	NOUN	NOUN	_	14	obj	_	TokenRange=88:95
16	redes	rede	NOUN	NOUN	_	14	obj	_	TokenRange=96:101
17	sociais	social	ADJ	ADJ	_	16	amod	_	TokenRange=102:109
18	videos	video	NOUN	NOUN	_	19	nsubj	_	TokenRange=110:116
19	pede	pedir	VERB	VERB	_	14	parataxis	_	TokenRange=117:121
20	presidente	presidente	NOUN	NOUN	_	23	nsubj	_	TokenRange=122:132
21	michelle	_	NOUN	NOUN	_	20	appos	_	TokenRange=133:141
22	bachelet	_	NOUN	NOUN	_	21	flat	_	TokenRange=142:150
23	permita	permitir	VERB	VERB	_	14	parataxis	_	TokenRange=151:158
24	morte	morte	NOUN	NOUN	_	23	obj	_	TokenRange=159:164
25	digna	digno	ADJ	ADJ	_	24	amod	_	TokenRange=165:170
26	entanto	entanto	ADV	ADV	_	27	advmod	_	TokenRange=171:178
27	faltam	faltar	VERB	VERB	_	23	conj	_	TokenRange=179:185
28	informacoes	informacoe	NOUN	NOUN	_	27	nsubj	_	TokenRange=186:197
29	sobre	_	ADP	ADP	_	30	case	_	TokenRange=198:203
30	doenca	doenca	NOUN	NOUN	_	28	nmod	_	TokenRange=204:210
31	diagnosticos	diagnostico	ADJ	ADJ	_	30	amod	_	TokenRange=211:223
32	atribui	atribuir	VERB	VERB	_	28	acl:relcl	_	TokenRange=224:231
33	sintomas	sintoma	NOUN	NOUN	_	32	obj	_	TokenRange=232:240
34	transtorno	transtorno	NOUN	NOUN	_	33	appos	_	TokenRange=241:251
35	psiquiatrico	_	ADJ	ADJ	_	34	amod	_	TokenRange=252:264
36	paula	paula	NOUN	NOUN	_	32	obj	_	TokenRange=265:270
37	diaz	diaz	NOUN	NOUN	_	36	flat	_	TokenRange=271:275
38	19	_	NUM	NUM	NumType=Card	39	nummod	_	TokenRange=276:278
39	anos	ano	NOUN	NOUN	_	40	nsubj	_	TokenRange=279:283
40	quer	querer	VERB	VERB	_	27	parataxis	_	SpaceAfter=No|TokenRange=284:288

