# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cada vez disseminado fake news transformou farisaismo religiao noticias falsas bemsucedidas verdadeiras caso marielle pode apontar caminho combatelas existem menos dois tipos fake news culposa dolosa nota colunista politico jornal carioca anunciou renuncia temer tarde maio ano passado fake culposa pois intencao derrubar presidente amigo ibovespa culposa bumerangue derrubou apenas reputacao colunista dolosa fake desembargadora marilia castro neves imputando marielle franco coisas assassinada vereadora psol nunca fizera indisfarcavel intuito denegrir imagem vitima tabela minimizar culpa executores dolosa bumerangue nunca hater atuante midias sociais apanhou tanto inclusive pares conta postagem caluniosa primeira ultima linha base informacoes levianamente colhidas texto amiga amiga queremos conhecer identidade afinal cometeu primeiro delito desinformando autoridade judiciario sobre passado marielle valendose especie segredo injustica desembargadora denunciou amiga imagino cobrado satisfacoes acusadoa irresponsavel amiga igualmente coberta razao retrucado irresponsavel marilia checou informacoes checou porque presumo 1 confiava cegamente amiga resto nada confiavel mente sordida bastante fofocar infamias escrito 2 babados amiga coonestavam preconceituosas desconfiancas respeito vereadora 3 pressa desembargar patranha
1	cada	_	DET	DET	_	2	det	_	TokenRange=0:4
2	vez	vez	NOUN	NOUN	_	6	nsubj	_	TokenRange=5:8
3	disseminado	disseminar	VERB	VERB	_	2	acl	_	TokenRange=9:20
4	fake	_	NOUN	NOUN	_	5	amod	_	TokenRange=21:25
5	news	_	NOUN	NOUN	_	3	nsubj	_	TokenRange=26:30
6	transformou	transformar	VERB	VERB	_	0	root	_	TokenRange=31:42
7	farisaismo	farisaismo	NOUN	NOUN	_	6	obj	_	TokenRange=43:53
8	religiao	religiao	ADJ	ADJ	_	7	amod	_	TokenRange=54:62
9	noticias	noticia	NOUN	NOUN	_	6	obj	_	TokenRange=63:71
10	falsas	falso	ADJ	ADJ	_	9	amod	_	TokenRange=72:78
11	bemsucedidas	bemsucedido	ADJ	ADJ	_	9	amod	_	TokenRange=79:91
12	verdadeiras	verdadeiro	ADJ	ADJ	_	9	amod	_	TokenRange=92:103
13	caso	caso	CCONJ	CONJ	_	16	mark	_	TokenRange=104:108
14	marielle	_	NOUN	NOUN	_	16	nsubj	_	TokenRange=109:117
15	pode	_	AUX	AUX	_	16	aux	_	TokenRange=118:122
16	apontar	apontar	VERB	VERB	_	6	advcl	_	TokenRange=123:130
17	caminho	caminho	NOUN	NOUN	_	16	obj	_	TokenRange=131:138
18	combatelas	combatela	NOUN	NOUN	_	17	flat	_	TokenRange=139:149
19	existem	existir	VERB	VERB	_	6	parataxis	_	TokenRange=150:157
20	menos	menos	ADV	ADV	_	21	advmod	_	TokenRange=158:163
21	dois	_	NUM	NUM	NumType=Card	22	nummod	_	TokenRange=164:168
22	tipos	tipo	NOUN	NOUN	_	19	nsubj	_	TokenRange=169:174
23	fake	_	ADJ	NOUN	_	22	amod	_	TokenRange=175:179
24	news	_	NOUN	NOUN	_	22	appos	_	TokenRange=180:184
25	culposa	culposo	ADJ	ADJ	_	27	amod	_	TokenRange=185:192
26	dolosa	doloso	ADJ	ADJ	_	27	amod	_	TokenRange=193:199
27	nota	nota	NOUN	NOUN	_	22	appos	_	TokenRange=200:204
28	colunista	colunista	ADJ	ADJ	_	27	amod	_	TokenRange=205:214
29	politico	politico	ADJ	ADJ	_	30	amod	_	TokenRange=215:223
30	jornal	jornal	NOUN	NOUN	_	27	appos	_	TokenRange=224:230
31	carioca	carioca	ADJ	ADJ	_	30	amod	_	TokenRange=231:238
32	anunciou	anunciar	VERB	VERB	_	27	acl:relcl	_	TokenRange=239:247
33	renuncia	renuncia	NOUN	NOUN	_	32	obj	_	TokenRange=248:256
34	temer	temer	NOUN	NOUN	_	33	appos	_	TokenRange=257:262
35	tarde	tarde	ADV	ADV	_	34	advmod	_	TokenRange=263:268
36	maio	_	PROPN	PNOUN	_	37	appos	_	TokenRange=269:273
37	ano	ano	NOUN	NOUN	_	34	nmod	_	TokenRange=274:277
38	passado	passado	ADJ	ADJ	_	37	amod	_	TokenRange=278:285
39	fake	_	NOUN	NOUN	_	32	parataxis	_	TokenRange=286:290
40	culposa	_	NOUN	NOUN	_	39	amod	_	TokenRange=291:298
41	pois	_	CCONJ	CONJ	_	43	mark	_	TokenRange=299:303
