# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = desde pequenas meninas consideram engenharia atividade meninos diz estudo pesquisa feita criancas pais professores
1	desde	_	ADP	ADP	_	3	case	_	TokenRange=0:5
2	pequenas	pequeno	ADJ	ADJ	_	3	amod	_	TokenRange=6:14
3	meninas	menino	NOUN	NOUN	_	4	nmod	_	TokenRange=15:22
4	consideram	considerar	VERB	VERB	_	0	root	_	TokenRange=23:33
5	engenharia	engenharia	NOUN	NOUN	_	4	obj	_	TokenRange=34:44
6	atividade	atividade	NOUN	NOUN	_	4	nsubj	_	TokenRange=45:54
7	meninos	menino	NOUN	NOUN	_	8	nsubj	_	TokenRange=55:62
8	diz	dizer	VERB	VERB	_	4	parataxis	_	TokenRange=63:66
9	estudo	estudo	NOUN	NOUN	_	8	obj	_	TokenRange=67:73
10	pesquisa	pesquisa	NOUN	NOUN	_	9	appos	_	TokenRange=74:82
11	feita	_	VERB	VERB	_	9	acl	_	TokenRange=83:88
12	criancas	crianca	NOUN	NOUN	_	11	nsubj	_	TokenRange=89:97
13	pais	_	ADJ	ADJ	_	14	amod	_	TokenRange=98:102
14	professores	professor	NOUN	NOUN	_	12	appos	_	SpaceAfter=No|TokenRange=103:114

