1 ninguem ninguem 0 PRON root
2 melhor melhor 1 ADJ amod
3 proprio proprio 4 ADJ det
4 lula lula 5 NOUN nsubj
5 explicar explicar 1 VERB acl:relcl
6 funciona funcionar 5 VERB xcomp
7 bolsa bolsa 9 NOUN obj
8 familia familia 7 NOUN flat
9 distribui distribuir 1 VERB acl:relcl
10 tanto tanto 11 DET det
11 tiquete tiquete 9 NOUN obj
12 leite leite 11 NOUN flat
13 porque porque 14 CCONJ case
14 verdade verdade 9 NOUN nmod
15 peca peca 11 NOUN appos
16 troca troca 15 NOUN flat
17 epoca epoca 15 NOUN appos
18 eleicao eleicao 15 NOUN appos
19 assim assim 20 ADV advmod
20 processo processo 15 NOUN appos
21 eleitoral eleitoral 20 ADJ amod
22 despolitizado despolitizado 20 ADJ amod
23 tratando tratar 20 VERB acl
24 povo povo 23 NOUN obj
25 pobre pobre 24 ADJ amod
26 mesma mesmo 27 ADJ amod
27 forma forma 23 NOUN nsubj
28 cabral cabral 27 ADJ amod
29 tratou tratar 23 VERB parataxis
30 indios indio 29 NOUN obj
31 chegou chegar 29 VERB ccomp
32 brasil brasil 31 NOUN nsubj
33 distribuia distribuir 29 VERB ccomp
34 bijuterias bijuteria 33 NOUN obj
35 ganhar ganhar 33 VERB ccomp
36 confianca confianca 35 NOUN obj
37 indios indio 36 NOUN amod
38 assim assim 40 ADV advmod
39 governos governo 40 NOUN nsubj
40 distribuem distribuir 33 VERB parataxis
41 alimento alimento 40 NOUN obj
42 manter manter 40 VERB ccomp
43 politica politica 42 NOUN obj
44 dominacao dominacao 43 ADJ amod
45 lula lula 46 NOUN nsubj
46 referia referir 43 VERB acl:relcl
47 usar usar 46 VERB xcomp
48 distribuicao distribuicao 47 NOUN obj
49 alimentos alimento 48 NOUN flat
50 moeda moeda 48 NOUN appos
51 troca troca 50 NOUN appos
52 votos voto 50 NOUN appos
53 promover promover 47 VERB ccomp
54 eternizacao eternizacao 53 ADJ xcomp
55 poder poder 53 NOUN obj
56 tempo tempo 57 NOUN nsubj
57 passou passar 53 VERB ccomp
58 pt pt 59 PROPN nsubj
59 assumiu assumir 53 VERB ccomp
60 poder poder 59 NOUN obj
61 chamada chamado 62 ADJ amod
62 politica politica 59 NOUN nsubj
63 dominacao dominacao 62 ADJ amod
64 permaneceu permanecer 59 VERB parataxis
65 revigorada revigorado 64 ADJ xcomp
66 governo governo 64 NOUN nsubj
67 poder poder 64 NOUN nsubj
68 corrompe corrompe 67 ADJ amod
69 poder poder 67 NOUN flat
70 revela revelar 64 VERB parataxis
71 verdadeiro verdadeiro 72 ADJ amod
72 carater carater 70 NOUN obj
73 pessoa pessoa 72 NOUN appos
74 ps ps 72 NOUN appos
75 contra contra 76 ADP case
76 bolsafamilia bolsafamilia 72 NOUN nmod
77 sim sim 70 ADV advmod
78 contra contra 79 ADP case
79 utilizacao utilizacao 72 NOUN nmod
80 deste deste 81 ADP case
81 programa programa 79 NOUN nmod
82 social social 81 ADJ amod
83 angariar angariar 81 VERB acl
84 votos voto 83 NOUN obj
85 assista assistir 70 VERB parataxis
86 video video 85 NOUN obj
87 tire tire 88 VERB acl:relcl
88 conclusoes conclusoes 85 NOUN obj
