1 apos apos 2 ADP case
2 separacao separacao 5 NOUN nmod
3 andreia andreio 5 NOUN nsubj
4 nobrega nobrego 3 NOUN flat
5 diz dizer 0 VERB root
6 sofre sofre 5 NOUN obj
7 ameacas ameaca 6 NOUN flat
8 ex ex 10 CCONJ mark
9 vou ir 10 AUX aux
10 acabar acabar 6 VERB acl:relcl
11 andreia andreia 10 NOUN obj
12 nobrega nobrego 11 ADJ amod
13 atriz atriz 11 NOUN appos
14 exesposa exesposo 13 ADJ amod
15 humorista humorista 13 NOUN appos
16 carlos carlos 15 NOUN appos
17 alberto alberto 16 NOUN flat
18 nobrega nobrego 16 NOUN flat
19 disse dizer 5 VERB parataxis
20 sofria sofrer 19 VERB ccomp
21 ameacas ameaca 20 NOUN obj
22 marido marido 21 ADJ amod
23 entrevista entrevista 21 NOUN appos
24 programa programa 21 NOUN appos
25 rede rede 24 NOUN appos
26 record record 27 ADJ amod
27 andreia andreio 28 NOUN nsubj
28 revelou revelar 24 VERB acl:relcl
29 sentava sentar 28 VERB parataxis
30 sofa sofa 29 NOUN nsubj
31 falava falar 29 VERB parataxis
32 vou ir 33 AUX aux
33 acabar acabar 31 VERB ccomp
34 22 22 35 NUM nummod
35 anos ano 33 NOUN nsubj
36 vendaval vendaval 35 ADJ amod
37 continuou continuar 29 VERB parataxis
38 programa programa 37 NOUN obj
39 exibido exibido 38 ADJ amod
40 proximo proximo 41 ADJ amod
41 sabado sabado 38 NOUN appos
42 9/7 9/7 41 NUM nummod
43 separacao separacao 41 NOUN appos
44 casal casal 41 NOUN appos
45 confirmada confirmar 38 VERB acl
46 semana semana 45 NOUN nmod
47 passada passado 46 ADJ amod
48 site site 52 NOUN nsubj
49 uol uol 52 PRON nsubj
50 carlos carlos 52 NOUN nsubj
51 alberto alberto 50 NOUN flat
52 disse dizer 46 VERB acl:relcl
53 mulher mulher 52 NOUN obj
54 abandonou abandonar 52 VERB ccomp
55 quadro quadro 54 NOUN obj
56 atuava atuar 54 VERB ccomp
57 praca praca 56 NOUN obj
58 casal casal 56 NOUN nsubj
59 separou separar 52 VERB conj
60 devido dever 65 VERB mark
61 divergencias divergencias 60 NOUN fixed
62 profissionais profissional 59 NOUN nsubj
63 pessoais pessoal 62 ADJ amod
64 humorista humorista 62 NOUN amod
65 disse dizer 52 VERB conj
66 queria querer 65 VERB xcomp
67 morar morar 66 VERB xcomp
68 sozinho só 67 ADJ xcomp
69 andreia andreia 67 NOUN obj
70 aceitava aceitar 59 VERB ccomp
71 informacao informacao 70 NOUN obj
72 uol uol 71 DET det
