1 apos apos 2 ADP case
2 discurso discurso 27 NOUN nmod
3 presidencia presidencia 2 NOUN flat
4 silvio silvio 2 NOUN appos
5 santos santo 4 NOUN flat
6 volta volta 4 NOUN flat
7 cancer cancer 2 NOUN appos
8 semana semana 7 NOUN appos
9 passada passado 8 ADJ amod
10 silvio silvio 7 NOUN appos
11 santos santo 10 NOUN flat
12 discutido discutir 13 VERB acl
13 possibilidade possibilidade 10 NOUN appos
14 candidato candidato 13 NOUN appos
15 presidencia presidencia 14 NOUN flat
16 junto junto 17 ADV advmod
17 genro genro 13 NOUN appos
18 fabio fabio 17 NOUN flat
19 faria fazer 17 NOUN appos
20 articulador articulador 17 NOUN appos
21 candidatura candidatura 17 NOUN flat
22 infelizmente infelizmente 23 ADV advmod
23 hoje hoje 27 ADV advmod
24 pessoas pessoa 27 NOUN nsubj
25 proximas proximo 24 ADJ amod
26 apresentador apresentador 24 NOUN appos
27 afirmaram afirmar 0 VERB root
28 silvio silvio 27 NOUN obj
29 volta volta 30 NOUN obj
30 sofrer sofrer 27 VERB ccomp
31 cancer cancer 30 NOUN obj
32 cancer cancer 31 NOUN appos
33 pele pele 32 NOUN flat
34 apresentador apresentador 32 NOUN amod
35 chamou chamar 30 VERB parataxis
36 atencao atencao 35 NOUN obj
37 aparecer aparecer 35 VERB ccomp
38 fotos foto 37 NOUN obj
39 testa testa 38 NOUN appos
40 marcada marcar 39 VERB acl
41 imediatamente imediatamente 42 ADV advmod
42 realizou realizar 27 VERB parataxis
43 cirurgia cirurgia 42 NOUN obj
44 retirada retirado 43 ADJ amod
45 tumor tumor 43 NOUN appos
